condition,seed,task_name,kind,auc_balanced_accuracy
baseline,0,P00_parity_d2_15_29,atomic,0.6180957645070035
baseline,0,P01_parity_d2_32_38,atomic,0.5077166202405545
baseline,0,P02_parity_d1_15,atomic,0.8785441736466687
baseline,0,P03_parity_d3_26_37_39,atomic,0.4990845338785554
baseline,0,P04_parity_d1_28,atomic,0.9694891980751021
baseline,0,P05_parity_d1_35,atomic,0.9007595338407778
baseline,0,P06_parity_d3_5_22_28,atomic,0.5008697353585594
baseline,0,P07_parity_d3_12_14_16,atomic,0.4969786930289183
baseline,0,P08_parity_d3_2_33_37,atomic,0.501573266056987
baseline,0,P09_parity_d2_22_26,atomic,0.5040143994574445
baseline,0,P10_parity_d1_12,atomic,0.8730658673573601
baseline,0,P11_parity_d1_23,atomic,0.8830689728191407
baseline,0,P12_parity_d2_13_19,atomic,0.6329319313297035
baseline,0,P13_parity_d2_13_15,atomic,0.6456630709996335
baseline,0,P14_parity_d1_10,atomic,0.940107998532551
baseline,0,P15_parity_d1_9,atomic,0.8480315558543713
baseline,0,P16_parity_d3_1_24_27,atomic,0.49833330784992785
baseline,0,P17_parity_d2_16_32,atomic,0.5076898490753765
baseline,0,P18_parity_d3_9_12_31,atomic,0.5825015264823619
baseline,0,P19_parity_d2_2_26,atomic,0.5047983587023034
baseline,0,P20_parity_d3_5_21_34,atomic,0.49830521175510584
baseline,0,P21_parity_d1_31,atomic,0.9421337041298466
baseline,0,P22_parity_d3_8_26_30,atomic,0.5002342928160447
baseline,0,P23_parity_d2_15_39,atomic,0.8616967664587339
baseline,0,P24_parity_d2_3_36,atomic,0.5026265328532168
baseline,0,P25_parity_d3_11_22_35,atomic,0.49892817561850933
baseline,0,P26_parity_d3_7_30_33,atomic,0.5676307207519584
baseline,0,P27_parity_d2_14_25,atomic,0.5053284008538745
baseline,0,P28_parity_d3_19_24_30,atomic,0.4961369196302585
baseline,0,P29_parity_d1_17,atomic,0.902036752601363
baseline,0,P30_parity_d1_18,atomic,0.9008816320128823
baseline,0,P31_parity_d2_7_37,atomic,0.5035992670309051
baseline,0,P32_parity_d3_1_16_37,atomic,0.49995419964395793
baseline,0,P33_parity_d1_39,atomic,0.9801260196206331
baseline,0,P34_parity_d1_24,atomic,0.9937450175145937
baseline,0,P35_parity_d2_0_37,atomic,0.5049982030333583
baseline,1,P00_parity_d2_15_29,atomic,0.5087063368778659
baseline,1,P01_parity_d2_32_38,atomic,0.7659592469434464
baseline,1,P02_parity_d1_15,atomic,0.8730839754795816
baseline,1,P03_parity_d3_26_37_39,atomic,0.5009450421434091
baseline,1,P04_parity_d1_28,atomic,0.9773030159642259
baseline,1,P05_parity_d1_35,atomic,0.9245736206478479
baseline,1,P06_parity_d3_5_22_28,atomic,0.4988172492749063
baseline,1,P07_parity_d3_12_14_16,atomic,0.5010698278805567
baseline,1,P08_parity_d3_2_33_37,atomic,0.5028179317585049
baseline,1,P09_parity_d2_22_26,atomic,0.5061533365823079
baseline,1,P10_parity_d1_12,atomic,0.8716121508454868
baseline,1,P11_parity_d1_23,atomic,0.898301256155193
baseline,1,P12_parity_d2_13_19,atomic,0.6669896050855473
baseline,1,P13_parity_d2_13_15,atomic,0.6355403829813995
baseline,1,P14_parity_d1_10,atomic,0.9484482662716047
baseline,1,P15_parity_d1_9,atomic,0.8394557390957477
baseline,1,P16_parity_d3_1_24_27,atomic,0.5010232495275915
baseline,1,P17_parity_d2_16_32,atomic,0.7803856654246619
baseline,1,P18_parity_d3_9_12_31,atomic,0.6235032456207985
baseline,1,P19_parity_d2_2_26,atomic,0.5068074277147675
baseline,1,P20_parity_d3_5_21_34,atomic,0.500982382323866
baseline,1,P21_parity_d1_31,atomic,0.9469198130381922
baseline,1,P22_parity_d3_8_26_30,atomic,0.5002971948758378
baseline,1,P23_parity_d2_15_39,atomic,0.8580007121050797
baseline,1,P24_parity_d2_3_36,atomic,0.5731179306315527
baseline,1,P25_parity_d3_11_22_35,atomic,0.49938741396419595
baseline,1,P26_parity_d3_7_30_33,atomic,0.8569830081213748
baseline,1,P27_parity_d2_14_25,atomic,0.5086328025186146
baseline,1,P28_parity_d3_19_24_30,atomic,0.5034635088977498
baseline,1,P29_parity_d1_17,atomic,0.8940682398110529
baseline,1,P30_parity_d1_18,atomic,0.9008883474215469
baseline,1,P31_parity_d2_7_37,atomic,0.5153306587844754
baseline,1,P32_parity_d3_1_16_37,atomic,0.4991437305623385
baseline,1,P33_parity_d1_39,atomic,0.9850522577171591
baseline,1,P34_parity_d1_24,atomic,0.9940239780166872
baseline,1,P35_parity_d2_0_37,atomic,0.5030899191454092
baseline,2,P00_parity_d2_15_29,atomic,0.50212777610066
baseline,2,P01_parity_d2_32_38,atomic,0.5388416726225697
baseline,2,P02_parity_d1_15,atomic,0.8652138841798874
baseline,2,P03_parity_d3_26_37_39,atomic,0.5019994412071979
baseline,2,P04_parity_d1_28,atomic,0.965600963762009
baseline,2,P05_parity_d1_35,atomic,0.8822780964531942
baseline,2,P06_parity_d3_5_22_28,atomic,0.4997240312004057
baseline,2,P07_parity_d3_12_14_16,atomic,0.5015939932881103
baseline,2,P08_parity_d3_2_33_37,atomic,0.5016910224742954
baseline,2,P09_parity_d2_22_26,atomic,0.5015908949849677
baseline,2,P10_parity_d1_12,atomic,0.8579497873957556
baseline,2,P11_parity_d1_23,atomic,0.8608027067056409
baseline,2,P12_parity_d2_13_19,atomic,0.505024386759524
baseline,2,P13_parity_d2_13_15,atomic,0.5080277291242578
baseline,2,P14_parity_d1_10,atomic,0.938432050977539
baseline,2,P15_parity_d1_9,atomic,0.863126522625969
baseline,2,P16_parity_d3_1_24_27,atomic,0.49961251997885303
baseline,2,P17_parity_d2_16_32,atomic,0.5378947127888153
baseline,2,P18_parity_d3_9_12_31,atomic,0.5008313937787245
baseline,2,P19_parity_d2_2_26,atomic,0.5021222558469147
baseline,2,P20_parity_d3_5_21_34,atomic,0.4987354184545676
baseline,2,P21_parity_d1_31,atomic,0.939483121815333
baseline,2,P22_parity_d3_8_26_30,atomic,0.5004405899826144
baseline,2,P23_parity_d2_15_39,atomic,0.8221615346695774
baseline,2,P24_parity_d2_3_36,atomic,0.5066190123337725
baseline,2,P25_parity_d3_11_22_35,atomic,0.4998806240610745
baseline,2,P26_parity_d3_7_30_33,atomic,0.5663182064875073
baseline,2,P27_parity_d2_14_25,atomic,0.5007280778752172
baseline,2,P28_parity_d3_19_24_30,atomic,0.5005633632904238
baseline,2,P29_parity_d1_17,atomic,0.885274186052626
baseline,2,P30_parity_d1_18,atomic,0.9043201853081722
baseline,2,P31_parity_d2_7_37,atomic,0.5040387708830012
baseline,2,P32_parity_d3_1_16_37,atomic,0.49949371284734223
baseline,2,P33_parity_d1_39,atomic,0.97369248723514
baseline,2,P34_parity_d1_24,atomic,0.9879740129931313
baseline,2,P35_parity_d2_0_37,atomic,0.5004228706999676
baseline,3,P00_parity_d2_15_29,atomic,0.510788640498448
baseline,3,P01_parity_d2_32_38,atomic,0.5203427100144242
baseline,3,P02_parity_d1_15,atomic,0.8610486838040587
baseline,3,P03_parity_d3_26_37_39,atomic,0.5000755060821611
baseline,3,P04_parity_d1_28,atomic,0.9707099969213793
baseline,3,P05_parity_d1_35,atomic,0.8978333524928763
baseline,3,P06_parity_d3_5_22_28,atomic,0.49870320596372825
baseline,3,P07_parity_d3_12_14_16,atomic,0.5006301913646444
baseline,3,P08_parity_d3_2_33_37,atomic,0.4985677768260367
baseline,3,P09_parity_d2_22_26,atomic,0.5005241464080994
baseline,3,P10_parity_d1_12,atomic,0.8541243362813394
baseline,3,P11_parity_d1_23,atomic,0.8581596968958618
baseline,3,P12_parity_d2_13_19,atomic,0.5111035341804441
baseline,3,P13_parity_d2_13_15,atomic,0.5149271066230106
baseline,3,P14_parity_d1_10,atomic,0.9346906909168132
baseline,3,P15_parity_d1_9,atomic,0.8329979643738517
baseline,3,P16_parity_d3_1_24_27,atomic,0.5011255748805834
baseline,3,P17_parity_d2_16_32,atomic,0.5530781389011593
baseline,3,P18_parity_d3_9_12_31,atomic,0.5022576620327208
baseline,3,P19_parity_d2_2_26,atomic,0.5005390203162072
baseline,3,P20_parity_d3_5_21_34,atomic,0.4974134780199409
baseline,3,P21_parity_d1_31,atomic,0.9431888172331783
baseline,3,P22_parity_d3_8_26_30,atomic,0.4990062825762459
baseline,3,P23_parity_d2_15_39,atomic,0.7384928014198987
baseline,3,P24_parity_d2_3_36,atomic,0.5073332257252388
baseline,3,P25_parity_d3_11_22_35,atomic,0.5013182317086899
baseline,3,P26_parity_d3_7_30_33,atomic,0.5830539970795019
baseline,3,P27_parity_d2_14_25,atomic,0.5061746776186965
