condition,seed,task_name,kind,acquired_at,threshold,patience,metric,final_metric,final_accuracy,final_balanced_accuracy,analysis_threshold
baseline,0,P00_parity_d2_15_29,atomic,670720.0,0.65,2,balanced_accuracy,0.994654655456543,0.99462890625,0.994654655456543,0.65
baseline,0,P01_parity_d2_32_38,atomic,,0.65,2,balanced_accuracy,0.5153007432818413,0.511962890625,0.5153007432818413,0.65
baseline,0,P02_parity_d1_15,atomic,180224.0,0.65,2,balanced_accuracy,0.9927715957164764,0.992919921875,0.9927715957164764,0.65
baseline,0,P03_parity_d3_26_37_39,atomic,,0.65,2,balanced_accuracy,0.4988987420219928,0.491943359375,0.4988987420219928,0.65
baseline,0,P04_parity_d1_28,atomic,60416.0,0.65,2,balanced_accuracy,0.9997585713863372,0.999755859375,0.9997585713863372,0.65
baseline,0,P05_parity_d1_35,atomic,130048.0,0.65,2,balanced_accuracy,0.9963627755641936,0.996337890625,0.9963627755641936,0.65
baseline,0,P06_parity_d3_5_22_28,atomic,,0.65,2,balanced_accuracy,0.50048828125,0.50048828125,0.50048828125,0.65
baseline,0,P07_parity_d3_12_14_16,atomic,,0.65,2,balanced_accuracy,0.5030244365334511,0.50830078125,0.5030244365334511,0.65
baseline,0,P08_parity_d3_2_33_37,atomic,,0.65,2,balanced_accuracy,0.5036344230175018,0.4990234375,0.5036344230175018,0.65
baseline,0,P09_parity_d2_22_26,atomic,,0.65,2,balanced_accuracy,0.4876763299107551,0.48095703125,0.4876763299107551,0.65
baseline,0,P10_parity_d1_12,atomic,180224.0,0.65,2,balanced_accuracy,0.9973252713680268,0.997314453125,0.9973252713680268,0.65
baseline,0,P11_parity_d1_23,atomic,190464.0,0.65,2,balanced_accuracy,0.9708955585956572,0.971435546875,0.9708955585956572,0.65
baseline,0,P12_parity_d2_13_19,atomic,690176.0,0.65,2,balanced_accuracy,1.0,1.0,1.0,0.65
baseline,0,P13_parity_d2_13_15,atomic,600064.0,0.65,2,balanced_accuracy,0.982398957014084,0.982421875,0.982398957014084,0.65
