threshold,metric,n_rows,acquisition_rate,mean_acquired_at,time_spearman_frequency,time_spearman_degree,final_spearman_frequency,final_spearman_degree
0.65,balanced_accuracy,360,0.5027777777777778,300094.2320441989,-0.1868931037176379,0.7749795122435142,0.42984956065377633,-0.7016124728951588
0.75,balanced_accuracy,360,0.48333333333333334,309807.0804597701,-0.20226308285411157,0.7532114528673413,0.42984956065377633,-0.7016124728951588
0.85,balanced_accuracy,360,0.4666666666666667,315989.3333333333,-0.23196218390046575,0.7323539183942708,0.42984956065377633,-0.7016124728951588
0.9,balanced_accuracy,360,0.4638888888888889,328624.2874251497,-0.24323764639200388,0.733256229590049,0.42984956065377633,-0.7016124728951588
