slice_id,prompt_family,component_ids,n_rows,n_runs,n_under_verdicts,n_over_verdicts,n_mixed_verdicts,mean_underperforming_metric_rate,mean_median_residual_z,runs,stability_verdict
comp_add_then_even,arithmetic,arith_add_small;arith_even,5,5,4,1,0,0.72,-1.0542395612185849,EleutherAI/pythia-1.4b;EleutherAI/pythia-160m;EleutherAI/pythia-1b;EleutherAI/pythia-410m;EleutherAI/pythia-70m,stable_underperforming_observational
comp_add_then_compare_lt,arithmetic,arith_add_small;arith_compare_lt,5,5,4,1,0,0.76,-0.5627005205615889,EleutherAI/pythia-1.4b;EleutherAI/pythia-160m;EleutherAI/pythia-1b;EleutherAI/pythia-410m;EleutherAI/pythia-70m,stable_underperforming_observational
comp_absdiff_then_even,arithmetic,arith_absdiff;arith_even,5,5,4,1,0,0.72,-0.4475190859367791,EleutherAI/pythia-1.4b;EleutherAI/pythia-160m;EleutherAI/pythia-1b;EleutherAI/pythia-410m;EleutherAI/pythia-70m,stable_underperforming_observational
comp_max_then_compare_gt,arithmetic,arith_max2;arith_compare_gt,5,5,4,1,0,0.76,-0.2427070341296554,EleutherAI/pythia-1.4b;EleutherAI/pythia-160m;EleutherAI/pythia-1b;EleutherAI/pythia-410m;EleutherAI/pythia-70m,stable_underperforming_observational
comp_sub_then_odd,arithmetic,arith_sub_small;arith_odd,5,5,4,1,0,0.72,0.046171143524267565,EleutherAI/pythia-1.4b;EleutherAI/pythia-160m;EleutherAI/pythia-1b;EleutherAI/pythia-410m;EleutherAI/pythia-70m,stable_underperforming_observational
comp_double_then_compare_gt,arithmetic,arith_double;arith_compare_gt,5,5,4,1,0,0.72,0.05740605382734454,EleutherAI/pythia-1.4b;EleutherAI/pythia-160m;EleutherAI/pythia-1b;EleutherAI/pythia-410m;EleutherAI/pythia-70m,stable_underperforming_observational
comp_add_then_compare_gt,arithmetic,arith_add_small;arith_compare_gt,5,5,4,1,0,0.72,0.05888871944337036,EleutherAI/pythia-1.4b;EleutherAI/pythia-160m;EleutherAI/pythia-1b;EleutherAI/pythia-410m;EleutherAI/pythia-70m,stable_underperforming_observational
comp_sub_then_compare_gt,arithmetic,arith_sub_small;arith_compare_gt,5,5,4,1,0,0.76,0.35130995767818185,EleutherAI/pythia-1.4b;EleutherAI/pythia-160m;EleutherAI/pythia-1b;EleutherAI/pythia-410m;EleutherAI/pythia-70m,stable_underperforming_observational
comp_add_then_equals,arithmetic,arith_add_small;arith_equals,5,5,4,1,0,0.72,0.7506913829224007,EleutherAI/pythia-1.4b;EleutherAI/pythia-160m;EleutherAI/pythia-1b;EleutherAI/pythia-410m;EleutherAI/pythia-70m,stable_underperforming_observational
comp_min_then_compare_lt,arithmetic,arith_min2;arith_compare_lt,5,5,4,1,0,0.76,0.9959422200817845,EleutherAI/pythia-1.4b;EleutherAI/pythia-160m;EleutherAI/pythia-1b;EleutherAI/pythia-410m;EleutherAI/pythia-70m,stable_underperforming_observational
