metric_family,threshold,condition,stratum,n,n_tasks,acquisition_rate,mean_acquired_at,time_spearman_frequency,time_sign_ok_frequency,final_spearman_frequency,time_spearman_reference_learnability,time_sign_ok_reference_learnability,final_spearman_reference_learnability,time_spearman_formal_utility,time_sign_ok_formal_utility,final_spearman_formal_utility
exact_match,0.2,base,all,250,25,0.608,80101.05263157895,-0.03962267534130554,True,0.051750633674685506,0.664545607152163,True,-0.2680086269973907,-0.1324174187123137,True,0.31493263363519297
exact_match,0.2,base,true_tasks_atomic_composite,160,16,0.7625,96050.3606557377,0.007483037225431516,False,0.11646892563022232,0.5096850280964526,True,-0.24304250204458516,-0.3629664335566055,True,0.337313958942897
exact_match,0.2,base,kind=atomic,80,8,0.7125,70386.52631578948,-0.2159655014787629,True,0.3619755891475453,0.8758695191609545,True,-0.5635355675740085,-0.11239258722357562,True,0.5438508688205681
exact_match,0.2,base,kind=composite,80,8,0.8125,118555.56923076924,0.4730680000561458,False,-0.37065792521772195,,,,,,
exact_match,0.2,base,kind=shortcut,30,3,1.0,15240.533333333333,0.0,False,-0.03304240240215955,,,,,,
exact_match,0.2,base,kind=surface_control,30,3,0.0,,,,0.36028834606144605,,,,,,
exact_match,0.2,base,kind=unrelated,30,3,0.0,,,,0.44359237318554867,,,,,,
exact_match,0.2,batch_large,all,250,25,0.444,80001.15315315315,-0.13542005902863713,True,0.04403578580341193,0.6599988388687092,True,-0.2589043294080797,-0.16526484884054285,True,0.32602525963509593
exact_match,0.2,batch_large,true_tasks_atomic_composite,160,16,0.50625,101022.02469135802,-0.08012713305039115,True,0.1202874729008241,0.5825358850289547,True,-0.25353235743745167,-0.44808642487767497,True,0.3599321255835801
exact_match,0.2,batch_large,kind=atomic,80,8,0.5375,67631.62790697675,-0.21330999841760923,True,0.3669778799153912,0.8230501422132119,True,-0.5635852861825638,-0.21657942269242114,True,0.5514727250582789
exact_match,0.2,batch_large,kind=composite,80,8,0.475,138805.8947368421,0.5881375868009904,False,-0.34352890836610045,,,,,,
exact_match,0.2,batch_large,kind=shortcut,30,3,1.0,23244.8,-0.015389675281277312,True,-0.011796915839979532,,,,,,
exact_match,0.2,batch_large,kind=surface_control,30,3,0.0,,,,0.32713217174155645,,,,,,
exact_match,0.2,batch_large,kind=unrelated,30,3,0.0,,,,0.227429413073671,,,,,,
