slice_id,kind,family,prompt_family,operation_type,composition_depth,frequency_proxy,reference_learnability,formal_utility,answer_entropy_proxy,component_ids,control_type
arith_add_small,atomic,arithmetic,arithmetic,addition_small,1,0.9,0.2,0.9,1.0,,
arith_add_large,atomic,arithmetic,arithmetic,addition_large,1,0.65,0.45,0.6,1.0,,
arith_sub_small,atomic,arithmetic,arithmetic,subtraction,1,0.75,0.35,0.7,1.0,,
arith_compare_gt,atomic,arithmetic,arithmetic,comparison_gt,1,0.85,0.2,0.9,1.0,,
arith_compare_lt,atomic,arithmetic,arithmetic,comparison_lt,1,0.8,0.25,0.6,1.0,,
arith_even,atomic,arithmetic,arithmetic,parity_even,1,0.7,0.35,0.7,1.0,,
arith_odd,atomic,arithmetic,arithmetic,parity_odd,1,0.65,0.4,0.5,1.0,,
arith_max2,atomic,arithmetic,arithmetic,max,1,0.6,0.45,0.7,1.0,,
arith_min2,atomic,arithmetic,arithmetic,min,1,0.6,0.45,0.5,1.0,,
arith_double,atomic,arithmetic,arithmetic,double,1,0.65,0.35,0.5,1.0,,
arith_absdiff,atomic,arithmetic,arithmetic,absolute_difference,1,0.5,0.6,0.4,1.0,,
arith_equals,atomic,arithmetic,arithmetic,equality,1,0.75,0.25,0.4,1.0,,
comp_add_then_compare_gt,composite,arithmetic,arithmetic,add_then_compare_gt,2,0.4,0.55,0.0,1.0,arith_add_small;arith_compare_gt,
comp_add_then_compare_lt,composite,arithmetic,arithmetic,add_then_compare_lt,2,0.38,0.58,0.0,1.0,arith_add_small;arith_compare_lt,
comp_sub_then_compare_gt,composite,arithmetic,arithmetic,sub_then_compare_gt,2,0.35,0.65,0.0,1.0,arith_sub_small;arith_compare_gt,
comp_add_then_even,composite,arithmetic,arithmetic,add_then_even,2,0.35,0.6,0.0,1.0,arith_add_small;arith_even,
comp_sub_then_odd,composite,arithmetic,arithmetic,sub_then_odd,2,0.32,0.68,0.0,1.0,arith_sub_small;arith_odd,
comp_max_then_compare_gt,composite,arithmetic,arithmetic,max_then_compare_gt,2,0.3,0.7,0.0,1.0,arith_max2;arith_compare_gt,
comp_min_then_compare_lt,composite,arithmetic,arithmetic,min_then_compare_lt,2,0.3,0.7,0.0,1.0,arith_min2;arith_compare_lt,
comp_double_then_compare_gt,composite,arithmetic,arithmetic,double_then_compare_gt,2,0.32,0.65,0.0,1.0,arith_double;arith_compare_gt,
comp_absdiff_then_even,composite,arithmetic,arithmetic,absdiff_then_even,2,0.28,0.75,0.0,1.0,arith_absdiff;arith_even,
comp_add_then_equals,composite,arithmetic,arithmetic,add_then_equals,2,0.3,0.7,0.0,1.0,arith_add_small;arith_equals,
ctrl_arith_digit_surface,surface_control,surface,arithmetic,digit_surface,1,0.5,0.3,0.0,1.0,,surface
ctrl_arith_word_surface,surface_control,surface,arithmetic,word_surface,1,0.5,0.3,0.0,1.0,,surface
