condition,task_name,role,acquisition_rate,mean_censored_acquired_at,mean_final_metric,mean_censored_expected_direction_rate,mean_final_expected_direction_rate
delay_component_strong,U00_unrelated_substitute,unrelated_control,0.0,250112.0,0.08011067919433117,0.275,0.40625
delay_component_strong,A03_copy,different_operation_control,1.0,15052.8,0.9452799677848815,0.275,0.40625
delay_component_strong,K01_shortcut_for_A05_substitute,fake_component_control,1.0,15052.8,0.9437825858592988,0.275,0.40625
delay_component_strong,S01_surface_rotate,surface_control,0.0,250112.0,0.33359376788139344,0.275,0.40625
delay_different_operation_matched,A02_substitute,component,0.0,250112.0,0.5621744930744171,0.275,0.40625
delay_different_operation_matched,C03_reverse_then_substitute_07_02,composite,1.0,180198.4,0.7866536617279053,0.275,0.40625
delay_different_operation_matched,U00_unrelated_substitute,unrelated_control,0.0,250112.0,0.08483073115348816,0.275,0.40625
delay_different_operation_matched,A03_copy,different_operation_control,1.0,15180.8,0.9453125298023224,0.275,0.40625
delay_different_operation_matched,K01_shortcut_for_A05_substitute,fake_component_control,1.0,15180.8,0.9455403864383698,0.275,0.40625
delay_different_operation_matched,S01_surface_rotate,surface_control,0.0,250112.0,0.31409506797790526,0.275,0.40625
delay_different_operation_matched_strong,A02_substitute,component,0.0,250112.0,0.5645507991313934,0.275,0.40625
delay_different_operation_matched_strong,C03_reverse_then_substitute_07_02,composite,1.0,180198.4,0.7858073115348816,0.275,0.40625
delay_different_operation_matched_strong,U00_unrelated_substitute,unrelated_control,0.0,250112.0,0.08444010615348815,0.275,0.40625
delay_different_operation_matched_strong,A03_copy,different_operation_control,1.0,15180.8,0.9450846433639526,0.275,0.40625
delay_different_operation_matched_strong,K01_shortcut_for_A05_substitute,fake_component_control,1.0,15180.8,0.9453125178813935,0.275,0.40625
delay_different_operation_matched_strong,S01_surface_rotate,surface_control,0.0,250112.0,0.31315105184912684,0.275,0.40625
delay_same_operation_unrelated,A02_substitute,component,0.0,250112.0,0.5379882991313935,0.275,0.40625
delay_same_operation_unrelated,C03_reverse_then_substitute_07_02,composite,0.9,182169.6,0.7783203363418579,0.275,0.40625
delay_same_operation_unrelated,U00_unrelated_substitute,unrelated_control,0.0,250112.0,0.08069661669433117,0.275,0.40625
delay_same_operation_unrelated,A03_copy,different_operation_control,1.0,15052.8,0.9427734553813935,0.275,0.40625
delay_same_operation_unrelated,K01_shortcut_for_A05_substitute,fake_component_control,1.0,15052.8,0.9414388120174408,0.275,0.40625
delay_same_operation_unrelated,S01_surface_rotate,surface_control,0.0,250112.0,0.3145833447575569,0.275,0.40625
delay_same_operation_unrelated_strong,A02_substitute,component,0.0,250112.0,0.5363281428813934,0.275,0.40625
delay_same_operation_unrelated_strong,C03_reverse_then_substitute_07_02,composite,0.9,183731.2,0.7813151240348816,0.275,0.40625
delay_same_operation_unrelated_strong,U00_unrelated_substitute,unrelated_control,0.0,250112.0,0.07174479328095913,0.275,0.40625
delay_same_operation_unrelated_strong,A03_copy,different_operation_control,1.0,15052.8,0.9430338680744171,0.275,0.40625
delay_same_operation_unrelated_strong,K01_shortcut_for_A05_substitute,fake_component_control,1.0,15052.8,0.9409830927848816,0.275,0.40625
delay_same_operation_unrelated_strong,S01_surface_rotate,surface_control,0.0,250112.0,0.3171875163912773,0.275,0.40625
pretrain_component,A02_substitute,component,1.0,0.0,0.36425782144069674,0.275,0.40625
pretrain_component,C03_reverse_then_substitute_07_02,composite,0.5,228377.6,0.7654622614383697,0.275,0.40625
pretrain_component,U00_unrelated_substitute,unrelated_control,0.0,250112.0,0.04876302182674408,0.275,0.40625
pretrain_component,A03_copy,different_operation_control,1.0,14822.4,0.9508463740348816,0.275,0.40625
pretrain_component,K01_shortcut_for_A05_substitute,fake_component_control,1.0,14822.4,0.9527669489383698,0.275,0.40625
pretrain_component,S01_surface_rotate,surface_control,0.0,250112.0,0.11448567882180213,0.275,0.40625
pretrain_different_operation_matched,A02_substitute,component,0.0,250112.0,0.34547526836395265,0.275,0.40625
pretrain_different_operation_matched,C03_reverse_then_substitute_07_02,composite,0.6,222003.2,0.7188476741313934,0.275,0.40625
pretrain_different_operation_matched,U00_unrelated_substitute,unrelated_control,0.0,250112.0,0.06868489906191826,0.275,0.40625
pretrain_different_operation_matched,A03_copy,different_operation_control,1.0,0.0,0.956640648841858,0.275,0.40625
pretrain_different_operation_matched,K01_shortcut_for_A05_substitute,fake_component_control,1.0,0.0,0.9577474117279052,0.275,0.40625
pretrain_different_operation_matched,S01_surface_rotate,surface_control,0.0,250112.0,0.10904948227107525,0.275,0.40625
pretrain_same_operation_unrelated,A02_substitute,component,0.0,250112.0,0.2952148526906967,0.275,0.40625
pretrain_same_operation_unrelated,C03_reverse_then_substitute_07_02,composite,0.5,238540.8,0.6740234553813934,0.275,0.40625
pretrain_same_operation_unrelated,U00_unrelated_substitute,unrelated_control,1.0,0.0,0.06490885615348815,0.275,0.40625
pretrain_same_operation_unrelated,A03_copy,different_operation_control,1.0,13440.0,0.9551432490348816,0.275,0.40625
pretrain_same_operation_unrelated,K01_shortcut_for_A05_substitute,fake_component_control,1.0,13337.6,0.9536783993244171,0.275,0.40625
pretrain_same_operation_unrelated,S01_surface_rotate,surface_control,0.0,250112.0,0.1658528670668602,0.275,0.40625
upweight_component,A02_substitute,component,0.1,248422.4,0.6040364742279053,0.275,0.40625
upweight_component,C03_reverse_then_substitute_07_02,composite,0.9,184345.6,0.7716471493244171,0.275,0.40625
upweight_component,U00_unrelated_substitute,unrelated_control,0.0,250112.0,0.07799479365348816,0.275,0.40625
upweight_component,A03_copy,different_operation_control,1.0,15052.8,0.9471679866313935,0.275,0.40625
upweight_component,K01_shortcut_for_A05_substitute,fake_component_control,1.0,15052.8,0.9463867366313934,0.275,0.40625
upweight_component,S01_surface_rotate,surface_control,0.0,250112.0,0.2862304821610451,0.275,0.40625
upweight_different_operation_matched,A02_substitute,component,0.0,250112.0,0.5188802242279053,0.275,0.40625
upweight_different_operation_matched,C03_reverse_then_substitute_07_02,composite,0.9,184371.2,0.775944036245346,0.275,0.40625
upweight_different_operation_matched,U00_unrelated_substitute,unrelated_control,0.0,250112.0,0.07714843861758709,0.275,0.40625
upweight_different_operation_matched,A03_copy,different_operation_control,1.0,14950.4,0.9487304806709289,0.275,0.40625
upweight_different_operation_matched,K01_shortcut_for_A05_substitute,fake_component_control,1.0,14950.4,0.9472330927848815,0.275,0.40625
upweight_different_operation_matched,S01_surface_rotate,surface_control,0.0,250112.0,0.30058594718575476,0.275,0.40625
upweight_fake_component,A02_substitute,component,0.0,250112.0,0.5378580898046493,0.275,0.40625
upweight_fake_component,C03_reverse_then_substitute_07_02,composite,1.0,180070.4,0.785807317495346,0.275,0.40625
upweight_fake_component,U00_unrelated_substitute,unrelated_control,0.0,250112.0,0.08046875186264515,0.275,0.40625
upweight_fake_component,A03_copy,different_operation_control,1.0,15052.8,0.9507161617279053,0.275,0.40625
upweight_fake_component,K01_shortcut_for_A05_substitute,fake_component_control,1.0,15052.8,0.9511393308639526,0.275,0.40625
upweight_fake_component,S01_surface_rotate,surface_control,0.0,250112.0,0.2854166731238365,0.275,0.40625
upweight_same_operation_unrelated,A02_substitute,component,0.0,250112.0,0.5147135525941848,0.275,0.40625
upweight_same_operation_unrelated,C03_reverse_then_substitute_07_02,composite,1.0,186035.2,0.779947942495346,0.275,0.40625
upweight_same_operation_unrelated,U00_unrelated_substitute,unrelated_control,0.0,250112.0,0.1847330793738365,0.275,0.40625
upweight_same_operation_unrelated,A03_copy,different_operation_control,1.0,15180.8,0.9507161736488342,0.275,0.40625
upweight_same_operation_unrelated,K01_shortcut_for_A05_substitute,fake_component_control,1.0,15180.8,0.9506836056709289,0.275,0.40625
upweight_same_operation_unrelated,S01_surface_rotate,surface_control,0.0,250112.0,0.2714843824505806,0.275,0.40625
upweight_surface_control,A02_substitute,component,0.0,250112.0,0.514453136920929,0.275,0.40625
upweight_surface_control,C03_reverse_then_substitute_07_02,composite,1.0,174694.4,0.7809895992279052,0.275,0.40625
upweight_surface_control,U00_unrelated_substitute,unrelated_control,0.0,250112.0,0.07714843936264515,0.275,0.40625
upweight_surface_control,A03_copy,different_operation_control,1.0,15052.8,0.9537760615348816,0.275,0.40625
upweight_surface_control,K01_shortcut_for_A05_substitute,fake_component_control,1.0,15180.8,0.9526692867279053,0.275,0.40625
upweight_surface_control,S01_surface_rotate,surface_control,0.0,250112.0,0.47679038494825365,0.275,0.40625
