composite,left_condition,right_condition,expected_direction,contrast_type,n_paired_seeds,n_strict_paired_acquired,left_acquisition_rate,right_acquisition_rate,strict_delta_acquired_at_mean,strict_expected_direction_rate,censored_delta_acquired_at_mean,censored_expected_direction_rate,final_metric_delta_mean,final_metric_expected_direction_rate,left_final_metric_mean,right_final_metric_mean
C03_reverse_then_substitute_07_02,upweight_component,upweight_same_operation_unrelated,earlier,exact_vs_same_operation,10,9,0.9,1.0,-7111.111111111111,0.5555555555555556,-1689.6,0.5,-0.008300793170928956,0.5,0.7716471493244171,0.779947942495346
C03_reverse_then_substitute_07_02,upweight_component,upweight_different_operation_matched,earlier,exact_vs_different_operation,10,8,0.9,0.9,-1856.0,0.25,-25.6,0.3,-0.004296886920928955,0.3,0.7716471493244171,0.775944036245346
C03_reverse_then_substitute_07_02,upweight_component,upweight_fake_component,earlier,exact_vs_fake_component,10,9,0.9,1.0,-483.55555555555554,0.4444444444444444,4275.2,0.4,-0.014160168170928956,0.4,0.7716471493244171,0.785807317495346
C03_reverse_then_substitute_07_02,upweight_component,upweight_surface_control,earlier,exact_vs_surface,10,9,0.9,1.0,3953.777777777778,0.1111111111111111,9651.2,0.1,-0.009342449903488158,0.4,0.7716471493244171,0.7809895992279052
C03_reverse_then_substitute_07_02,upweight_same_operation_unrelated,upweight_different_operation_matched,earlier,operation_family_vs_different_operation,10,9,1.0,0.9,3726.222222222222,0.1111111111111111,1664.0,0.2,0.00400390625,0.3,0.779947942495346,0.775944036245346
C03_reverse_then_substitute_07_02,corrupt_component,corrupt_same_operation_unrelated,later,exact_corrupt_vs_same_operation,10,9,0.9,1.0,-4522.666666666667,0.2222222222222222,2022.4,0.3,-0.0035807251930236816,0.5,0.7882487177848816,0.7918294429779053
C03_reverse_then_substitute_07_02,corrupt_component,corrupt_different_operation_matched,later,exact_corrupt_vs_different_operation,10,9,0.9,1.0,2133.3333333333335,0.2222222222222222,10470.4,0.3,-0.006152337789535523,0.7,0.7882487177848816,0.7944010555744171
C03_reverse_then_substitute_07_02,delay_component,delay_same_operation_unrelated,later,exact_delay_vs_same_operation,10,9,1.0,0.9,-3840.0,0.2222222222222222,-6707.2,0.2,0.011523431539535523,0.4,0.7898437678813934,0.7783203363418579
C03_reverse_then_substitute_07_02,delay_component,delay_different_operation_matched,later,exact_delay_vs_different_operation,10,10,1.0,1.0,-4736.0,0.1,-4736.0,0.1,0.003190106153488159,0.4,0.7898437678813934,0.7866536617279053
C03_reverse_then_substitute_07_02,pretrain_component,pretrain_same_operation_unrelated,earlier,exact_pretrain_vs_same_operation,10,2,0.5,0.5,-35712.0,1.0,-10163.2,0.5,0.09143880605697632,0.7,0.7654622614383697,0.6740234553813934
C03_reverse_then_substitute_07_02,pretrain_component,pretrain_different_operation_matched,earlier,exact_pretrain_vs_different_operation,10,2,0.5,0.6,-7296.0,0.5,6374.4,0.4,0.04661458730697632,0.6,0.7654622614383697,0.7188476741313934
C03_reverse_then_substitute_07_02,pretrain_same_operation_unrelated,pretrain_different_operation_matched,earlier,operation_family_pretrain_vs_different_operation,10,4,0.5,0.6,25920.0,0.0,16537.6,0.1,-0.04482421875,0.1,0.6740234553813934,0.7188476741313934
C03_reverse_then_substitute_07_02,corrupt_component_strong,corrupt_same_operation_unrelated_strong,later,exact_strong_corrupt_vs_same_operation,10,10,1.0,1.0,4684.8,0.5,4684.8,0.5,0.008268225193023681,0.4,0.7958008050918579,0.7875325798988342
C03_reverse_then_substitute_07_02,corrupt_component_strong,corrupt_different_operation_matched_strong,later,exact_strong_corrupt_vs_different_operation,10,10,1.0,1.0,-2176.0,0.2,-2176.0,0.2,0.007519525289535522,0.3,0.7958008050918579,0.7882812798023224
C03_reverse_then_substitute_07_02,delay_component_strong,delay_same_operation_unrelated_strong,later,exact_strong_delay_vs_same_operation,10,9,1.0,0.9,-8305.777777777777,0.2222222222222222,-10726.4,0.2,0.009993493556976318,0.2,0.7913086175918579,0.7813151240348816
C03_reverse_then_substitute_07_02,delay_component_strong,delay_different_operation_matched_strong,later,exact_strong_delay_vs_different_operation,10,10,1.0,1.0,-7193.6,0.1,-7193.6,0.1,0.005501306056976319,0.3,0.7913086175918579,0.7858073115348816
