condition,seed,component,target_task,component_target_grad_cosine,component_target_cka
baseline,0,A_bit0,AB_and,0.1436005781927581,0.6398943066596985
baseline,0,A_bit0,AC_xor,0.0359613520322347,0.7774916291236877
baseline,1,A_bit0,AB_and,0.5952338423876933,0.6943569779396057
baseline,1,A_bit0,AC_xor,0.4512151648104855,0.8106433749198914
baseline,2,A_bit0,AB_and,0.5129766458275011,0.6724435091018677
baseline,2,A_bit0,AC_xor,0.2493260243707428,0.8153703808784485
baseline,3,A_bit0,AB_and,0.0825565847057639,0.6979216933250427
baseline,3,A_bit0,AC_xor,0.0239088220953774,0.8078927397727966
baseline,4,A_bit0,AB_and,0.599470074469801,0.719314694404602
baseline,4,A_bit0,AC_xor,0.3684665929233454,0.8540793657302856
baseline,5,A_bit0,AB_and,-0.0894928149392282,0.6767959594726562
baseline,5,A_bit0,AC_xor,0.1341115079590027,0.7658817768096924
baseline,6,A_bit0,AB_and,0.5571358709102021,0.6711978912353516
baseline,6,A_bit0,AC_xor,0.3188289735292665,0.8032153248786926
baseline,7,A_bit0,AB_and,0.3544071039818822,0.6338343620300293
baseline,7,A_bit0,AC_xor,0.3261993717473702,0.7582226395606995
baseline,8,A_bit0,AB_and,-0.0834068647002043,0.6224034428596497
baseline,8,A_bit0,AC_xor,-0.1084642036932603,0.7820403575897217
baseline,9,A_bit0,AB_and,0.3913407060521519,0.7056010365486145
baseline,9,A_bit0,AC_xor,0.1360240678117809,0.8129483461380005
corrupt_A,0,A_bit0,AB_and,-0.0318080768559713,0.7624802589416504
corrupt_A,0,A_bit0,AC_xor,-0.0728552111175775,0.7486292719841003
corrupt_A,1,A_bit0,AB_and,0.3056880025728505,0.6757348775863647
corrupt_A,1,A_bit0,AC_xor,0.1789038840869499,0.7434490919113159
corrupt_A,2,A_bit0,AB_and,-0.1012863447972426,0.8021830916404724
corrupt_A,2,A_bit0,AC_xor,-0.0693596406304804,0.754548966884613
corrupt_A,3,A_bit0,AB_and,0.2049902722187856,0.6547346115112305
corrupt_A,3,A_bit0,AC_xor,0.3760363479848309,0.69317227602005
corrupt_A,4,A_bit0,AB_and,0.0771834815271145,0.8029617071151733
corrupt_A,4,A_bit0,AC_xor,0.4061870103352066,0.7587572336196899
corrupt_A,5,A_bit0,AB_and,0.0800420091711712,0.7840260863304138
corrupt_A,5,A_bit0,AC_xor,0.048867700396225,0.7932080626487732
corrupt_A,6,A_bit0,AB_and,0.3600244123345663,0.8003939390182495
corrupt_A,6,A_bit0,AC_xor,0.4860250339699238,0.777072012424469
corrupt_A,7,A_bit0,AB_and,0.1903000232861842,0.7158711552619934
corrupt_A,7,A_bit0,AC_xor,-0.0461625862193927,0.7540309429168701
corrupt_A,8,A_bit0,AB_and,0.1610325498989049,0.7776386737823486
corrupt_A,8,A_bit0,AC_xor,0.2461736037265739,0.792191207408905
corrupt_A,9,A_bit0,AB_and,0.27507069887403,0.7184571623802185
corrupt_A,9,A_bit0,AC_xor,0.3608956491621344,0.7327951192855835
corrupt_U_matched,0,A_bit0,AB_and,0.4456647863282719,0.5869356393814087
corrupt_U_matched,0,A_bit0,AC_xor,0.4988064318939843,0.6983922123908997
corrupt_U_matched,1,A_bit0,AB_and,0.4274899812965789,0.7112208008766174
corrupt_U_matched,1,A_bit0,AC_xor,0.1061766502250497,0.7382609844207764
corrupt_U_matched,2,A_bit0,AB_and,0.599848913154322,0.6780877709388733
corrupt_U_matched,2,A_bit0,AC_xor,0.3165599268448572,0.7727885842323303
corrupt_U_matched,3,A_bit0,AB_and,-0.0606836116469183,0.6896838545799255
corrupt_U_matched,3,A_bit0,AC_xor,0.1203691827288588,0.7450315356254578
corrupt_U_matched,4,A_bit0,AB_and,0.1415723683758373,0.6756413578987122
corrupt_U_matched,4,A_bit0,AC_xor,0.0627149816228356,0.7537940740585327
