condition,seed,data_seen,task_name,kind,grad_mean_norm,grad_noise_rms,grad_snr,within_task_grad_alignment
baseline,0,0,A_bit0,atomic,0.17756937444210052,0.1194031611084938,1.4871413184720272,0.6385380520568354
baseline,0,0,B_bit1,atomic,0.1795213520526886,0.10549331456422806,1.7017320272147474,0.6708713464603374
baseline,0,0,C_xor23,atomic,0.07528040558099747,0.10179201513528824,0.7395511866054064,0.07407951377850348
baseline,0,0,D_eq45,atomic,0.07782004773616791,0.0798301100730896,0.9748207495134834,0.33005370444391674
baseline,0,0,AB_and,composite,0.57073575258255,0.09579871594905853,5.957655558557633,0.9882145910850318
baseline,0,0,AC_xor,composite,0.035339463502168655,0.07460831105709076,0.4736665795135478,-0.11422323364377512
baseline,0,0,A_shortcut_bit6,shortcut,0.17895863950252533,0.14772148430347443,1.2114597977750263,0.5045604937467705
baseline,0,0,surface_control_78,surface_control,0.0660267248749733,0.135873943567276,0.48594103579392456,-0.02396675174938816
baseline,0,0,U_unrelated_xor910,unrelated,0.05322205647826195,0.09998828917741776,0.5322828994832908,-0.06287350959859618
baseline,0,10240,A_bit0,atomic,0.5049118399620056,0.20400898158550262,2.4749490734941784,0.8164066428895284
baseline,0,10240,B_bit1,atomic,0.48496389389038086,0.11607757955789566,4.177929068932032,0.9298647133675529
baseline,0,10240,C_xor23,atomic,0.44343581795692444,0.2199808806180954,2.0157925393741336,0.762889962220072
baseline,0,10240,D_eq45,atomic,0.3865841329097748,0.19169379770755768,2.0166752264855186,0.7444658475381803
baseline,0,10240,AB_and,composite,0.3583092987537384,0.16580824553966522,2.160986008780012,0.7794870932816799
baseline,0,10240,AC_xor,composite,0.5723228454589844,0.22685956954956055,2.52280671515349,0.8334263281016873
baseline,0,10240,A_shortcut_bit6,shortcut,0.563697338104248,0.27646440267562866,2.038950883537749,0.7373036846946834
baseline,0,10240,surface_control_78,surface_control,0.4820711314678192,0.5009667873382568,0.9622816195624534,0.396524756892709
baseline,0,10240,U_unrelated_xor910,unrelated,0.431992769241333,0.2518698573112488,1.71514278783182,0.6871268339403657
baseline,0,20480,A_bit0,atomic,0.43711721897125244,0.10184372216463089,4.292038916845146,0.9367583312753105
baseline,0,20480,B_bit1,atomic,0.468840628862381,0.17718583345413208,2.6460390185827314,0.8468535122486166
baseline,0,20480,C_xor23,atomic,0.3387078642845154,0.3221803307533264,1.051299014721019,0.36376248667557937
baseline,0,20480,D_eq45,atomic,0.40478575229644775,0.2687615752220154,1.5061146741700746,0.6552893965989571
baseline,0,20480,AB_and,composite,0.43175700306892395,0.16975802183151245,2.5433673084085906,0.867859818641965
baseline,0,20480,AC_xor,composite,0.32812052965164185,0.3556756377220154,0.9225274234474495,0.3708605681146284
baseline,0,20480,A_shortcut_bit6,shortcut,0.5792415738105774,0.21769678592681885,2.6607722816938373,0.8392528516917
baseline,0,20480,surface_control_78,surface_control,0.38540637493133545,0.31313803791999817,1.23078747471928,0.4455846422060965
baseline,0,20480,U_unrelated_xor910,unrelated,0.36206769943237305,0.3135342299938202,1.1547948032288362,0.42633904375346
baseline,0,30208,A_bit0,atomic,0.11845586448907852,0.04117459058761597,2.876916632216118,0.8805691468994225
baseline,0,30208,B_bit1,atomic,0.18741218745708466,0.05522472411394119,3.3936283152273785,0.8996765912093299
baseline,0,30208,C_xor23,atomic,0.3758947253227234,0.41976258158683777,0.8954936476253428,0.2730944396007571
baseline,0,30208,D_eq45,atomic,0.5748119354248047,0.3563881814479828,1.6128815862741774,0.627809285372828
baseline,0,30208,AB_and,composite,0.21523314714431763,0.11851079016923904,1.816148106304399,0.7153212885896564
baseline,0,30208,AC_xor,composite,0.24326762557029724,0.6045434474945068,0.402398912068442,-0.15671037596228143
baseline,0,30208,A_shortcut_bit6,shortcut,0.6069015264511108,0.2472003698348999,2.4550995892683853,0.8123109982131806
baseline,0,30208,surface_control_78,surface_control,0.6684212684631348,0.3601840138435364,1.8557771660339168,0.7154724880809361
baseline,0,30208,U_unrelated_xor910,unrelated,0.5156499743461609,0.5035830736160278,1.023962085624645,0.26704667452189057
baseline,0,40448,A_bit0,atomic,0.04730543494224548,0.014067425392568111,3.3627642314616013,0.9072502548529507
baseline,0,40448,B_bit1,atomic,0.07121195644140244,0.027556607499718666,2.5842062176755705,0.8800867376342167
baseline,0,40448,C_xor23,atomic,0.5942334532737732,0.6125774383544922,0.9700544226196696,0.32079820703033696
baseline,0,40448,D_eq45,atomic,0.5924142599105835,0.807019829750061,0.7340764601699115,0.16323754774165916
