analysis_threshold,condition,task_name,role,acquisition_rate,mean_censored_acquired_at,mean_final_metric,mean_censored_expected_direction_rate,mean_final_expected_direction_rate
0.3,pretrain_different_operation_matched,K02_shortcut_for_A00_copy,fake_component_control,1.0,0.0,0.7832356929779053,0.14285714285714285,0.42857142857142866
0.3,pretrain_different_operation_matched,S01_surface_rotate,surface_control,0.9,166476.8,0.37789714336395264,0.14285714285714285,0.42857142857142866
0.3,pretrain_same_operation_unrelated,A05_substitute,component,0.0,250112.0,0.06634114719927311,0.14285714285714285,0.42857142857142866
0.3,pretrain_same_operation_unrelated,C06_reverse_then_substitute_01_05,composite,0.4,237209.6,0.3446940198540688,0.14285714285714285,0.42857142857142866
0.3,pretrain_same_operation_unrelated,U01_unrelated_substitute,unrelated_control,1.0,0.0,0.025651042535901048,0.14285714285714285,0.42857142857142866
0.3,pretrain_same_operation_unrelated,A03_copy,different_operation_control,1.0,38041.6,0.7617187738418579,0.14285714285714285,0.42857142857142866
0.3,pretrain_same_operation_unrelated,K02_shortcut_for_A00_copy,fake_component_control,1.0,38041.6,0.7621419429779053,0.14285714285714285,0.42857142857142866
0.3,pretrain_same_operation_unrelated,S01_surface_rotate,surface_control,0.6,187289.6,0.3779296979308128,0.14285714285714285,0.42857142857142866
0.4,baseline,A05_substitute,component,0.0,250112.0,0.07779948338866234,0.1142857142857143,0.42857142857142866
0.4,baseline,C06_reverse_then_substitute_01_05,composite,0.3,243481.6,0.4183919385075569,0.1142857142857143,0.42857142857142866
0.4,baseline,U01_unrelated_substitute,unrelated_control,0.0,250112.0,0.02454427145421504,0.1142857142857143,0.42857142857142866
0.4,baseline,A03_copy,different_operation_control,1.0,63539.2,0.7537109553813934,0.1142857142857143,0.42857142857142866
0.4,baseline,K02_shortcut_for_A00_copy,fake_component_control,1.0,63078.4,0.7550455927848816,0.1142857142857143,0.42857142857142866
0.4,baseline,S01_surface_rotate,surface_control,0.4,235750.4,0.3806966245174408,0.1142857142857143,0.42857142857142866
0.4,corrupt_component_strong,A05_substitute,component,0.0,250112.0,0.040039063710719344,0.1142857142857143,0.42857142857142866
0.4,corrupt_component_strong,C06_reverse_then_substitute_01_05,composite,0.1,246860.8,0.4097005307674408,0.1142857142857143,0.42857142857142866
0.4,corrupt_component_strong,U01_unrelated_substitute,unrelated_control,0.0,250112.0,0.029329427424818262,0.1142857142857143,0.42857142857142866
0.4,corrupt_component_strong,A03_copy,different_operation_control,1.0,63616.0,0.7688476741313934,0.1142857142857143,0.42857142857142866
