tier_id,model,run_dir,max_examples_per_slice,revisions,device,note
mid_full_n64,EleutherAI/pythia-1b,results/pythia_model_sweep_v32_a100/pythia-1b_n64,64,step0 step1000 step10000 step143000,cuda,Upgrade 1B/1.4B from smoke to full n=64 evaluation.
mid_full_n64,EleutherAI/pythia-1.4b,results/pythia_model_sweep_v32_a100/pythia-1p4b_n64,64,step0 step1000 step10000 step143000,cuda,Upgrade 1B/1.4B from smoke to full n=64 evaluation.
large_smoke_n16,EleutherAI/pythia-2.8b,results/pythia_model_sweep_v32_a100/pythia-2p8b_n16,16,step0 step10000 step143000,cuda,A100-preferred large-model smoke run before full evaluation.
large_smoke_n16,EleutherAI/pythia-6.9b,results/pythia_model_sweep_v32_a100/pythia-6p9b_n16,16,step0 step10000 step143000,cuda,A100-preferred large-model smoke run before full evaluation.
large_smoke_n16,EleutherAI/pythia-12b,results/pythia_model_sweep_v32_a100/pythia-12b_n16,16,step0 step10000 step143000,cuda,A100-preferred large-model smoke run before full evaluation.
