seed,task_name,condition,final_metric,baseline_final_metric,delta_final_metric_vs_baseline,acquired_at,baseline_acquired_at,delta_acquired_at_vs_baseline
0,AB_and,corrupt_A,1.0,1.0,0.0,9088.0,7040.0,2048.0
0,AB_and,corrupt_U_matched,0.996868461370468,1.0,-0.0031315386295319714,8064.0,7040.0,1024.0
0,AB_and,delay_A,1.0,1.0,0.0,9088.0,7040.0,2048.0
0,AB_and,delay_U_matched,1.0,1.0,0.0,9088.0,7040.0,2048.0
0,AB_and,upweight_A,1.0,1.0,0.0,10112.0,7040.0,3072.0
0,AB_and,upweight_U_matched,0.996868461370468,1.0,-0.0031315386295319714,9088.0,7040.0,2048.0
0,AC_xor,corrupt_A,0.5135455131530762,0.561225950717926,-0.047680437564849854,,,
0,AC_xor,corrupt_U_matched,0.576916292309761,0.561225950717926,0.015690341591835022,,,
0,AC_xor,delay_A,0.5753389298915863,0.561225950717926,0.014112979173660278,,,
0,AC_xor,delay_U_matched,0.5612392872571945,0.561225950717926,1.3336539268493652e-05,,,
0,AC_xor,upweight_A,0.5422110855579376,0.561225950717926,-0.019014865159988403,,,
0,AC_xor,upweight_U_matched,0.5209045708179474,0.561225950717926,-0.04032137989997864,,,
0,A_bit0,corrupt_A,0.9478828608989716,1.0,-0.05211713910102844,12032.0,5120.0,6912.0
0,A_bit0,corrupt_U_matched,1.0,1.0,0.0,6016.0,5120.0,896.0
0,A_bit0,delay_A,1.0,1.0,0.0,8064.0,5120.0,2944.0
0,A_bit0,delay_U_matched,1.0,1.0,0.0,5120.0,5120.0,0.0
0,A_bit0,upweight_A,1.0,1.0,0.0,1024.0,5120.0,-4096.0
0,A_bit0,upweight_U_matched,1.0,1.0,0.0,3072.0,5120.0,-2048.0
0,A_shortcut_bit6,corrupt_A,1.0,1.0,0.0,12032.0,12032.0,0.0
0,A_shortcut_bit6,corrupt_U_matched,1.0,1.0,0.0,12032.0,12032.0,0.0
0,A_shortcut_bit6,delay_A,1.0,1.0,0.0,12032.0,12032.0,0.0
0,A_shortcut_bit6,delay_U_matched,1.0,1.0,0.0,12032.0,12032.0,0.0
0,A_shortcut_bit6,upweight_A,0.97955521941185,1.0,-0.020444780588150024,14080.0,12032.0,2048.0
0,A_shortcut_bit6,upweight_U_matched,0.9859578609466552,1.0,-0.014042139053344838,14080.0,12032.0,2048.0
0,B_bit1,corrupt_A,1.0,1.0,0.0,3072.0,8064.0,-4992.0
0,B_bit1,corrupt_U_matched,1.0,1.0,0.0,7040.0,8064.0,-1024.0
0,B_bit1,delay_A,1.0,1.0,0.0,2048.0,8064.0,-6016.0
0,B_bit1,delay_U_matched,1.0,1.0,0.0,8064.0,8064.0,0.0
0,B_bit1,upweight_A,1.0,1.0,0.0,10112.0,8064.0,2048.0
0,B_bit1,upweight_U_matched,1.0,1.0,0.0,7040.0,8064.0,-1024.0
0,C_xor23,corrupt_A,0.7527475357055664,0.7109239995479584,0.04182353615760803,,,
0,C_xor23,corrupt_U_matched,0.6973760426044464,0.7109239995479584,-0.013547956943511963,,,
0,C_xor23,delay_A,0.7221077680587769,0.7109239995479584,0.011183768510818481,,,
0,C_xor23,delay_U_matched,0.6952989399433136,0.7109239995479584,-0.015625059604644775,,,
0,C_xor23,upweight_A,0.6604601144790649,0.7109239995479584,-0.05046388506889343,,,
0,C_xor23,upweight_U_matched,0.6772362887859344,0.7109239995479584,-0.033687710762023926,,,
0,D_eq45,corrupt_A,0.6336766630411148,0.5767204016447067,0.05695626139640808,,,
0,D_eq45,corrupt_U_matched,0.5888745188713074,0.5767204016447067,0.012154117226600647,,,
0,D_eq45,delay_A,0.5835257917642593,0.5767204016447067,0.006805390119552612,,,
0,D_eq45,delay_U_matched,0.5786416381597519,0.5767204016447067,0.001921236515045166,,,
0,D_eq45,upweight_A,0.5635885000228882,0.5767204016447067,-0.013131901621818542,,,
0,D_eq45,upweight_U_matched,0.5780172944068909,0.5767204016447067,0.001296892762184143,,,
0,U_unrelated_xor910,corrupt_A,0.6072403192520142,0.6331080794334412,-0.025867760181427002,,,
0,U_unrelated_xor910,corrupt_U_matched,0.5110629349946976,0.6331080794334412,-0.12204514443874359,,,
0,U_unrelated_xor910,delay_A,0.6228206753730774,0.6331080794334412,-0.01028740406036377,,,
0,U_unrelated_xor910,delay_U_matched,0.6115275919437408,0.6331080794334412,-0.021580487489700317,,,
0,U_unrelated_xor910,upweight_A,0.5615779608488083,0.6331080794334412,-0.07153011858463287,,,
0,U_unrelated_xor910,upweight_U_matched,0.9778278172016144,0.6331080794334412,0.3447197377681732,,,
0,surface_control_78,corrupt_A,0.6096816062927246,0.6083139926195145,0.001367613673210144,,,
0,surface_control_78,corrupt_U_matched,0.6281963735818863,0.6083139926195145,0.019882380962371826,,,
0,surface_control_78,delay_A,0.6339227706193924,0.6083139926195145,0.02560877799987793,,,
