condition,seed,component,target_task,component_target_grad_cosine,component_target_cka
baseline,0,A_bit0,AB_and,0.4417642653855603,0.6021965742111206
baseline,0,A_bit0,AC_xor,0.1117268556762465,0.6759924292564392
baseline,1,A_bit0,AB_and,0.6921131859444335,0.6545410752296448
baseline,1,A_bit0,AC_xor,0.3494257585866582,0.6575555801391602
baseline,2,A_bit0,AB_and,0.548271380895003,0.6297562718391418
baseline,2,A_bit0,AC_xor,0.0958604418212106,0.576136589050293
corrupt_A,0,A_bit0,AB_and,0.0204071374688946,0.6150373220443726
corrupt_A,0,A_bit0,AC_xor,0.0783780135624293,0.68385910987854
corrupt_A,1,A_bit0,AB_and,0.3169352008180412,0.59173983335495
corrupt_A,1,A_bit0,AC_xor,0.1757106472545694,0.7686991691589355
corrupt_A,2,A_bit0,AB_and,0.4587834959693377,0.8695173859596252
corrupt_A,2,A_bit0,AC_xor,0.1613773333928067,0.8044266700744629
corrupt_U_matched,0,A_bit0,AB_and,0.6823504931800385,0.6030189394950867
corrupt_U_matched,0,A_bit0,AC_xor,0.4621326903646479,0.7559891939163208
corrupt_U_matched,1,A_bit0,AB_and,0.5840562079205874,0.5546122193336487
corrupt_U_matched,1,A_bit0,AC_xor,0.3013728790394066,0.5105332136154175
corrupt_U_matched,2,A_bit0,AB_and,0.5034698431180881,0.6009170413017273
corrupt_U_matched,2,A_bit0,AC_xor,0.3001341677473597,0.5632530450820923
delay_A,0,A_bit0,AB_and,0.4427189069010542,0.594222903251648
delay_A,0,A_bit0,AC_xor,0.0766783549295002,0.4575917422771454
delay_A,1,A_bit0,AB_and,0.7014370725556514,0.5557974576950073
delay_A,1,A_bit0,AC_xor,0.4113412342891154,0.5805705785751343
delay_A,2,A_bit0,AB_and,0.513617934577007,0.6255151033401489
delay_A,2,A_bit0,AC_xor,0.1268858722711738,0.5510786175727844
delay_U_matched,0,A_bit0,AB_and,0.515387482194159,0.5852964520454407
delay_U_matched,0,A_bit0,AC_xor,-0.1386899215630513,0.7447412014007568
delay_U_matched,1,A_bit0,AB_and,0.6609553951805652,0.6119736433029175
delay_U_matched,1,A_bit0,AC_xor,0.3782700019087801,0.5701976418495178
delay_U_matched,2,A_bit0,AB_and,0.5144527040829691,0.636182427406311
delay_U_matched,2,A_bit0,AC_xor,0.218784587151028,0.5479372143745422
upweight_A,0,A_bit0,AB_and,0.3330480903748311,0.6696138381958008
upweight_A,0,A_bit0,AC_xor,0.202374591544175,0.7286528944969177
upweight_A,1,A_bit0,AB_and,0.5611651929508602,0.63982093334198
upweight_A,1,A_bit0,AC_xor,0.0968536604072278,0.7284278273582458
upweight_A,2,A_bit0,AB_and,0.2035137464802014,0.7346840500831604
upweight_A,2,A_bit0,AC_xor,-0.0342405992872343,0.8876608610153198
upweight_U_matched,0,A_bit0,AB_and,0.6521121330140381,0.5750428438186646
upweight_U_matched,0,A_bit0,AC_xor,0.4865185586596403,0.6098294258117676
upweight_U_matched,1,A_bit0,AB_and,0.521024742394389,0.511274516582489
upweight_U_matched,1,A_bit0,AC_xor,0.0927670276576468,0.4157936871051788
upweight_U_matched,2,A_bit0,AB_and,0.2406049792819686,0.6672976016998291
upweight_U_matched,2,A_bit0,AC_xor,-0.0551012464286222,0.4967017769813537
