model_name,slice_id,metric,initial_metric,final_metric,delta_metric,auc_metric,max_metric,min_metric,n_checkpoints,kind,family,prompt_family,operation_type,composition_depth,frequency_proxy,reference_learnability,formal_utility,answer_entropy_proxy,component_ids,control_type,continuous_status
EleutherAI/pythia-70m,arith_absdiff,accuracy,0.203125,0.296875,0.09375,0.2734375,0.296875,0.203125,4,atomic,arithmetic,arithmetic,absolute_difference,1,0.5,0.6,0.4,1.0,,,weak_or_uninformative
EleutherAI/pythia-70m,arith_add_large,accuracy,0.203125,0.234375,0.03125,0.2265625,0.234375,0.203125,4,atomic,arithmetic,arithmetic,addition_large,1,0.65,0.45,0.6,1.0,,,weak_or_uninformative
EleutherAI/pythia-70m,arith_add_small,accuracy,0.3125,0.234375,-0.078125,0.25390625,0.3125,0.234375,4,atomic,arithmetic,arithmetic,addition_small,1,0.9,0.2,0.9,1.0,,,usable_or_near_usable
EleutherAI/pythia-70m,arith_compare_gt,accuracy,0.234375,0.3125,0.078125,0.28515625,0.3125,0.234375,4,atomic,arithmetic,arithmetic,comparison_gt,1,0.85,0.2,0.9,1.0,,,usable_or_near_usable
EleutherAI/pythia-70m,arith_compare_lt,accuracy,0.25,0.21875,-0.03125,0.203125,0.25,0.171875,4,atomic,arithmetic,arithmetic,comparison_lt,1,0.8,0.25,0.6,1.0,,,weak_or_uninformative
EleutherAI/pythia-70m,arith_double,accuracy,0.25,0.234375,-0.015625,0.23828125,0.25,0.234375,4,atomic,arithmetic,arithmetic,double,1,0.65,0.35,0.5,1.0,,,weak_or_uninformative
EleutherAI/pythia-70m,arith_equals,accuracy,0.28125,0.15625,-0.125,0.2109375,0.28125,0.15625,4,atomic,arithmetic,arithmetic,equality,1,0.75,0.25,0.4,1.0,,,weak_or_uninformative
EleutherAI/pythia-70m,arith_even,accuracy,0.234375,0.21875,-0.015625,0.23046875,0.234375,0.21875,4,atomic,arithmetic,arithmetic,parity_even,1,0.7,0.35,0.7,1.0,,,weak_or_uninformative
EleutherAI/pythia-70m,arith_max2,accuracy,0.203125,0.265625,0.0625,0.25,0.265625,0.203125,4,atomic,arithmetic,arithmetic,max,1,0.6,0.45,0.7,1.0,,,weak_or_uninformative
EleutherAI/pythia-70m,arith_min2,accuracy,0.234375,0.125,-0.109375,0.25390625,0.328125,0.125,4,atomic,arithmetic,arithmetic,min,1,0.6,0.45,0.5,1.0,,,usable_or_near_usable
EleutherAI/pythia-70m,arith_odd,accuracy,0.265625,0.21875,-0.046875,0.23046875,0.265625,0.21875,4,atomic,arithmetic,arithmetic,parity_odd,1,0.65,0.4,0.5,1.0,,,weak_or_uninformative
EleutherAI/pythia-70m,arith_sub_small,accuracy,0.265625,0.28125,0.015625,0.27734375,0.28125,0.265625,4,atomic,arithmetic,arithmetic,subtraction,1,0.75,0.35,0.7,1.0,,,weak_or_uninformative
EleutherAI/pythia-70m,comp_absdiff_then_even,accuracy,0.1875,0.25,0.0625,0.234375,0.25,0.1875,4,composite,arithmetic,arithmetic,absdiff_then_even,2,0.28,0.75,0.0,1.0,arith_absdiff;arith_even,,weak_or_uninformative
EleutherAI/pythia-70m,comp_add_then_compare_gt,accuracy,0.28125,0.21875,-0.0625,0.234375,0.28125,0.21875,4,composite,arithmetic,arithmetic,add_then_compare_gt,2,0.4,0.55,0.0,1.0,arith_add_small;arith_compare_gt,,weak_or_uninformative
EleutherAI/pythia-70m,comp_add_then_compare_lt,accuracy,0.265625,0.25,-0.015625,0.23046875,0.265625,0.203125,4,composite,arithmetic,arithmetic,add_then_compare_lt,2,0.38,0.58,0.0,1.0,arith_add_small;arith_compare_lt,,weak_or_uninformative
EleutherAI/pythia-70m,comp_add_then_equals,accuracy,0.15625,0.296875,0.140625,0.24609375,0.296875,0.15625,4,composite,arithmetic,arithmetic,add_then_equals,2,0.3,0.7,0.0,1.0,arith_add_small;arith_equals,,weak_or_uninformative
EleutherAI/pythia-70m,comp_add_then_even,accuracy,0.1875,0.203125,0.015625,0.19921875,0.203125,0.1875,4,composite,arithmetic,arithmetic,add_then_even,2,0.35,0.6,0.0,1.0,arith_add_small;arith_even,,weak_or_uninformative
EleutherAI/pythia-70m,comp_double_then_compare_gt,accuracy,0.265625,0.234375,-0.03125,0.2421875,0.265625,0.234375,4,composite,arithmetic,arithmetic,double_then_compare_gt,2,0.32,0.65,0.0,1.0,arith_double;arith_compare_gt,,weak_or_uninformative
EleutherAI/pythia-70m,comp_max_then_compare_gt,accuracy,0.234375,0.234375,0.0,0.234375,0.234375,0.234375,4,composite,arithmetic,arithmetic,max_then_compare_gt,2,0.3,0.7,0.0,1.0,arith_max2;arith_compare_gt,,weak_or_uninformative
EleutherAI/pythia-70m,comp_min_then_compare_lt,accuracy,0.234375,0.3125,0.078125,0.28515625,0.3125,0.234375,4,composite,arithmetic,arithmetic,min_then_compare_lt,2,0.3,0.7,0.0,1.0,arith_min2;arith_compare_lt,,usable_or_near_usable
EleutherAI/pythia-70m,comp_sub_then_compare_gt,accuracy,0.28125,0.25,-0.03125,0.2578125,0.28125,0.25,4,composite,arithmetic,arithmetic,sub_then_compare_gt,2,0.35,0.65,0.0,1.0,arith_sub_small;arith_compare_gt,,weak_or_uninformative
EleutherAI/pythia-70m,comp_sub_then_odd,accuracy,0.25,0.25,0.0,0.2421875,0.25,0.234375,4,composite,arithmetic,arithmetic,sub_then_odd,2,0.32,0.68,0.0,1.0,arith_sub_small;arith_odd,,weak_or_uninformative
EleutherAI/pythia-70m,ctrl_arith_digit_surface,accuracy,0.296875,0.21875,-0.078125,0.23828125,0.296875,0.21875,4,surface_control,surface,arithmetic,digit_surface,1,0.5,0.3,0.0,1.0,,surface,weak_or_uninformative
EleutherAI/pythia-70m,ctrl_arith_word_surface,accuracy,0.21875,0.25,0.03125,0.2265625,0.25,0.21875,4,surface_control,surface,arithmetic,word_surface,1,0.5,0.3,0.0,1.0,,surface,weak_or_uninformative
EleutherAI/pythia-70m,arith_absdiff,mean_logprob_correct,-11.183631300926208,-4.812606547027826,6.371024753898382,-5.823177695274353,-3.441897602751851,-11.183631300926208,4,atomic,arithmetic,arithmetic,absolute_difference,1,0.5,0.6,0.4,1.0,,,usable_or_near_usable
EleutherAI/pythia-70m,arith_add_large,mean_logprob_correct,-11.092189759016035,-4.944152984768152,6.148036774247883,-6.056200535967946,-3.960895508527756,-11.092189759016035,4,atomic,arithmetic,arithmetic,addition_large,1,0.65,0.45,0.6,1.0,,,usable_or_near_usable
EleutherAI/pythia-70m,arith_add_small,mean_logprob_correct,-10.98301799595356,-4.898275449872017,6.084742546081543,-5.961158946622163,-3.7611065469682217,-10.98301799595356,4,atomic,arithmetic,arithmetic,addition_small,1,0.9,0.2,0.9,1.0,,,usable_or_near_usable
EleutherAI/pythia-70m,arith_compare_gt,mean_logprob_correct,-11.197066739201546,-4.703146331012249,6.493920408189297,-6.084831963293254,-4.08055579289794,-11.197066739201546,4,atomic,arithmetic,arithmetic,comparison_gt,1,0.85,0.2,0.9,1.0,,,usable_or_near_usable
EleutherAI/pythia-70m,arith_compare_lt,mean_logprob_correct,-11.043620452284811,-4.7911001816391945,6.252520270645617,-6.2345873499289155,-4.339060127735138,-11.043620452284811,4,atomic,arithmetic,arithmetic,comparison_lt,1,0.8,0.25,0.6,1.0,,,usable_or_near_usable
EleutherAI/pythia-70m,arith_double,mean_logprob_correct,-11.017861902713776,-4.383442807942629,6.634419094771147,-5.794111151713878,-3.649095844477415,-11.017861902713776,4,atomic,arithmetic,arithmetic,double,1,0.65,0.35,0.5,1.0,,,usable_or_near_usable
EleutherAI/pythia-70m,arith_equals,mean_logprob_correct,-10.997110053896904,-4.661737762391567,6.335372291505337,-6.104634408839047,-4.363918539136648,-10.997110053896904,4,atomic,arithmetic,arithmetic,equality,1,0.75,0.25,0.4,1.0,,,usable_or_near_usable
EleutherAI/pythia-70m,arith_even,mean_logprob_correct,-11.13750833272934,-4.414961762726307,6.722546570003033,-6.041637647897005,-4.234824534505606,-11.13750833272934,4,atomic,arithmetic,arithmetic,parity_even,1,0.7,0.35,0.7,1.0,,,usable_or_near_usable
EleutherAI/pythia-70m,arith_max2,mean_logprob_correct,-11.153627067804337,-5.556888706982136,5.596738360822201,-6.183313101995736,-3.774853084236384,-11.153627067804337,4,atomic,arithmetic,arithmetic,max,1,0.6,0.45,0.7,1.0,,,usable_or_near_usable
EleutherAI/pythia-70m,arith_min2,mean_logprob_correct,-11.2256638109684,-5.83155220746994,5.394111603498461,-6.19109520688653,-3.690585631877184,-11.2256638109684,4,atomic,arithmetic,arithmetic,min,1,0.6,0.45,0.5,1.0,,,usable_or_near_usable
EleutherAI/pythia-70m,arith_odd,mean_logprob_correct,-11.072018414735794,-4.423293847590685,6.648724567145109,-6.058027543127537,-4.343287289142609,-11.072018414735794,4,atomic,arithmetic,arithmetic,parity_odd,1,0.65,0.4,0.5,1.0,,,usable_or_near_usable
EleutherAI/pythia-70m,arith_sub_small,mean_logprob_correct,-11.135797679424286,-4.942141275852919,6.193656403571367,-5.92635299032554,-3.5915603078901768,-11.135797679424286,4,atomic,arithmetic,arithmetic,subtraction,1,0.75,0.35,0.7,1.0,,,usable_or_near_usable
EleutherAI/pythia-70m,comp_absdiff_then_even,mean_logprob_correct,-11.130325809121132,-4.653364632278681,6.476961176842451,-6.087497514206916,-4.1330263055861,-11.130325809121132,4,composite,arithmetic,arithmetic,absdiff_then_even,2,0.28,0.75,0.0,1.0,arith_absdiff;arith_even,,usable_or_near_usable
EleutherAI/pythia-70m,comp_add_then_compare_gt,mean_logprob_correct,-11.032944113016129,-4.621185854077339,6.411758258938789,-6.078097001649439,-4.228057287633419,-11.032944113016129,4,composite,arithmetic,arithmetic,add_then_compare_gt,2,0.4,0.55,0.0,1.0,arith_add_small;arith_compare_gt,,usable_or_near_usable
EleutherAI/pythia-70m,comp_add_then_compare_lt,mean_logprob_correct,-11.06463298201561,-4.730185307562351,6.3344476744532585,-6.15673543792218,-4.25680198520422,-11.06463298201561,4,composite,arithmetic,arithmetic,add_then_compare_lt,2,0.38,0.58,0.0,1.0,arith_add_small;arith_compare_lt,,usable_or_near_usable
EleutherAI/pythia-70m,comp_add_then_equals,mean_logprob_correct,-11.144901648163795,-4.51004932820797,6.634852319955826,-6.044061305001378,-4.213315758854151,-11.144901648163795,4,composite,arithmetic,arithmetic,add_then_equals,2,0.3,0.7,0.0,1.0,arith_add_small;arith_equals,,usable_or_near_usable
EleutherAI/pythia-70m,comp_add_then_even,mean_logprob_correct,-11.113137751817703,-4.568786047399044,6.544351704418659,-6.111966839525849,-4.267469100654125,-11.113137751817703,4,composite,arithmetic,arithmetic,add_then_even,2,0.35,0.6,0.0,1.0,arith_add_small;arith_even,,usable_or_near_usable
EleutherAI/pythia-70m,comp_double_then_compare_gt,mean_logprob_correct,-11.024722144007685,-4.265342019498348,6.759380124509336,-5.924385069869459,-4.078625708818436,-11.024722144007685,4,composite,arithmetic,arithmetic,double_then_compare_gt,2,0.32,0.65,0.0,1.0,arith_double;arith_compare_gt,,usable_or_near_usable
EleutherAI/pythia-70m,comp_max_then_compare_gt,mean_logprob_correct,-11.094503074884416,-4.746614120900631,6.3478889539837855,-6.11240654066205,-4.248934559524059,-11.094503074884416,4,composite,arithmetic,arithmetic,max_then_compare_gt,2,0.3,0.7,0.0,1.0,arith_max2;arith_compare_gt,,usable_or_near_usable
EleutherAI/pythia-70m,comp_min_then_compare_lt,mean_logprob_correct,-11.219955146312714,-4.635209947824478,6.5847451984882355,-6.070904074236751,-4.138161730021238,-11.219955146312714,4,composite,arithmetic,arithmetic,min_then_compare_lt,2,0.3,0.7,0.0,1.0,arith_min2;arith_compare_lt,,usable_or_near_usable
EleutherAI/pythia-70m,comp_sub_then_compare_gt,mean_logprob_correct,-11.094932109117508,-4.720660075545311,6.374272033572197,-6.143982660956681,-4.24918931350112,-11.094932109117508,4,composite,arithmetic,arithmetic,sub_then_compare_gt,2,0.35,0.65,0.0,1.0,arith_sub_small;arith_compare_gt,,usable_or_near_usable
EleutherAI/pythia-70m,comp_sub_then_odd,mean_logprob_correct,-11.106702104210854,-4.548943638801575,6.557758465409279,-6.037325631827116,-4.217664904892445,-11.106702104210854,4,composite,arithmetic,arithmetic,sub_then_odd,2,0.32,0.68,0.0,1.0,arith_sub_small;arith_odd,,usable_or_near_usable
EleutherAI/pythia-70m,ctrl_arith_digit_surface,mean_logprob_correct,-10.938904955983162,-5.02035154774785,5.9185534082353115,-5.969647562596947,-3.811523294076324,-10.938904955983162,4,surface_control,surface,arithmetic,digit_surface,1,0.5,0.3,0.0,1.0,,surface,usable_or_near_usable
EleutherAI/pythia-70m,ctrl_arith_word_surface,mean_logprob_correct,-11.03670373558998,-3.812090538442135,7.2246131971478444,-5.63250649627298,-3.666160490363836,-11.03670373558998,4,surface_control,surface,arithmetic,word_surface,1,0.5,0.3,0.0,1.0,,surface,usable_or_near_usable
EleutherAI/pythia-70m,arith_absdiff,mean_correct_margin,-0.8307605981826782,-0.7762889862060547,0.054471611976623535,-1.0154877812601626,-0.7762889862060547,-1.525732321664691,4,atomic,arithmetic,arithmetic,absolute_difference,1,0.5,0.6,0.4,1.0,,,usable_or_near_usable
EleutherAI/pythia-70m,arith_add_large,mean_correct_margin,-0.7880259901285172,-0.8551883921027184,-0.0671624019742012,-1.1803156337700784,-0.7880259901285172,-1.9844494219869373,4,atomic,arithmetic,arithmetic,addition_large,1,0.65,0.45,0.6,1.0,,,usable_or_near_usable
