model_name,metric,composite_slice_id,component_ids,n_components_found,composite_final,component_mean_final,composite_minus_component_final,composite_delta,component_mean_delta,composite_minus_component_delta
EleutherAI/pythia-70m,accuracy,comp_absdiff_then_even,arith_absdiff;arith_even,2,0.25,0.2578125,-0.0078125,0.0625,0.0390625,0.0234375
EleutherAI/pythia-70m,accuracy,comp_add_then_compare_gt,arith_add_small;arith_compare_gt,2,0.21875,0.2734375,-0.0546875,-0.0625,0.0,-0.0625
EleutherAI/pythia-70m,accuracy,comp_add_then_compare_lt,arith_add_small;arith_compare_lt,2,0.25,0.2265625,0.0234375,-0.015625,-0.0546875,0.0390625
EleutherAI/pythia-70m,accuracy,comp_add_then_equals,arith_add_small;arith_equals,2,0.296875,0.1953125,0.1015625,0.140625,-0.1015625,0.2421875
EleutherAI/pythia-70m,accuracy,comp_add_then_even,arith_add_small;arith_even,2,0.203125,0.2265625,-0.0234375,0.015625,-0.046875,0.0625
EleutherAI/pythia-70m,accuracy,comp_double_then_compare_gt,arith_double;arith_compare_gt,2,0.234375,0.2734375,-0.0390625,-0.03125,0.03125,-0.0625
EleutherAI/pythia-70m,accuracy,comp_max_then_compare_gt,arith_max2;arith_compare_gt,2,0.234375,0.2890625,-0.0546875,0.0,0.0703125,-0.0703125
EleutherAI/pythia-70m,accuracy,comp_min_then_compare_lt,arith_min2;arith_compare_lt,2,0.3125,0.171875,0.140625,0.078125,-0.0703125,0.1484375
EleutherAI/pythia-70m,accuracy,comp_sub_then_compare_gt,arith_sub_small;arith_compare_gt,2,0.25,0.296875,-0.046875,-0.03125,0.046875,-0.078125
EleutherAI/pythia-70m,accuracy,comp_sub_then_odd,arith_sub_small;arith_odd,2,0.25,0.25,0.0,0.0,-0.015625,0.015625
EleutherAI/pythia-70m,mean_logprob_correct,comp_absdiff_then_even,arith_absdiff;arith_even,2,-4.653364632278681,-4.613784154877067,-0.03958047740161419,6.476961176842451,6.546785661950707,-0.06982448510825634
EleutherAI/pythia-70m,mean_logprob_correct,comp_add_then_compare_gt,arith_add_small;arith_compare_gt,2,-4.621185854077339,-4.800710890442133,0.17952503636479378,6.411758258938789,6.28933147713542,0.12242678180336952
EleutherAI/pythia-70m,mean_logprob_correct,comp_add_then_compare_lt,arith_add_small;arith_compare_lt,2,-4.730185307562351,-4.844687815755606,0.11450250819325447,6.3344476744532585,6.16863140836358,0.1658162660896787
EleutherAI/pythia-70m,mean_logprob_correct,comp_add_then_equals,arith_add_small;arith_equals,2,-4.51004932820797,-4.780006606131792,0.2699572779238224,6.634852319955826,6.21005741879344,0.42479490116238594
EleutherAI/pythia-70m,mean_logprob_correct,comp_add_then_even,arith_add_small;arith_even,2,-4.568786047399044,-4.656618606299162,0.08783255890011787,6.544351704418659,6.403644558042288,0.14070714637637138
EleutherAI/pythia-70m,mean_logprob_correct,comp_double_then_compare_gt,arith_double;arith_compare_gt,2,-4.265342019498348,-4.543294569477439,0.2779525499790907,6.759380124509336,6.564169751480222,0.1952103730291146
EleutherAI/pythia-70m,mean_logprob_correct,comp_max_then_compare_gt,arith_max2;arith_compare_gt,2,-4.746614120900631,-5.130017518997192,0.38340339809656143,6.3478889539837855,6.045329384505749,0.30255956947803675
EleutherAI/pythia-70m,mean_logprob_correct,comp_min_then_compare_lt,arith_min2;arith_compare_lt,2,-4.635209947824478,-5.311326194554567,0.6761162467300892,6.5847451984882355,5.823315937072039,0.7614292614161968
EleutherAI/pythia-70m,mean_logprob_correct,comp_sub_then_compare_gt,arith_sub_small;arith_compare_gt,2,-4.720660075545311,-4.822643803432584,0.10198372788727283,6.374272033572197,6.343788405880332,0.030483627691864967
EleutherAI/pythia-70m,mean_logprob_correct,comp_sub_then_odd,arith_sub_small;arith_odd,2,-4.548943638801575,-4.682717561721802,0.13377392292022705,6.557758465409279,6.421190485358238,0.13656798005104065
EleutherAI/pythia-70m,mean_correct_margin,comp_absdiff_then_even,arith_absdiff;arith_even,2,-0.497247714549303,-0.6013202667236328,0.10407255217432981,0.24818548187613493,0.19207084923982623,0.0561146326363087
EleutherAI/pythia-70m,mean_correct_margin,comp_add_then_compare_gt,arith_add_small;arith_compare_gt,2,-0.4567813836038112,-0.6895379982888699,0.23275661468505865,0.13585380092263227,0.003384549170732526,0.13246925175189975
EleutherAI/pythia-70m,mean_correct_margin,comp_add_then_compare_lt,arith_add_small;arith_compare_lt,2,-0.4729366414248943,-0.7304468117654324,0.2575101703405381,0.12632079795002943,-0.13393636420369145,0.26025716215372086
EleutherAI/pythia-70m,mean_correct_margin,comp_add_then_equals,arith_add_small;arith_equals,2,-0.2529735639691353,-0.7654790841042995,0.5125055201351643,0.5007541105151176,-0.18136907741427422,0.6821231879293919
EleutherAI/pythia-70m,mean_correct_margin,comp_add_then_even,arith_add_small;arith_even,2,-0.3302917629480362,-0.6944751758128405,0.36418341286480427,0.40464968979358673,-0.020953321829438182,0.42560301162302494
EleutherAI/pythia-70m,mean_correct_margin,comp_double_then_compare_gt,arith_double;arith_compare_gt,2,-0.2759094201028347,-0.49281882494688034,0.21690940484404564,0.38994937017560005,0.25703249126672745,0.1329168789088726
EleutherAI/pythia-70m,mean_correct_margin,comp_max_then_compare_gt,arith_max2;arith_compare_gt,2,-0.4711437113583088,-0.48793219961225986,0.016788488253951073,0.23927224799990654,0.35795352421700954,-0.118681276217103
EleutherAI/pythia-70m,mean_correct_margin,comp_min_then_compare_lt,arith_min2;arith_compare_lt,2,-0.309488296508789,-0.6440677586942911,0.3345794621855021,0.42689639329910284,0.11647213809192183,0.310424255207181
EleutherAI/pythia-70m,mean_correct_margin,comp_sub_then_compare_gt,arith_sub_small;arith_compare_gt,2,-0.4772109761834144,-0.606369961053133,0.1291589848697186,0.09912737458944326,0.13372902199625972,-0.034601647406816455
EleutherAI/pythia-70m,mean_correct_margin,comp_sub_then_odd,arith_sub_small;arith_odd,2,-0.3801784329116344,-0.676460275426507,0.2962818425148726,0.21236296370625501,-0.005694890394806862,0.21805785410106188
EleutherAI/pythia-70m,mean_correct_mrr,comp_absdiff_then_even,arith_absdiff;arith_even,2,0.5325520833333333,0.5279947916666666,0.00455729166666663,0.03255208333333326,0.03320312499999997,-0.0006510416666667129
EleutherAI/pythia-70m,mean_correct_mrr,comp_add_then_compare_gt,arith_add_small;arith_compare_gt,2,0.5130208333333333,0.5319010416666667,-0.01888020833333348,-0.046875,0.001953125000000111,-0.04882812500000011
EleutherAI/pythia-70m,mean_correct_mrr,comp_add_then_compare_lt,arith_add_small;arith_compare_lt,2,0.5143229166666666,0.5,0.01432291666666663,-0.01822916666666674,-0.0455729166666666,0.02734374999999986
EleutherAI/pythia-70m,mean_correct_mrr,comp_add_then_equals,arith_add_small;arith_equals,2,0.5651041666666667,0.48111979166666663,0.08398437500000011,0.11067708333333343,-0.0748697916666666,0.18554687500000003
EleutherAI/pythia-70m,mean_correct_mrr,comp_add_then_even,arith_add_small;arith_even,2,0.5078125,0.5032552083333334,0.00455729166666663,0.01171875,-0.035807291666666574,0.047526041666666574
EleutherAI/pythia-70m,mean_correct_mrr,comp_double_then_compare_gt,arith_double;arith_compare_gt,2,0.54296875,0.5377604166666666,0.00520833333333337,0.01302083333333337,0.03255208333333337,-0.01953125
EleutherAI/pythia-70m,mean_correct_mrr,comp_max_then_compare_gt,arith_max2;arith_compare_gt,2,0.5208333333333334,0.5546875,-0.03385416666666663,0.01432291666666674,0.05859375,-0.04427083333333326
EleutherAI/pythia-70m,mean_correct_mrr,comp_min_then_compare_lt,arith_min2;arith_compare_lt,2,0.5572916666666667,0.4720052083333333,0.08528645833333343,0.06640625000000017,-0.043619791666666685,0.11002604166666685
