component,composite,unrelated_control,same_operation_control,different_operation_control,fake_component_control,surface_control,source_mean_residual_log_time,source_positive_rate
A01_reverse,C06_reverse_then_substitute_01_05,A07_reverse,A07_reverse,U00_unrelated_substitute,K01_shortcut_for_A03_copy,S00_surface_rotate,4.959513520275044,1.0
A05_substitute,C06_reverse_then_substitute_01_05,U01_unrelated_substitute,U01_unrelated_substitute,A03_copy,K02_shortcut_for_A00_copy,S01_surface_rotate,4.959513520275044,1.0
