pair_id,component,composite,source_role,source_task,target_task,n_rows,n_seeds,mean_gradient_cosine,median_gradient_cosine,mean_linear_cka,median_linear_cka,mean_source_gradient_norm,mean_target_gradient_norm,h3_verdict
0,A02_substitute,C06_reverse_then_substitute_02_00,different_operation_control,A07_reverse,C06_reverse_then_substitute_02_00,15,5,0.2225494358319277,0.1237882073965937,0.7134819626808167,0.8155661821365356,0.6092268725236257,0.8074000616868336,positive_exact_component_pair_specific
0,A02_substitute,C06_reverse_then_substitute_02_00,exact_component,A02_substitute,C06_reverse_then_substitute_02_00,15,5,0.5329878389280722,0.5552875093573173,0.7142602304617564,0.8149429559707642,0.8110031068325043,0.8074000616868336,positive_exact_component_pair_specific
0,A02_substitute,C06_reverse_then_substitute_02_00,fake_component_control,K01_shortcut_for_A07_reverse,C06_reverse_then_substitute_02_00,15,5,0.11190008032911918,-0.0066248983211417,0.713502687215805,0.8133907318115234,0.6952196439107259,0.8074000616868336,positive_exact_component_pair_specific
0,A02_substitute,C06_reverse_then_substitute_02_00,same_operation_control,U00_unrelated_substitute,C06_reverse_then_substitute_02_00,15,5,0.20998504213983177,0.1158845743807168,0.7146084944407145,0.8169400095939636,0.8291187266508738,0.8074000616868336,positive_exact_component_pair_specific
0,A02_substitute,C06_reverse_then_substitute_02_00,surface_control,S00_surface_rotate,C06_reverse_then_substitute_02_00,15,5,0.2161315977356093,0.1131520763014924,0.7105449914932251,0.8126998543739319,0.6245298266410828,0.8074000616868336,positive_exact_component_pair_specific
1,A00_copy,C06_reverse_then_substitute_02_00,different_operation_control,U02_unrelated_substitute,C06_reverse_then_substitute_02_00,15,5,0.20511042065289103,0.1066851956778964,0.7153226176897685,0.8167031407356262,0.82938125928243,0.8074000616868336,weak_or_negative
1,A00_copy,C06_reverse_then_substitute_02_00,exact_component,A00_copy,C06_reverse_then_substitute_02_00,15,5,0.14635909395885602,0.1166417697828835,0.7121699571609497,0.8154568076133728,0.6773548662662506,0.8074000616868336,weak_or_negative
1,A00_copy,C06_reverse_then_substitute_02_00,fake_component_control,K00_shortcut_for_A00_copy,C06_reverse_then_substitute_02_00,15,5,0.12176865857188036,0.085280530162974,0.7096812307834626,0.8144098520278931,0.6853130340576172,0.8074000616868336,weak_or_negative
1,A00_copy,C06_reverse_then_substitute_02_00,same_operation_control,A06_copy,C06_reverse_then_substitute_02_00,15,5,0.15886371752652967,0.1886577259149549,0.7101895928382873,0.8159334659576416,0.6934887786706289,0.8074000616868336,weak_or_negative
1,A00_copy,C06_reverse_then_substitute_02_00,surface_control,S02_surface_rotate,C06_reverse_then_substitute_02_00,15,5,0.261397400628977,0.1916801663911142,0.7105156660079956,0.8123242259025574,0.599840517838796,0.8074000616868336,weak_or_negative
2,A04_reverse,C07_substitute_then_reverse_04_03,different_operation_control,U02_unrelated_substitute,C07_substitute_then_reverse_04_03,15,5,0.2170859829090873,0.0525875687276067,0.7126263499259948,0.8100174069404602,0.82938125928243,0.6265106737613678,operation_family_transfer
2,A04_reverse,C07_substitute_then_reverse_04_03,exact_component,A04_reverse,C07_substitute_then_reverse_04_03,15,5,0.46540630570486796,0.5547831348319995,0.7080655674139659,0.8053327202796936,0.6183206955591838,0.6265106737613678,operation_family_transfer
2,A04_reverse,C07_substitute_then_reverse_04_03,fake_component_control,K00_shortcut_for_A00_copy,C07_substitute_then_reverse_04_03,15,5,0.2688811655395698,0.2643039506031699,0.7084890365600586,0.8089115619659424,0.6853130340576172,0.6265106737613678,operation_family_transfer
2,A04_reverse,C07_substitute_then_reverse_04_03,same_operation_control,A07_reverse,C07_substitute_then_reverse_04_03,15,5,0.44148841668753314,0.5479507362538973,0.7087271889050801,0.8077151775360107,0.6092268725236257,0.6265106737613678,operation_family_transfer
2,A04_reverse,C07_substitute_then_reverse_04_03,surface_control,S02_surface_rotate,C07_substitute_then_reverse_04_03,15,5,0.2791080713614697,0.1994662813314799,0.7080924352010091,0.8071867823600769,0.599840517838796,0.6265106737613678,operation_family_transfer
3,A03_copy,C07_substitute_then_reverse_04_03,different_operation_control,U01_unrelated_substitute,C07_substitute_then_reverse_04_03,15,5,0.1915751557692088,0.1128139897720426,0.7119634071985881,0.8149378895759583,0.8065731247266134,0.6265106737613678,weak_or_negative
3,A03_copy,C07_substitute_then_reverse_04_03,exact_component,A03_copy,C07_substitute_then_reverse_04_03,15,5,0.22972780194355338,0.1471347084071378,0.7089596629142761,0.8113027215003967,0.6865506509939829,0.6265106737613678,weak_or_negative
3,A03_copy,C07_substitute_then_reverse_04_03,fake_component_control,K02_shortcut_for_A04_reverse,C07_substitute_then_reverse_04_03,15,5,0.25233554905120187,0.2410400564528125,0.7076254149278005,0.8088977336883545,0.6968581338723501,0.6265106737613678,weak_or_negative
3,A03_copy,C07_substitute_then_reverse_04_03,same_operation_control,A06_copy,C07_substitute_then_reverse_04_03,15,5,0.27302167516730297,0.3060950681117537,0.7083932181199392,0.8111910820007324,0.6934887786706289,0.6265106737613678,weak_or_negative
3,A03_copy,C07_substitute_then_reverse_04_03,surface_control,S01_surface_rotate,C07_substitute_then_reverse_04_03,15,5,0.2908939412947266,0.2504453553577943,0.7007222314675648,0.805053174495697,0.6076646288235982,0.6265106737613678,weak_or_negative
