task_name,n_rows,mean_gradient_norm,mean_gradient_snr,mean_within_gradient_alignment
A00_copy,15,0.6773551901181539,0.9696912935340596,0.2588061093042294
A02_substitute,15,0.8110033333301544,1.1389924717956423,0.2974336415529251
A03_copy,15,0.686550889412562,1.0218216913996172,0.2796520228187243
A04_reverse,15,0.6183216412862141,0.6688991006675977,0.18692371807992456
A06_copy,15,0.6934891005357107,1.0104445774936235,0.28216694220900534
A07_reverse,15,0.6092277506987254,0.6573072879429966,0.17912740508715308
C06_reverse_then_substitute_02_00,15,0.8074003100395203,1.1001968791706944,0.28359374292194844
C07_substitute_then_reverse_04_03,15,0.6265114963054657,0.6786289626425531,0.19194108123580614
K00_shortcut_for_A00_copy,15,0.6853133340676626,0.9452832498306974,0.2568363640457392
K01_shortcut_for_A07_reverse,15,0.6952199260393779,1.058473093093845,0.29215803779661653
K02_shortcut_for_A04_reverse,15,0.696858408053716,1.0292745384228823,0.28581218657394253
S00_surface_rotate,15,0.6245305299758911,0.666004908805541,0.18657330561739702
S01_surface_rotate,15,0.6076650559902191,0.639493224951688,0.18101232374707854
S02_surface_rotate,15,0.5998407224814097,0.5766134168373992,0.14613620576759176
U00_unrelated_substitute,15,0.8291190604368845,1.1823292279666098,0.2993457329769929
U01_unrelated_substitute,15,0.8065733929475148,1.0880466983489456,0.2797466350098451
U02_unrelated_substitute,15,0.8293815155824026,1.1526982417115594,0.29572932633260884
