pair_id,component,composite,source_role,source_task,target_task,seed,data_seen,checkpoint_fraction,gradient_cosine,source_gradient_norm,target_gradient_norm,linear_cka,param_subset
0,A02_substitute,C06_reverse_then_substitute_02_00,exact_component,A02_substitute,C06_reverse_then_substitute_02_00,0,0,0.0,0.4964050831985274,0.6137790083885193,0.629331648349762,0.8503106832504272,last_block_ln_head
0,A02_substitute,C06_reverse_then_substitute_02_00,same_operation_control,U00_unrelated_substitute,C06_reverse_then_substitute_02_00,0,0,0.0,0.4767011588783278,0.6234861016273499,0.629331648349762,0.8503606915473938,last_block_ln_head
0,A02_substitute,C06_reverse_then_substitute_02_00,different_operation_control,A07_reverse,C06_reverse_then_substitute_02_00,0,0,0.0,0.4607666140287192,0.6410043239593506,0.629331648349762,0.8513065576553345,last_block_ln_head
0,A02_substitute,C06_reverse_then_substitute_02_00,fake_component_control,K01_shortcut_for_A07_reverse,C06_reverse_then_substitute_02_00,0,0,0.0,0.45110365643467193,0.6273893117904663,0.629331648349762,0.8472675085067749,last_block_ln_head
0,A02_substitute,C06_reverse_then_substitute_02_00,surface_control,S00_surface_rotate,C06_reverse_then_substitute_02_00,0,0,0.0,0.4616820792977116,0.6592822670936584,0.629331648349762,0.8480448722839355,last_block_ln_head
1,A00_copy,C06_reverse_then_substitute_02_00,exact_component,A00_copy,C06_reverse_then_substitute_02_00,0,0,0.0,0.48023675832429785,0.6214630007743835,0.629331648349762,0.8488045930862427,last_block_ln_head
1,A00_copy,C06_reverse_then_substitute_02_00,same_operation_control,A06_copy,C06_reverse_then_substitute_02_00,0,0,0.0,0.4615432345221369,0.6532104015350342,0.629331648349762,0.8488816618919373,last_block_ln_head
1,A00_copy,C06_reverse_then_substitute_02_00,different_operation_control,U02_unrelated_substitute,C06_reverse_then_substitute_02_00,0,0,0.0,0.4043728030476668,0.6240999698638916,0.629331648349762,0.8497716188430786,last_block_ln_head
1,A00_copy,C06_reverse_then_substitute_02_00,fake_component_control,K00_shortcut_for_A00_copy,C06_reverse_then_substitute_02_00,0,0,0.0,0.41721330716402494,0.648822009563446,0.629331648349762,0.8462609052658081,last_block_ln_head
1,A00_copy,C06_reverse_then_substitute_02_00,surface_control,S02_surface_rotate,C06_reverse_then_substitute_02_00,0,0,0.0,0.47419422716962456,0.6633140444755554,0.629331648349762,0.8479307293891907,last_block_ln_head
2,A04_reverse,C07_substitute_then_reverse_04_03,exact_component,A04_reverse,C07_substitute_then_reverse_04_03,0,0,0.0,0.5140526541230463,0.6525928378105164,0.6050304770469666,0.8491699695587158,last_block_ln_head
2,A04_reverse,C07_substitute_then_reverse_04_03,same_operation_control,A07_reverse,C07_substitute_then_reverse_04_03,0,0,0.0,0.49619628971666213,0.6410043239593506,0.6050304770469666,0.847059965133667,last_block_ln_head
