census_row,pair_id,component,composite,unrelated_control,same_operation_control,different_operation_control,fake_component_control,surface_control,control_battery_complete,h3_ready,h3_readiness_score,membership_source,source_residual_log_time,source_positive_rate,component_kind,component_op,component_frequency,component_reference_learnability,component_formal_utility,composite_kind,composite_op,composite_components,composite_frequency,composite_reference_learnability,composite_formal_utility,compositional_depth
0,A07_reverse__to__C03_reverse_then_substitute_07_02,A07_reverse,C03_reverse_then_substitute_07_02,A01_reverse,A01_reverse,U01_unrelated_substitute,K02_shortcut_for_A03_copy,S00_surface_rotate,True,False,2.2287325859069824,ready_pair_selection,-1.2497283379422923,,atomic,reverse,0.065320998729833,2.0,0.1985323344506372,composite,reverse_then_substitute,"A07_reverse,A02_substitute",0.0206098816944667,3.0,0.0,2
1,A02_substitute__to__C03_reverse_then_substitute_07_02,A02_substitute,C03_reverse_then_substitute_07_02,U00_unrelated_substitute,U00_unrelated_substitute,A03_copy,K01_shortcut_for_A05_substitute,S01_surface_rotate,True,False,2.2287325859069824,ready_pair_selection,-1.2497283379422923,,atomic,substitute,0.0095362756947815,1.5,0.0206098816944667,composite,reverse_then_substitute,"A07_reverse,A02_substitute",0.0206098816944667,3.0,0.0,2
2,A05_substitute__to__C06_reverse_then_substitute_05_07,A05_substitute,C06_reverse_then_substitute_05_07,U01_unrelated_substitute,U01_unrelated_substitute,A04_reverse,K00_shortcut_for_A02_substitute,S02_surface_rotate,True,False,2.221469852659437,ready_pair_selection,-1.2497283379422923,,atomic,substitute,0.018948519685711,1.5,0.1352490775505666,composite,reverse_then_substitute,"A05_substitute,A07_reverse",0.1352490775505666,3.0,0.0,2
3,A07_reverse__to__C06_reverse_then_substitute_05_07,A07_reverse,C06_reverse_then_substitute_05_07,A01_reverse,A01_reverse,U01_unrelated_substitute,K02_shortcut_for_A03_copy,S00_surface_rotate,True,False,2.221469852659437,ready_pair_selection,-1.2497283379422923,,atomic,reverse,0.065320998729833,2.0,0.1985323344506372,composite,reverse_then_substitute,"A05_substitute,A07_reverse",0.1352490775505666,3.0,0.0,2
