composite,left_condition,right_condition,expected_direction,contrast_type,n_paired_seeds,n_strict_paired_acquired,left_acquisition_rate,right_acquisition_rate,strict_delta_acquired_at_mean,strict_expected_direction_rate,censored_delta_acquired_at_mean,censored_expected_direction_rate,final_metric_delta_mean,final_metric_expected_direction_rate,left_final_metric_mean,right_final_metric_mean
C00_reverse_then_substitute_02_05,pretrain_component,pretrain_same_operation_unrelated,earlier,exact_pretrain_vs_same_operation,10,0,0.0,0.0,,,0.0,0.0,0.0006835941225290298,0.5,0.03938802182674408,0.03870442770421505
C00_reverse_then_substitute_02_05,pretrain_component,pretrain_different_operation_matched,earlier,exact_pretrain_vs_different_operation,10,0,0.0,0.0,,,0.0,0.0,0.00198567714542151,0.5,0.03938802182674408,0.03740234468132257
C00_reverse_then_substitute_02_05,pretrain_same_operation_unrelated,pretrain_different_operation_matched,earlier,operation_family_pretrain_vs_different_operation,10,0,0.0,0.0,,,0.0,0.0,0.00130208302289248,0.4,0.03870442770421505,0.03740234468132257
C00_reverse_then_substitute_02_05,corrupt_component_strong,corrupt_same_operation_unrelated_strong,later,exact_strong_corrupt_vs_same_operation,10,0,0.0,0.0,,,0.0,0.0,0.00690104179084301,0.2,0.04436849094927311,0.0374674491584301
C00_reverse_then_substitute_02_05,corrupt_component_strong,corrupt_different_operation_matched_strong,later,exact_strong_corrupt_vs_different_operation,10,0,0.0,0.0,,,0.0,0.0,0.00628255214542151,0.3,0.04436849094927311,0.038085938803851596
C00_reverse_then_substitute_02_05,delay_component_strong,delay_same_operation_unrelated_strong,later,exact_strong_delay_vs_same_operation,10,0,0.0,0.0,,,0.0,0.0,-0.00166015625,0.7,0.03740234486758709,0.03906250111758709
C00_reverse_then_substitute_02_05,delay_component_strong,delay_different_operation_matched_strong,later,exact_strong_delay_vs_different_operation,10,0,0.0,0.0,,,0.0,0.0,-0.000390625,0.6,0.03740234486758709,0.03779296986758709
