task_name,n_rows,mean_gradient_norm,mean_gradient_snr,mean_within_gradient_alignment
A01_reverse,15,0.60802135070165,0.6525704759940125,0.18418070102731385
A02_substitute,15,0.7411936223506927,0.9593506327300939,0.27058507055044173
A03_copy,15,0.6722938080628713,0.8627736037762372,0.24432921186089515
A04_reverse,15,0.61350137591362,0.6688492363820182,0.1933883095781008
A05_substitute,15,0.7312331100304922,0.9428407372378195,0.2648351925114791
A07_reverse,15,0.616826868057251,0.6490826183420483,0.1828830892841021
C03_reverse_then_substitute_07_02,15,0.618793257077535,0.6369366019103035,0.172156073525548
C06_reverse_then_substitute_05_07,15,0.6492972493171691,0.6815542882855337,0.19750054602821668
K00_shortcut_for_A02_substitute,15,0.6731051762898763,0.9008371222173852,0.2592753472427527
K01_shortcut_for_A05_substitute,15,0.6768463750680288,0.8997128582897798,0.26056643774112065
K02_shortcut_for_A03_copy,15,0.6682155470053355,0.9083539743497785,0.2622661843895912
S00_surface_rotate,15,0.591914157072703,0.5967905020569876,0.15849311848481493
S01_surface_rotate,15,0.5851366957028706,0.5852809343746224,0.14936720300465822
S02_surface_rotate,15,0.5899481991926829,0.5836691091629931,0.15136397679646807
U00_unrelated_substitute,15,0.7658052841822306,0.9767639242770485,0.2662699197418988
U01_unrelated_substitute,15,0.7653465727965038,1.0254716990335855,0.28140521769722304
