component,composite,same_operation_control,different_operation_control,fake_component_control,surface_control,unrelated_control
A07_reverse,C03_reverse_then_substitute_07_02,A01_reverse,U01_unrelated_substitute,K02_shortcut_for_A03_copy,S00_surface_rotate,A01_reverse
A02_substitute,C03_reverse_then_substitute_07_02,U00_unrelated_substitute,A03_copy,K01_shortcut_for_A05_substitute,S01_surface_rotate,U00_unrelated_substitute
A05_substitute,C06_reverse_then_substitute_05_07,U01_unrelated_substitute,A04_reverse,K00_shortcut_for_A02_substitute,S02_surface_rotate,U01_unrelated_substitute
A07_reverse,C06_reverse_then_substitute_05_07,A01_reverse,U01_unrelated_substitute,K02_shortcut_for_A03_copy,S00_surface_rotate,A01_reverse
