pair_id,component,composite,source_role,source_task,target_task,seed,data_seen,checkpoint_fraction,gradient_cosine,source_gradient_norm,target_gradient_norm,linear_cka,param_subset
0,A07_reverse,C03_reverse_then_substitute_07_02,exact_component,A07_reverse,C03_reverse_then_substitute_07_02,0,0,0.0,0.4346458976260623,0.6787915229797363,0.5950491428375244,0.8459405899047852,last_block_ln_head
0,A07_reverse,C03_reverse_then_substitute_07_02,same_operation_control,A01_reverse,C03_reverse_then_substitute_07_02,0,0,0.0,0.46373938315160174,0.6450098752975464,0.5950491428375244,0.8489310145378113,last_block_ln_head
0,A07_reverse,C03_reverse_then_substitute_07_02,different_operation_control,U01_unrelated_substitute,C03_reverse_then_substitute_07_02,0,0,0.0,0.4441836931224618,0.6385650038719177,0.5950491428375244,0.8512688279151917,last_block_ln_head
0,A07_reverse,C03_reverse_then_substitute_07_02,fake_component_control,K02_shortcut_for_A03_copy,C03_reverse_then_substitute_07_02,0,0,0.0,0.4554779486741094,0.6714659929275513,0.5950491428375244,0.8460164070129395,last_block_ln_head
0,A07_reverse,C03_reverse_then_substitute_07_02,surface_control,S00_surface_rotate,C03_reverse_then_substitute_07_02,0,0,0.0,0.4346738523349559,0.6191790699958801,0.5950491428375244,0.8478586673736572,last_block_ln_head
1,A02_substitute,C03_reverse_then_substitute_07_02,exact_component,A02_substitute,C03_reverse_then_substitute_07_02,0,0,0.0,0.49440715904854615,0.6154389381408691,0.5950491428375244,0.8492515683174133,last_block_ln_head
1,A02_substitute,C03_reverse_then_substitute_07_02,same_operation_control,U00_unrelated_substitute,C03_reverse_then_substitute_07_02,0,0,0.0,0.3953211226266715,0.6131026744842529,0.5950491428375244,0.8493796586990356,last_block_ln_head
1,A02_substitute,C03_reverse_then_substitute_07_02,different_operation_control,A03_copy,C03_reverse_then_substitute_07_02,0,0,0.0,0.45695923839225755,0.6071678996086121,0.5950491428375244,0.8489829301834106,last_block_ln_head
1,A02_substitute,C03_reverse_then_substitute_07_02,fake_component_control,K01_shortcut_for_A05_substitute,C03_reverse_then_substitute_07_02,0,0,0.0,0.4563151853675953,0.6249204277992249,0.5950491428375244,0.8438628315925598,last_block_ln_head
1,A02_substitute,C03_reverse_then_substitute_07_02,surface_control,S01_surface_rotate,C03_reverse_then_substitute_07_02,0,0,0.0,0.4766383975840613,0.6842225193977356,0.5950491428375244,0.847786545753479,last_block_ln_head
