pair_id,component,composite,contrast,delta_gradient_cosine,delta_linear_cka,exact_gradient_cosine,control_gradient_cosine,exact_linear_cka,control_linear_cka,h3_verdict
0,A07_reverse,C03_reverse_then_substitute_07_02,exact_minus_different_operation_control,-0.031126783995029494,-0.00532520612080889,0.22966201179112794,0.26078879578615743,0.7471975684165955,0.7525227745374043,
0,A07_reverse,C03_reverse_then_substitute_07_02,exact_minus_fake_component_control,0.14101577101400606,-0.001551703612009736,0.22966201179112794,0.08864624077712188,0.7471975684165955,0.7487492720286052,
0,A07_reverse,C03_reverse_then_substitute_07_02,exact_minus_same_operation_control,-0.020609249101355087,-0.00373409589131668,0.22966201179112794,0.250271260892483,0.7471975684165955,0.7509316643079121,
0,A07_reverse,C03_reverse_then_substitute_07_02,exact_minus_surface_control,-0.008358271705111886,0.0030955751736958526,0.22966201179112794,0.23802028349623983,0.7471975684165955,0.7441019932428996,
1,A02_substitute,C03_reverse_then_substitute_07_02,exact_minus_different_operation_control,0.3391826818196034,0.002751700083414743,0.4594745165814719,0.12029183476186849,0.7516045610109965,0.7488528609275817,
1,A02_substitute,C03_reverse_then_substitute_07_02,exact_minus_fake_component_control,0.33814455770334584,0.002757902940114354,0.4594745165814719,0.12132995887812606,0.7516045610109965,0.7488466580708821,
1,A02_substitute,C03_reverse_then_substitute_07_02,exact_minus_same_operation_control,0.24847082546649135,-0.002260041236877508,0.4594745165814719,0.21100369111498057,0.7516045610109965,0.753864602247874,
1,A02_substitute,C03_reverse_then_substitute_07_02,exact_minus_surface_control,0.24419224758142116,0.0022171020507811834,0.4594745165814719,0.21528226900005076,0.7516045610109965,0.7493874589602153,
2,A05_substitute,C06_reverse_then_substitute_05_07,exact_minus_different_operation_control,0.24024670193785974,0.0026954690615336174,0.45778753587611504,0.2175408339382553,0.7533331910769144,0.7506377220153808,
2,A05_substitute,C06_reverse_then_substitute_05_07,exact_minus_fake_component_control,0.3723354057225504,0.004264473915100098,0.45778753587611504,0.0854521301535646,0.7533331910769144,0.7490687171618143,
2,A05_substitute,C06_reverse_then_substitute_05_07,exact_minus_same_operation_control,0.22742342248461075,0.0005702932675679673,0.45778753587611504,0.23036411339150428,0.7533331910769144,0.7527628978093465,
2,A05_substitute,C06_reverse_then_substitute_05_07,exact_minus_surface_control,0.18266521660886204,0.0072521706422169485,0.45778753587611504,0.275122319267253,0.7533331910769144,0.7460810204346975,
3,A07_reverse,C06_reverse_then_substitute_05_07,exact_minus_different_operation_control,-0.03222537062013231,-0.00623886187871292,0.19813874277137197,0.23036411339150428,0.7465240359306335,0.7527628978093465,
3,A07_reverse,C06_reverse_then_substitute_05_07,exact_minus_fake_component_control,0.07909498368958749,-0.0007355411847432825,0.19813874277137197,0.11904375908178448,0.7465240359306335,0.7472595771153768,
3,A07_reverse,C06_reverse_then_substitute_05_07,exact_minus_same_operation_control,-0.04004401380579481,-0.0024987737337748284,0.19813874277137197,0.23818275657716678,0.7465240359306335,0.7490228096644084,
3,A07_reverse,C06_reverse_then_substitute_05_07,exact_minus_surface_control,-0.05155553006698477,0.0036746660868326453,0.19813874277137197,0.24969427283835674,0.7465240359306335,0.7428493698438009,
