source_run_dir,source_model_name,model_name,metric,n_atomic,n_composite,n_moving_atomic,n_moving_composite,mean_atomic_delta,mean_composite_delta,mean_atomic_final,mean_composite_final,h2_ready
results/pythia_model_sweep_v31_mid_smoke/pythia-1b_n16,EleutherAI/pythia-1b,EleutherAI/pythia-1b,accuracy,16,10,12,7,0.00390625,-0.0125,0.26953125,0.24375,True
results/pythia_model_sweep_v31_mid_smoke/pythia-1b_n16,EleutherAI/pythia-1b,EleutherAI/pythia-1b,mean_correct_margin,16,10,16,10,-0.3962367551866919,-0.2067460216581821,-0.7068839299026877,-0.5337138928472995,True
results/pythia_model_sweep_v31_mid_smoke/pythia-1b_n16,EleutherAI/pythia-1b,EleutherAI/pythia-1b,mean_correct_mrr,16,10,13,9,-0.0097656249999999,-0.015625,0.5270182291666666,0.5083333333333333,True
results/pythia_model_sweep_v31_mid_smoke/pythia-1b_n16,EleutherAI/pythia-1b,EleutherAI/pythia-1b,mean_logprob_correct,16,10,16,10,8.604270298266783,8.806864418834447,-2.4248538312967867,-2.2963093139231203,True
results/pythia_model_sweep_v31_mid_smoke/pythia-1b_n16,EleutherAI/pythia-1b,EleutherAI/pythia-1b,mean_logprob_margin,16,10,16,10,0.7071995718870312,0.4264918588101863,0.9167957960162312,0.6680601082742215,True
results/pythia_model_sweep_v31_mid_smoke/pythia-1.4b_n16,EleutherAI/pythia-1.4b,EleutherAI/pythia-1.4b,accuracy,16,10,14,10,0.0078125,-0.025,0.28125,0.2375,True
results/pythia_model_sweep_v31_mid_smoke/pythia-1.4b_n16,EleutherAI/pythia-1.4b,EleutherAI/pythia-1.4b,mean_correct_margin,16,10,16,10,0.2696234202012419,0.2641291104257107,-0.3413026304915547,-0.3411745704710484,True
results/pythia_model_sweep_v31_mid_smoke/pythia-1.4b_n16,EleutherAI/pythia-1.4b,EleutherAI/pythia-1.4b,mean_correct_mrr,16,10,15,9,0.0074869791666666,-0.0125,0.5335286458333333,0.5140625,True
results/pythia_model_sweep_v31_mid_smoke/pythia-1.4b_n16,EleutherAI/pythia-1.4b,EleutherAI/pythia-1.4b,mean_logprob_correct,16,10,16,10,9.008100380655378,8.962619481235743,-2.028109642211348,-2.010155262798071,True
results/pythia_model_sweep_v31_mid_smoke/pythia-1.4b_n16,EleutherAI/pythia-1.4b,EleutherAI/pythia-1.4b,mean_logprob_margin,16,10,16,10,-0.0140214418061077,-0.1012930437922477,0.3277942421846092,0.293118430674076,True
