condition,seed,data_seen,task_name,kind,grad_mean_norm,grad_noise_rms,grad_snr,within_task_grad_alignment
baseline,0,0,A_bit0,atomic,0.14145398139953613,0.14079850912094116,1.0046553921748367,0.004736561968584941
baseline,0,0,B_bit1,atomic,0.13131770491600037,0.037606462836265564,3.491891951770403,0.8495465386754238
baseline,0,0,C_xor23,atomic,0.07689119130373001,0.06019270047545433,1.2774172066562732,0.2916612476892568
baseline,0,0,D_eq45,atomic,0.08358883857727051,0.1765265315771103,0.47351997362664844,-0.8221824980855011
baseline,0,0,AB_and,composite,0.446413516998291,0.06624097377061844,6.7392354245486805,0.9709379935156752
baseline,0,0,AC_xor,composite,0.055851418524980545,0.09540900588035583,0.5853893771247713,-0.532113641675322
baseline,0,0,A_shortcut_bit6,shortcut,0.1396796554327011,0.16128459572792053,0.8660446138791086,-0.145236154004078
baseline,0,0,surface_control_78,surface_control,0.05227385088801384,0.05045970529317856,1.0359523620532238,0.03598091622843517
baseline,0,0,U_unrelated_xor910,unrelated,0.05872934311628342,0.14385023713111877,0.408267266618015,-0.7237616495232786
baseline,0,20096,A_bit0,atomic,0.06932362914085388,0.026935819536447525,2.573659548189232,0.8467695890180814
baseline,0,20096,B_bit1,atomic,0.08486983925104141,0.026151061058044434,3.2453688613024325,0.8277137201417959
baseline,0,20096,C_xor23,atomic,0.49132436513900757,0.3109937012195587,1.5798531070266186,0.42829443737710193
baseline,0,20096,D_eq45,atomic,0.5730549097061157,0.3744804561138153,1.5302665342044386,0.4247628615901642
baseline,0,20096,AB_and,composite,0.1520293802022934,0.06501922011375427,2.3382221431443257,0.8280428668461184
baseline,0,20096,AC_xor,composite,0.3681013882160187,0.40774449706077576,0.9027746318308966,-0.11223109334127566
baseline,0,20096,A_shortcut_bit6,shortcut,0.32669976353645325,0.14063505828380585,2.3230321622567263,0.7139898089763307
baseline,0,20096,surface_control_78,surface_control,0.5828412175178528,0.31006982922554016,1.8797095446910546,0.5807616281716632
baseline,0,20096,U_unrelated_xor910,unrelated,0.4222108721733093,0.38907524943351746,1.085165074845936,0.08179174749588884
