dependency_signal,mean_composite_residual,median_composite_residual,frac_positive_composite_residual,true_mechanism,replicate
positive_residual,0.033036671785540296,0.01575804477984466,0.5,frequency_only,0
no_positive_residual,-0.060983664846357755,-0.007797823249440228,0.4166666666666667,frequency_only,1
no_positive_residual,-0.026668733597161747,-0.04530662018103815,0.3333333333333333,frequency_only,2
no_positive_residual,-0.06401035077172097,-0.0007516245374157293,0.5,frequency_only,3
positive_residual,0.10176612057377336,0.09760738201575592,0.8333333333333334,frequency_only,4
positive_residual,0.05989510152199351,0.05108765316379049,0.75,frequency_only,5
positive_residual,0.019334132553839495,-0.018707825901911335,0.4166666666666667,frequency_only,6
positive_residual,0.0674092114193862,0.05361096020458511,0.6666666666666666,frequency_only,7
no_positive_residual,-0.1137751776317164,-0.08410031552834596,0.08333333333333333,frequency_only,8
positive_residual,0.029697616654618415,0.010751525335538581,0.5,frequency_only,9
positive_residual,0.17608998740022677,0.2185134003413518,0.75,frequency_only,10
positive_residual,0.06151228765879072,0.026525307468471482,0.5,frequency_only,11
no_positive_residual,-0.07681443037865347,-0.018864832221488825,0.4166666666666667,frequency_only,12
no_positive_residual,-0.06940471742439873,-0.07123696794104717,0.3333333333333333,frequency_only,13
no_positive_residual,-0.07150237983857603,-0.026771346743399427,0.3333333333333333,frequency_only,14
positive_residual,0.0665412313528786,0.10399286544432851,0.6666666666666666,frequency_only,15
no_positive_residual,-0.05487184370906991,-0.04096206063464791,0.3333333333333333,frequency_only,16
positive_residual,0.010128426210593547,0.03346874221441709,0.6666666666666666,frequency_only,17
no_positive_residual,-0.03462257623740195,-0.027835727737376637,0.4166666666666667,frequency_only,18
no_positive_residual,-0.07520717968172648,-0.06922688096555163,0.25,frequency_only,19
positive_residual,0.12743166576761297,0.11506730356475448,0.8333333333333334,frequency_only,20
no_positive_residual,-0.10778415106970944,-0.08360424030808478,0.25,frequency_only,21
no_positive_residual,-0.10764675431622302,-0.07230663194669695,0.25,frequency_only,22
positive_residual,0.08660743609956094,0.07620666133115606,0.6666666666666666,frequency_only,23
positive_residual,0.12638135824021143,0.08658845244939961,0.5833333333333334,frequency_only,24
positive_residual,0.11922908501247524,0.16750011279834887,0.6666666666666666,frequency_only,25
positive_residual,0.11698571648548306,0.10470842530909508,0.9166666666666666,frequency_only,26
no_positive_residual,-0.11298820447991116,-0.0990652436585453,0.4166666666666667,frequency_only,27
positive_residual,0.15759852450393122,0.10703855651202598,0.75,frequency_only,28
no_positive_residual,-0.006075179577415361,-0.0053078980783833885,0.5,frequency_only,29
positive_residual,0.023748058340261984,0.003804451121752983,0.5,frequency_only,30
positive_residual,0.012332302502842415,0.01343303720687583,0.5,frequency_only,31
no_positive_residual,-0.06955039878223923,-0.08012935051808334,0.3333333333333333,frequency_only,32
positive_residual,0.03970306378006461,0.03376089464886789,0.5833333333333334,frequency_only,33
positive_residual,0.11047186803492066,0.17142916243546757,0.75,frequency_only,34
positive_residual,0.04130505544180396,0.10961314838422265,0.5833333333333334,frequency_only,35
no_positive_residual,-0.04884130323274549,-0.003551968099086089,0.5,frequency_only,36
no_positive_residual,-0.06456738327472807,-0.02984780913329388,0.4166666666666667,frequency_only,37
positive_residual,0.09279614680933361,0.07621088196003001,0.6666666666666666,frequency_only,38
no_positive_residual,-0.03324274961092962,0.01139605517698783,0.5833333333333334,frequency_only,39
no_positive_residual,-0.03120188235268732,0.0020666445744641493,0.5,frequency_only,40
no_positive_residual,-0.0482277841141161,-0.06953113949023582,0.4166666666666667,frequency_only,41
no_positive_residual,-0.030721348779709928,-0.028069319077652644,0.4166666666666667,frequency_only,42
positive_residual,0.1254405083884326,0.16006712731482953,0.75,frequency_only,43
positive_residual,0.07517247955952329,0.08305375748143451,0.5833333333333334,frequency_only,44
no_positive_residual,-0.011330745090586625,-0.03582494807944059,0.4166666666666667,frequency_only,45
positive_residual,0.028435614861629748,0.026293495757530927,0.6666666666666666,frequency_only,46
positive_residual,0.028996806263201485,-0.013250521170836471,0.5,frequency_only,47
no_positive_residual,-0.01675890065248753,0.0234882015085649,0.5833333333333334,frequency_only,48
no_positive_residual,-0.016176330062095328,-0.04080645946691952,0.4166666666666667,frequency_only,49
positive_residual,0.11790527471435845,0.15141359090367867,0.75,frequency_only,50
positive_residual,0.12707210044686956,0.18317173534944686,0.75,frequency_only,51
positive_residual,0.012196922250696574,0.022689098748781333,0.5833333333333334,frequency_only,52
no_positive_residual,-0.048764357612290254,-0.11686575938903321,0.4166666666666667,frequency_only,53
positive_residual,0.07581039203347917,0.05489736490869124,0.6666666666666666,frequency_only,54
positive_residual,0.06321788063424938,0.07195791317567579,0.6666666666666666,frequency_only,55
positive_residual,0.023251549338545896,0.013466339812758576,0.5,frequency_only,56
no_positive_residual,-0.11894771501227759,-0.11223723237963679,0.25,frequency_only,57
no_positive_residual,-0.017309693202574767,-0.05395307837771757,0.25,frequency_only,58
no_positive_residual,-0.16899433887008838,-0.20274371614858655,0.25,frequency_only,59
positive_residual,0.06557616044825935,0.05996136506769023,0.5833333333333334,frequency_only,60
positive_residual,0.030002312254119683,0.031202731117523363,0.5833333333333334,frequency_only,61
no_positive_residual,-0.006421133011712025,-0.0025639507241228543,0.5,frequency_only,62
positive_residual,0.12813942420348182,0.10467254597031506,0.75,frequency_only,63
positive_residual,0.01656923600029699,-0.05946567326222052,0.4166666666666667,frequency_only,64
positive_residual,0.053581762644677955,0.06761538132277511,0.6666666666666666,frequency_only,65
no_positive_residual,-0.03166424144730969,-0.03240257598738783,0.4166666666666667,frequency_only,66
positive_residual,0.03092423093513001,0.0039203654826041046,0.5,frequency_only,67
no_positive_residual,-0.14905999599654005,-0.1297722160556143,0.08333333333333333,frequency_only,68
no_positive_residual,-0.05024833908083718,-0.07294502685663673,0.25,frequency_only,69
no_positive_residual,-0.019052518201685114,-0.05232158854715241,0.4166666666666667,frequency_only,70
no_positive_residual,-0.05317869308912856,-0.026561702326310943,0.4166666666666667,frequency_only,71
no_positive_residual,-0.16205608664653592,-0.17329681626008409,0.16666666666666666,frequency_only,72
positive_residual,0.1114884454821133,0.08438752299407248,0.6666666666666666,frequency_only,73
no_positive_residual,-0.1598636561646328,-0.19846780578719514,0.25,frequency_only,74
positive_residual,0.03470622124052136,0.04532166455947095,0.6666666666666666,frequency_only,75
no_positive_residual,-0.044187241191600744,-0.016113202671101945,0.25,frequency_only,76
positive_residual,0.013512361246694452,-0.02842774202468945,0.4166666666666667,frequency_only,77
no_positive_residual,-0.021300837848915084,-0.03755292429927071,0.25,frequency_only,78
positive_residual,0.10954046889609421,0.08427094782809963,0.75,frequency_only,79
no_positive_residual,-0.07000434422559614,-0.03243437031811158,0.3333333333333333,frequency_only,80
positive_residual,0.014012095212330303,-0.11611066564450212,0.4166666666666667,frequency_only,81
positive_residual,0.09854054412612372,0.12570904565596575,0.75,frequency_only,82
positive_residual,0.017499894285628148,0.0176897141249297,0.5,frequency_only,83
positive_residual,0.009812224102462372,0.036775617354244616,0.5833333333333334,frequency_only,84
no_positive_residual,-0.028672659647570892,-0.019333682082860015,0.4166666666666667,frequency_only,85
no_positive_residual,-0.13290575805267238,-0.16269425345211364,0.25,frequency_only,86
positive_residual,0.14339538974520036,0.12518593869576566,0.8333333333333334,frequency_only,87
no_positive_residual,-0.14768348077758228,-0.1403278501631462,0.08333333333333333,frequency_only,88
positive_residual,0.05337060959151,0.02593444714008708,0.5,frequency_only,89
no_positive_residual,-0.06098820800353918,-0.07011780741036588,0.3333333333333333,frequency_only,90
no_positive_residual,-0.0463815310923262,-0.029683317982319046,0.4166666666666667,frequency_only,91
no_positive_residual,-0.006302949408707163,-0.03648339921149191,0.3333333333333333,frequency_only,92
no_positive_residual,-0.10906015144333854,-0.13170524274714257,0.25,frequency_only,93
positive_residual,0.17264778747250262,0.17152434578063147,0.9166666666666666,frequency_only,94
positive_residual,0.15838771278381092,0.22041942908177603,0.8333333333333334,frequency_only,95
no_positive_residual,-0.0392241766737218,-0.03804273662595037,0.4166666666666667,frequency_only,96
no_positive_residual,-0.04771931895223277,-0.10789968605657485,0.16666666666666666,frequency_only,97
no_positive_residual,-0.025699414558949012,-0.059007593476447795,0.4166666666666667,frequency_only,98
no_positive_residual,-0.10179630486385467,-0.09346351437809197,0.4166666666666667,frequency_only,99
no_positive_residual,-0.01986632611933607,0.03852031213597673,0.5833333333333334,learnability_only,0
positive_residual,0.008660346420503284,-0.004465891998242988,0.4166666666666667,learnability_only,1
positive_residual,0.014093030977049725,-0.01215222631214452,0.5,learnability_only,2
positive_residual,0.1563062846236615,0.18951804418629958,0.8333333333333334,learnability_only,3
positive_residual,0.027829359400484588,0.040818916812070505,0.5833333333333334,learnability_only,4
positive_residual,0.10369088336734889,0.1290399045742694,0.75,learnability_only,5
no_positive_residual,-0.056013806945813226,0.030095286195034987,0.5,learnability_only,6
no_positive_residual,-0.011523503642812294,0.001763967895552554,0.5,learnability_only,7
no_positive_residual,-0.005361280381333581,0.007634384197997335,0.5833333333333334,learnability_only,8
no_positive_residual,-0.049060331971547466,-0.07206254753443098,0.3333333333333333,learnability_only,9
no_positive_residual,-0.024884465256225525,-0.0267013614764684,0.5,learnability_only,10
positive_residual,0.14093181032339044,0.16120503173127787,0.8333333333333334,learnability_only,11
no_positive_residual,-0.1006901393899297,-0.145766285461419,0.4166666666666667,learnability_only,12
no_positive_residual,-0.08018360890772487,-0.043340434187760124,0.25,learnability_only,13
positive_residual,0.02038462111535244,0.019761559449710475,0.5,learnability_only,14
positive_residual,0.19716116169844403,0.20838085942933393,0.8333333333333334,learnability_only,15
no_positive_residual,-0.0182050259609583,0.018774270932944148,0.5,learnability_only,16
positive_residual,0.0024142973699022483,0.04795944017851905,0.5833333333333334,learnability_only,17
positive_residual,0.008846599604339348,-0.03100090912923026,0.4166666666666667,learnability_only,18
no_positive_residual,-0.16629385786930184,-0.18197607898445334,0.16666666666666666,learnability_only,19
no_positive_residual,-0.04839504425787903,-0.009108028664335244,0.5,learnability_only,20
positive_residual,0.03016027772959662,0.08171328376910125,0.6666666666666666,learnability_only,21
no_positive_residual,-0.017287491185894826,-0.06418943669429922,0.3333333333333333,learnability_only,22
positive_residual,0.024543644770906276,0.010308855469959077,0.5833333333333334,learnability_only,23
no_positive_residual,-0.059727817286135,-0.06688839984805917,0.3333333333333333,learnability_only,24
no_positive_residual,-0.05776222763119465,-0.02496451412133105,0.4166666666666667,learnability_only,25
positive_residual,0.0946079163294377,0.08036139782607599,0.6666666666666666,learnability_only,26
