model,fold,mse,n_train,n_test,features,complexity,true_mechanism,replicate
frequency_only,0,0.02425266366027862,25,7,log_frequency,1,frequency_only,0
frequency_only,1,0.06378802756560666,25,7,log_frequency,1,frequency_only,0
frequency_only,2,0.054005338195884926,26,6,log_frequency,1,frequency_only,0
frequency_only,3,0.0084697331174331,26,6,log_frequency,1,frequency_only,0
frequency_only,4,0.07457386435962594,26,6,log_frequency,1,frequency_only,0
learnability_only,0,0.9238908091098962,25,7,reference_learnability,1,frequency_only,0
learnability_only,1,0.5217938134960414,25,7,reference_learnability,1,frequency_only,0
learnability_only,2,0.6277928328352824,26,6,reference_learnability,1,frequency_only,0
learnability_only,3,0.4488002354599683,26,6,reference_learnability,1,frequency_only,0
learnability_only,4,0.5632070562050554,26,6,reference_learnability,1,frequency_only,0
freq_learn,0,0.03538815233860588,25,7,"log_frequency,reference_learnability",2,frequency_only,0
freq_learn,1,0.06256374129724727,25,7,"log_frequency,reference_learnability",2,frequency_only,0
freq_learn,2,0.05210471115340806,26,6,"log_frequency,reference_learnability",2,frequency_only,0
freq_learn,3,0.008876118047081329,26,6,"log_frequency,reference_learnability",2,frequency_only,0
freq_learn,4,0.07323035822595106,26,6,"log_frequency,reference_learnability",2,frequency_only,0
three_factor,0,0.03274527590430173,25,7,"log_frequency,reference_learnability,formal_utility",3,frequency_only,0
three_factor,1,0.06702747238302305,25,7,"log_frequency,reference_learnability,formal_utility",3,frequency_only,0
three_factor,2,0.050800762445993165,26,6,"log_frequency,reference_learnability,formal_utility",3,frequency_only,0
three_factor,3,0.016904216998752393,26,6,"log_frequency,reference_learnability,formal_utility",3,frequency_only,0
three_factor,4,0.07715499118470703,26,6,"log_frequency,reference_learnability,formal_utility",3,frequency_only,0
frequency_only,0,0.03505250598479074,25,7,log_frequency,1,frequency_only,1
frequency_only,1,0.041232621621240174,25,7,log_frequency,1,frequency_only,1
frequency_only,2,0.021629399039211683,26,6,log_frequency,1,frequency_only,1
frequency_only,3,0.03519251312979812,26,6,log_frequency,1,frequency_only,1
frequency_only,4,0.03018074892187662,26,6,log_frequency,1,frequency_only,1
learnability_only,0,0.4325854707591147,25,7,reference_learnability,1,frequency_only,1
learnability_only,1,0.7053870227152944,25,7,reference_learnability,1,frequency_only,1
learnability_only,2,0.18660341724563825,26,6,reference_learnability,1,frequency_only,1
learnability_only,3,0.7209804033425646,26,6,reference_learnability,1,frequency_only,1
learnability_only,4,0.7025959841062758,26,6,reference_learnability,1,frequency_only,1
freq_learn,0,0.03483102228960887,25,7,"log_frequency,reference_learnability",2,frequency_only,1
freq_learn,1,0.041193262960356365,25,7,"log_frequency,reference_learnability",2,frequency_only,1
freq_learn,2,0.022237397562688388,26,6,"log_frequency,reference_learnability",2,frequency_only,1
freq_learn,3,0.036888138609408656,26,6,"log_frequency,reference_learnability",2,frequency_only,1
freq_learn,4,0.030753919749854756,26,6,"log_frequency,reference_learnability",2,frequency_only,1
three_factor,0,0.03749133268928532,25,7,"log_frequency,reference_learnability,formal_utility",3,frequency_only,1
three_factor,1,0.041143901953210424,25,7,"log_frequency,reference_learnability,formal_utility",3,frequency_only,1
three_factor,2,0.02596452619338455,26,6,"log_frequency,reference_learnability,formal_utility",3,frequency_only,1
three_factor,3,0.03983960499390532,26,6,"log_frequency,reference_learnability,formal_utility",3,frequency_only,1
three_factor,4,0.03145833623273309,26,6,"log_frequency,reference_learnability,formal_utility",3,frequency_only,1
frequency_only,0,0.03798379760634985,25,7,log_frequency,1,frequency_only,2
frequency_only,1,0.060447748839163054,25,7,log_frequency,1,frequency_only,2
frequency_only,2,0.0290908813803983,26,6,log_frequency,1,frequency_only,2
frequency_only,3,0.01303390590737545,26,6,log_frequency,1,frequency_only,2
frequency_only,4,0.01054682924353338,26,6,log_frequency,1,frequency_only,2
learnability_only,0,0.44059073321604625,25,7,reference_learnability,1,frequency_only,2
learnability_only,1,1.0010523363139494,25,7,reference_learnability,1,frequency_only,2
learnability_only,2,0.9761338311946135,26,6,reference_learnability,1,frequency_only,2
learnability_only,3,0.5507792140105648,26,6,reference_learnability,1,frequency_only,2
