model,mean_mse,se_mse,complexity,features,selected_by_parsimony,best_mean_mse,selection_threshold,true_mechanism,replicate
frequency_only,0.04501792537976585,0.012396794557664296,1,log_frequency,True,0.04501792537976585,0.05741471993743015,frequency_only,0
freq_learn,0.04643261621245872,0.011276026718771036,2,"log_frequency,reference_learnability",False,0.04501792537976585,0.05741471993743015,frequency_only,0
three_factor,0.048926543783355474,0.010989231996209103,3,"log_frequency,reference_learnability,formal_utility",False,0.04501792537976585,0.05741471993743015,frequency_only,0
learnability_only,0.6170969494212487,0.08202056647660402,1,reference_learnability,False,0.04501792537976585,0.05741471993743015,frequency_only,0
frequency_only,0.03265755773938347,0.0032668667155406673,1,log_frequency,True,0.03265755773938347,0.035924424454924136,frequency_only,1
freq_learn,0.033180748234383405,0.003211813821667759,2,"log_frequency,reference_learnability",False,0.03265755773938347,0.035924424454924136,frequency_only,1
three_factor,0.03517954041250374,0.002840757307727931,3,"log_frequency,reference_learnability,formal_utility",False,0.03265755773938347,0.035924424454924136,frequency_only,1
learnability_only,0.5496304596337775,0.10547689907151882,1,reference_learnability,False,0.03265755773938347,0.035924424454924136,frequency_only,1
freq_learn,0.03006588416972793,0.009306905160169042,2,"log_frequency,reference_learnability",False,0.03006588416972793,0.039372789329896976,frequency_only,2
frequency_only,0.030220632595364005,0.009104020369555892,1,log_frequency,True,0.03006588416972793,0.039372789329896976,frequency_only,2
three_factor,0.038140680849836836,0.01382702345036735,3,"log_frequency,reference_learnability,formal_utility",False,0.03006588416972793,0.039372789329896976,frequency_only,2
learnability_only,0.6753484009846518,0.130107528723408,1,reference_learnability,False,0.03006588416972793,0.039372789329896976,frequency_only,2
frequency_only,0.030799382031527024,0.0029374815381860457,1,log_frequency,True,0.030799382031527024,0.03373686356971307,frequency_only,3
freq_learn,0.03099660847899176,0.002759880356836422,2,"log_frequency,reference_learnability",False,0.030799382031527024,0.03373686356971307,frequency_only,3
three_factor,0.03357252190280334,0.005347349769370776,3,"log_frequency,reference_learnability,formal_utility",False,0.030799382031527024,0.03373686356971307,frequency_only,3
learnability_only,0.5970312612497789,0.1270612808791937,1,reference_learnability,False,0.030799382031527024,0.03373686356971307,frequency_only,3
three_factor,0.03888097981139674,0.00902807311814583,3,"log_frequency,reference_learnability,formal_utility",False,0.03888097981139674,0.04790905292954257,frequency_only,4
frequency_only,0.04564362263766687,0.010164295571835224,1,log_frequency,True,0.03888097981139674,0.04790905292954257,frequency_only,4
freq_learn,0.05527894889300252,0.010998267814781785,2,"log_frequency,reference_learnability",False,0.03888097981139674,0.04790905292954257,frequency_only,4
learnability_only,0.6038616503953985,0.20252759930356734,1,reference_learnability,False,0.03888097981139674,0.04790905292954257,frequency_only,4
freq_learn,0.023826397086553566,0.007008851422733801,2,"log_frequency,reference_learnability",False,0.023826397086553566,0.030835248509287365,frequency_only,5
frequency_only,0.02410579833430355,0.007031287495238741,1,log_frequency,True,0.023826397086553566,0.030835248509287365,frequency_only,5
three_factor,0.024285274157670782,0.005991897284808416,3,"log_frequency,reference_learnability,formal_utility",False,0.023826397086553566,0.030835248509287365,frequency_only,5
learnability_only,0.6113162693591144,0.1386023826000677,1,reference_learnability,False,0.023826397086553566,0.030835248509287365,frequency_only,5
frequency_only,0.023544753892044523,0.009390312015070344,1,log_frequency,True,0.023544753892044523,0.03293506590711487,frequency_only,6
three_factor,0.024653554493148273,0.009432081247114877,3,"log_frequency,reference_learnability,formal_utility",False,0.023544753892044523,0.03293506590711487,frequency_only,6
freq_learn,0.024707379600178766,0.009869111434414053,2,"log_frequency,reference_learnability",False,0.023544753892044523,0.03293506590711487,frequency_only,6
learnability_only,0.5705793354513465,0.08698881093506233,1,reference_learnability,False,0.023544753892044523,0.03293506590711487,frequency_only,6
frequency_only,0.023521156984203727,0.0048953184526569675,1,log_frequency,True,0.023521156984203727,0.028416475436860694,frequency_only,7
freq_learn,0.025574042390875545,0.005489475916266828,2,"log_frequency,reference_learnability",False,0.023521156984203727,0.028416475436860694,frequency_only,7
three_factor,0.0294939051596494,0.006084416013324096,3,"log_frequency,reference_learnability,formal_utility",False,0.023521156984203727,0.028416475436860694,frequency_only,7
learnability_only,0.5463291168400721,0.15830029143227617,1,reference_learnability,False,0.023521156984203727,0.028416475436860694,frequency_only,7
frequency_only,0.020062616436251773,0.005464436186816454,1,log_frequency,True,0.020062616436251773,0.025527052623068227,frequency_only,8
freq_learn,0.022942992530390505,0.007133773888579494,2,"log_frequency,reference_learnability",False,0.020062616436251773,0.025527052623068227,frequency_only,8
three_factor,0.02332325358078229,0.0071032528881981504,3,"log_frequency,reference_learnability,formal_utility",False,0.020062616436251773,0.025527052623068227,frequency_only,8
learnability_only,0.7588946864199316,0.2742869902442794,1,reference_learnability,False,0.020062616436251773,0.025527052623068227,frequency_only,8
freq_learn,0.03164503483783011,0.007606617337612584,2,"log_frequency,reference_learnability",False,0.03164503483783011,0.0392516521754427,frequency_only,9
frequency_only,0.03196990025588168,0.0073595926344374955,1,log_frequency,True,0.03164503483783011,0.0392516521754427,frequency_only,9
three_factor,0.034575211204725044,0.005410636905232809,3,"log_frequency,reference_learnability,formal_utility",False,0.03164503483783011,0.0392516521754427,frequency_only,9
learnability_only,0.6575102701028054,0.11754246961332729,1,reference_learnability,False,0.03164503483783011,0.0392516521754427,frequency_only,9
three_factor,0.04007583679253569,0.006678908013341186,3,"log_frequency,reference_learnability,formal_utility",False,0.04007583679253569,0.04675474480587688,frequency_only,10
freq_learn,0.040389410537808076,0.0039014975020552527,2,"log_frequency,reference_learnability",False,0.04007583679253569,0.04675474480587688,frequency_only,10
frequency_only,0.04299181415147572,0.004931235157284341,1,log_frequency,True,0.04007583679253569,0.04675474480587688,frequency_only,10
learnability_only,0.5997364225642386,0.10474089423695611,1,reference_learnability,False,0.04007583679253569,0.04675474480587688,frequency_only,10
freq_learn,0.035008982177100016,0.012909971331849259,2,"log_frequency,reference_learnability",False,0.035008982177100016,0.04791895350894927,frequency_only,11
