structure_id,kind,frequency,reference_learnability,formal_utility,component_a,component_b
S00,atomic,0.03057360009531674,1.5403860200896449,0.2986961328189226,,
S01,atomic,0.011311372478127543,3.885953360776327,0.6719948779563594,,
S02,atomic,0.006087095441118395,3.1014172899029036,0.1995154439682133,,
S03,atomic,0.00569717441844659,2.2409675022358226,0.9421131105064978,,
S04,atomic,0.04928349825241184,2.9433414353271563,0.36511016824482856,,
S05,atomic,0.0645216349898394,4.557951337396001,0.10549527957022953,,
S06,atomic,0.02816310544273996,4.736174063824999,0.6291081515397092,,
S07,atomic,0.03928041221998434,2.431180786836281,0.9271545530678674,,
S08,atomic,0.02374510577506732,3.2861193229190437,0.440377154715784,,
S09,atomic,0.06854124867247946,2.2874775643037686,0.9545904936907372,,
S10,atomic,0.04962948190835064,3.377200120798787,0.499895813687647,,
S11,atomic,0.005488355494884818,2.351644902028533,0.42522862484907553,,
S12,atomic,0.05554016722642125,2.566476002112645,0.6202134520153778,,
S13,atomic,0.005966521493080646,4.561097408019169,0.9950965052353241,,
S14,atomic,0.03929731703022753,1.9086303741335189,0.9489436749377653,,
S15,atomic,0.008766142938288318,3.4927485787441697,0.4600451393090961,,
S16,atomic,0.056415532719221735,1.3360613743295393,0.7577288453082914,,
S17,atomic,0.023606375775848364,4.330576590613591,0.49742269548761897,,
S18,atomic,0.012266200028108533,4.148393229954733,0.5293121601967704,,
S19,atomic,0.017113555752436657,1.9574777719718086,0.7857857007138075,,
S20,composite,0.005882040704537929,4.505936923242816,0.14512954727448477,S06,S02
S21,composite,0.007627636407337536,1.2342721392207774,0.25706925012605525,S19,S07
S22,composite,0.03349168671350764,2.3444682421826415,0.24890000729641243,S18,S08
S23,composite,0.031432247492381674,1.6011178675793563,0.3262208903146824,S07,S10
S24,composite,0.028838359963109968,2.801357466597148,0.040226421648316815,S19,S20
S25,composite,0.01539789400477248,4.1852970811491765,0.25515529097670825,S24,S22
S26,composite,0.08110196874161213,1.9225688359749897,0.32459837501859595,S10,S14
S27,composite,0.07758421608819074,1.2080852042576384,0.33877416647362624,S11,S04
S28,composite,0.034872368360278315,2.618207359286113,0.00514720673787925,S18,S01
S29,composite,0.03171180607892794,1.7940521780370213,0.3022740315859515,S20,S05
S30,composite,0.035147763057273254,1.3630121824764876,0.34341826402322045,S14,S00
S31,composite,0.015618114235670342,3.3213295439474027,0.3350235628638372,S09,S21
