composite,mean_residual_log_time,max_residual_log_time,positive_rate,n_candidate_components,mean_final_metric,max_final_metric,min_final_metric,acq_rate_t0p3,acq_rate_t0p4,acq_rate_t0p5,acq_rate_t0p6,acq_rate_t0p7,kind,op,frequency,reference_learnability,formal_utility,components,residual_pass,final_pass,acq_pass,h3_ready,h3_readiness_score
C06_reverse_then_substitute_01_05,4.936339595886759,4.959513520275044,,2,0.4008626416946451,0.76171875,0.0598958358168602,0.6333333333333333,0.43333333333333335,0.3333333333333333,0.25,0.06666666666666667,composite,reverse_then_substitute,0.0516770010672922,3.0,0.0,"A01_reverse,A05_substitute",True,True,True,True,7.295147231460764
C00_reverse_then_substitute_02_05,4.945261313235686,5.001246020816369,,2,0.03973524410588046,0.1142578125,0.0094401044771075,0.0,0.0,0.0,0.0,0.0,composite,reverse_then_substitute,0.015236661713767,3.0,0.0,"A02_substitute,A05_substitute",True,False,False,False,5.001246020816369
