source_run_dir,source_model_name,model_name,metric,group,n,mean_final,mean_delta,mean_auc,rho_frequency_proxy_final,rho_frequency_proxy_delta,rho_frequency_proxy_auc,rho_reference_learnability_final,rho_reference_learnability_delta,rho_reference_learnability_auc,rho_formal_utility_final,rho_formal_utility_delta,rho_formal_utility_auc,rho_composition_depth_final,rho_composition_depth_delta,rho_composition_depth_auc,rho_answer_entropy_proxy_final,rho_answer_entropy_proxy_delta,rho_answer_entropy_proxy_auc
results/pythia_model_sweep_v31_410m/pythia-410m_n64,EleutherAI/pythia-410m,EleutherAI/pythia-410m,accuracy,all,29,0.2392241379310344,-0.0043103448275862,0.2428609913793103,-0.2502522601009298,-0.001279133133797,-0.2772151743948,0.1802067724536535,0.0042627160756584,0.2178993745137309,-0.0842347996105525,0.0250625412489246,-0.0966888951305635,0.1794675376324005,-0.1094924143675952,0.2300960598266189,,,
results/pythia_model_sweep_v31_410m/pythia-410m_n64,EleutherAI/pythia-410m,EleutherAI/pythia-410m,accuracy,atomic,16,0.2314453125,-0.0048828125,0.233154296875,0.0120307417295217,-0.4016639991640683,0.0404236914594999,-0.0514927667314833,0.3887026394476281,-0.0586940418600875,0.286631505582414,-0.0874973387786101,0.2876555300783248,,,,,,
results/pythia_model_sweep_v31_410m/pythia-410m_n64,EleutherAI/pythia-410m,EleutherAI/pythia-410m,accuracy,composite,10,0.25,-0.00625,0.258203125,-0.7779282831939609,0.3875225804183999,-0.8404606389858067,0.6580782119679491,-0.3724809684824269,0.6085123568746214,,,,,,,,,
results/pythia_model_sweep_v31_410m/pythia-410m_n64,EleutherAI/pythia-410m,EleutherAI/pythia-410m,accuracy,true_atomic_composite,26,0.2385817307692307,-0.0054086538461538,0.2427884615384615,-0.2645938669943746,-0.009749280474432,-0.3028843269102881,0.2316378316781598,0.0101274368813262,0.2659460636512515,-0.06397138626496,0.0609623909931848,-0.0974368585782565,0.2020819241604706,-0.0932581053583724,0.242731909699347,,,
results/pythia_model_sweep_v31_410m/pythia-410m_n64,EleutherAI/pythia-410m,EleutherAI/pythia-410m,mean_correct_margin,all,29,-0.8223774410013495,-0.4238727845508477,-0.7641539639343733,-0.4226876787815864,-0.4251638807662471,-0.4476973188266598,0.4668954788779882,0.49090866098359,0.4951171568165306,-0.0912295993345415,-0.0142952363629623,-0.139573489580196,0.3381728881144067,0.3034884893334419,0.4075416856763363,,,
results/pythia_model_sweep_v31_410m/pythia-410m_n64,EleutherAI/pythia-410m,EleutherAI/pythia-410m,mean_correct_margin,atomic,16,-0.8712155020912178,-0.4656881748815067,-0.8095086462417385,-0.3184286974031653,-0.5935032529063691,-0.1136177511861059,0.3590646727807801,0.5608530839303095,0.2433330840332559,0.3895968612369898,0.3361227822436775,0.5423799440750251,,,,,,
results/pythia_model_sweep_v31_410m/pythia-410m_n64,EleutherAI/pythia-410m,EleutherAI/pythia-410m,mean_correct_margin,composite,10,-0.7321354621089995,-0.3328914606012404,-0.6795093850465491,-0.6788335930269976,-0.4913462197147793,-0.7693447387639306,0.5081391846066426,0.2572062539366956,0.7026122058758515,,,,,,,,,
results/pythia_model_sweep_v31_410m/pythia-410m_n64,EleutherAI/pythia-410m,EleutherAI/pythia-410m,mean_correct_margin,true_atomic_composite,26,-0.8177231790211338,-0.4146125155429427,-0.7595089303974348,-0.5031123284069512,-0.5244627489142961,-0.4817619078996062,0.4955406523349945,0.4872988119635184,0.5161452532636845,-0.1797227007262513,-0.1200519226195117,-0.1751053190870393,0.3478505426185217,0.2846049894151541,0.4005551702879947,,,
results/pythia_model_sweep_v31_410m/pythia-410m_n64,EleutherAI/pythia-410m,EleutherAI/pythia-410m,mean_correct_mrr,all,29,0.511090158045977,-0.0045797413793103,0.514367816091954,-0.3918043985290911,-0.1326659850852534,-0.3298707313329264,0.2668758665757672,0.0603102306368439,0.2473414824794558,-0.2015321774227512,0.0104016607702065,-0.1658451673498643,0.2993004144464606,-0.0347014973271258,0.2601650328590644,,,
results/pythia_model_sweep_v31_410m/pythia-410m_n64,EleutherAI/pythia-410m,EleutherAI/pythia-410m,mean_correct_mrr,atomic,16,0.5013834635416667,-0.0066731770833333,0.5067342122395833,0.0590947992536215,-0.2328105193315643,0.0942524646323583,-0.0905746608721324,0.2674665198687531,-0.1187864404880425,0.4105245447612873,0.3412084213163108,0.2843857181586571,,,,,,
