dependency_signal,mean_composite_residual,median_composite_residual,frac_positive_composite_residual,true_mechanism,replicate
no_positive_residual,-0.10363089399536785,-0.04136370961264113,0.5,frequency_only,0
positive_residual,0.08438744384303298,0.09284853580692243,0.5,frequency_only,1
positive_residual,0.13796838825837865,0.1847099910649952,0.75,frequency_only,2
positive_residual,0.08882433119356614,0.11703408576517393,0.75,learnability_only,0
no_positive_residual,-0.05181829146880412,-0.0007128023265661199,0.5,learnability_only,1
positive_residual,0.012797789823257855,-0.09564296293760055,0.5,learnability_only,2
no_positive_residual,-0.08937375539621062,-0.1031332720306386,0.25,three_factor,0
positive_residual,0.1732425251109495,0.1996159599525269,0.75,three_factor,1
positive_residual,0.12304532781941102,0.10489751530456193,0.5,three_factor,2
positive_residual,0.9750851392910183,0.8057430561195273,1.0,dependency_gated,0
positive_residual,1.1970253519456815,0.893473380947837,1.0,dependency_gated,1
positive_residual,1.0063254538425008,0.8478222307623389,1.0,dependency_gated,2
