model,mean_mse,se_mse,complexity,features,selected_by_parsimony,best_mean_mse,selection_threshold,true_mechanism,replicate
frequency_only,0.0257462036780834,0.011676518905015205,1,log_frequency,True,0.0257462036780834,0.0374227225830986,frequency_only,0
freq_learn,0.026875024566628943,0.011851587586739348,2,"log_frequency,reference_learnability",False,0.0257462036780834,0.0374227225830986,frequency_only,0
three_factor,0.029359921066384926,0.012458275478353617,3,"log_frequency,reference_learnability,formal_utility",False,0.0257462036780834,0.0374227225830986,frequency_only,0
learnability_only,0.5007026669368765,0.1600019060757433,1,reference_learnability,False,0.0257462036780834,0.0374227225830986,frequency_only,0
frequency_only,0.03509240125774663,0.011559115907234078,1,log_frequency,True,0.03509240125774663,0.04665151716498071,frequency_only,1
freq_learn,0.048674758185874176,0.022154959268153876,2,"log_frequency,reference_learnability",False,0.03509240125774663,0.04665151716498071,frequency_only,1
three_factor,0.050082086031942655,0.021346105505354485,3,"log_frequency,reference_learnability,formal_utility",False,0.03509240125774663,0.04665151716498071,frequency_only,1
learnability_only,0.5779642698310816,0.18915322361812986,1,reference_learnability,False,0.03509240125774663,0.04665151716498071,frequency_only,1
frequency_only,0.03619549646016567,0.01592527055423653,1,log_frequency,True,0.03619549646016567,0.0521207670144022,frequency_only,2
freq_learn,0.038339704770084124,0.017171682366891577,2,"log_frequency,reference_learnability",False,0.03619549646016567,0.0521207670144022,frequency_only,2
three_factor,0.05855424444765215,0.01731213188085177,3,"log_frequency,reference_learnability,formal_utility",False,0.03619549646016567,0.0521207670144022,frequency_only,2
learnability_only,0.633840557223474,0.17003470601515902,1,reference_learnability,False,0.03619549646016567,0.0521207670144022,frequency_only,2
three_factor,0.03280938054446163,0.008852212218135333,3,"log_frequency,reference_learnability,formal_utility",False,0.03280938054446163,0.04166159276259696,learnability_only,0
learnability_only,0.03649795394791119,0.00910531815679154,1,reference_learnability,True,0.03280938054446163,0.04166159276259696,learnability_only,0
