structure_id,kind,frequency,reference_learnability,formal_utility,component_a,component_b
S00,atomic,0.0492641974027699,1.734956473124651,0.816845417597935,,
S01,atomic,0.08034313394389145,1.6601913575088023,0.16091495418718715,,
S02,atomic,0.09239860401825495,2.897392100614449,0.9238102251220786,,
S03,atomic,0.03605329719169608,1.0602911141216667,0.8934908572612101,,
S04,atomic,0.08115457616204058,2.832692882169488,0.6683219628377037,,
S05,atomic,0.138917390150293,1.6516897996539992,0.04944732071160585,,
S06,atomic,0.035471431880335476,2.078560890652336,0.6633085284909913,,
S07,atomic,0.0356953159661453,4.169762423041591,0.6003476823640091,,
S08,composite,0.039316813441415306,1.7362688859076423,0.2702720680216449,S00,S01
S09,composite,0.052904140889684495,3.4685153322758557,0.07484105381437307,S08,S02
S10,composite,0.3321421166320188,2.625249079565652,0.33367460363924945,S07,S08
S11,composite,0.02633898232145463,2.6703822769438794,0.31016900241742895,S09,S10
