pair_id,predictor_stage,predictor_multiplier,n_predictor_rows,mean_gradient_cosine,std_gradient_cosine,mean_gradient_inner_product,std_gradient_inner_product,mean_first_order_transfer_score,std_first_order_transfer_score,mean_source_gradient_norm,std_source_gradient_norm,mean_target_gradient_norm,std_target_gradient_norm,mean_source_gradient_snr,std_source_gradient_snr,mean_target_gradient_snr,std_target_gradient_snr,mean_linear_cka,std_linear_cka
P000_A05_substitute__to__C05_copy_then_substitute_05_07,early,1.0,3,0.09739446537069141,0.14046343486107668,0.0241139963424454,0.03480838576948597,0.0241139963424454,0.03480838576948597,0.49127644300460815,0.029078143190613262,0.48932315905888873,0.016830063954994562,0.4838268885777363,0.05530094608442414,0.3885430757638721,0.032905089510932954,0.8354195356369019,0.01857908458697625
P001_C03_reverse_then_substitute_01_06__to__A06_copy,early,1.0,3,0.1427246517725568,0.03422192951016012,0.0338670555502176,0.009856538716920738,0.0338670555502176,0.009856538716920738,0.4747667908668518,0.02145071520388559,0.4939204653104146,0.014858041189512814,0.39115678475472065,0.03698380212822752,0.4222975067094641,0.03476672162776093,0.8298222819964091,0.013309203097648332
P002_U00_unrelated_substitute__to__A02_substitute,early,1.0,3,0.047227704533621295,0.12381056866302033,0.0092188070217768,0.027631523243551462,0.0092188070217768,0.027631523243551462,0.46647643049558,0.037826305098779316,0.4894329806168874,0.026729268193740264,0.3975984465498892,0.1211738957424937,0.4152291004690707,0.06827918517856559,0.8350205222765604,0.016019953488421005
P003_A06_copy__to__A00_copy,early,1.0,3,0.15169338829571793,0.09806360354093117,0.03454903295884523,0.021002348633635624,0.03454903295884523,0.021002348633635624,0.4939204653104146,0.014858041189512814,0.4730871617794037,0.029779586751680225,0.4222975067094641,0.03476672162776093,0.3993035849013315,0.015190332617697474,0.8311569492022196,0.015713026893630824
P004_A00_copy__to__A06_copy,early,1.0,3,0.15169338829571793,0.09806360354093117,0.03454903295884523,0.021002348633635624,0.03454903295884523,0.021002348633635624,0.4730871617794037,0.029779586751680225,0.4939204653104146,0.014858041189512814,0.3993035849013315,0.015190332617697474,0.4222975067094641,0.03476672162776093,0.8311569094657898,0.015712999285578805
P005_U02_unrelated_substitute__to__S00_surface_rotate,early,1.0,3,0.17088766043665884,0.05840578535474665,0.03995239983002336,0.014300539969538282,0.03995239983002336,0.014300539969538282,0.4924006760120392,0.042681001887125654,0.4717614253362019,0.004205077956622889,0.4454706599691629,0.0972612813487829,0.37194495131141764,0.027937615259278015,0.8343656460444132,0.017191992203535896
P006_A01_reverse__to__C00_reverse_then_substitute_01_06,early,1.0,3,0.1675666459034467,0.0478335993995382,0.0324750790993372,0.010057108115220913,0.0324750790993372,0.010057108115220913,0.41684380173683167,0.025650282777811905,0.4612312316894531,0.019060525562063793,0.3078235394233247,0.05364644253600698,0.36562543068444725,0.02541967351929237,0.8286701242129008,0.01880338724844406
P007_C00_reverse_then_substitute_01_06__to__A01_reverse,early,1.0,3,0.1675666459034467,0.0478335993995382,0.0324750790993372,0.010057108115220913,0.0324750790993372,0.010057108115220913,0.4612312316894531,0.019060525562063793,0.41684380173683167,0.025650282777811905,0.36562543068444725,0.02541967351929237,0.3078235394233247,0.05364644253600698,0.8286701242129008,0.01880338724844406
P008_S00_surface_rotate__to__A04_reverse,early,1.0,3,0.2015778172833541,0.10281929703872852,0.04557864057521024,0.02311527018577284,0.04557864057521024,0.02311527018577284,0.4717614253362019,0.004205077956622889,0.4822763502597809,0.007745377839383939,0.37194495131141764,0.027937615259278015,0.41924476215730566,0.026413786203322576,0.8297945857048035,0.01643761323635031
P009_A07_reverse__to__A04_reverse,early,1.0,3,0.23594596026300207,0.05398197794083894,0.05278661598761874,0.01168798688587889,0.05278661598761874,0.01168798688587889,0.4653554360071818,0.010101567727099787,0.4822763502597809,0.007745377839383939,0.37490676728752037,0.036385916470028645,0.41924476215730566,0.026413786203322576,0.8281549413998922,0.01946497767252708
P010_A05_substitute__to__A02_substitute,early,1.0,3,0.09558366313523291,0.1868493898630562,0.021532889765997733,0.041075134802707844,0.021532889765997733,0.041075134802707844,0.49127644300460815,0.029078143190613262,0.4894329806168874,0.026729268193740264,0.4838268885777363,0.05530094608442414,0.4152291004690707,0.06827918517856559,0.8375831643740336,0.01597755592018457
P011_A06_copy__to__C03_reverse_then_substitute_01_06,early,1.0,3,0.1427246517725568,0.03422192951016012,0.0338670555502176,0.009856538716920738,0.0338670555502176,0.009856538716920738,0.4939204653104146,0.014858041189512814,0.4747667908668518,0.02145071520388559,0.4222975067094641,0.03476672162776093,0.39115678475472065,0.03698380212822752,0.829822301864624,0.013309175058922576
