task_name,structure_id,kind,op,operation_type,frequency,reference_learnability,formal_utility,n_components,composition_depth,target_length,input_length,output_entropy,positionwise_entropy_mean,positionwise_entropy_min,positionwise_entropy_max,random_baseline_token_accuracy,copy_fraction,control_type,control_for,components
A00_copy,A00_copy,atomic,copy,copy,0.011452110971760807,1.0,0.0,0,1,6,6,4.988039475958159,4.988039475958159,4.984412239666586,4.993069889799424,0.039794921875,1.0,,,
A01_reverse,A01_reverse,atomic,reverse,reverse,0.03154796285739972,2.0,0.02495834635039281,0,1,6,6,4.988039475958159,4.988039475958159,4.984412239666586,4.993069889799424,0.039794921875,0.029622395833333332,,,
A02_substitute,A02_substitute,atomic,substitute,substitute,0.009536275694781588,1.5,0.02060988169446675,0,1,6,6,4.988039475958159,4.988039475958159,4.984412239666586,4.993069889799424,0.039794921875,0.0,,,
A03_copy,A03_copy,atomic,copy,copy,0.010408821942085906,1.0,0.06798197035789956,0,1,6,6,4.988039475958159,4.988039475958159,4.984412239666586,4.993069889799424,0.039794921875,1.0,,,
A04_reverse,A04_reverse,atomic,reverse,reverse,0.012721095886983995,2.0,0.10014119464382124,0,1,6,6,4.988039475958159,4.988039475958159,4.984412239666586,4.993069889799424,0.039794921875,0.029622395833333332,,,
A05_substitute,A05_substitute,atomic,substitute,substitute,0.01894851968571104,1.5,0.13524907755056667,0,1,6,6,4.988039475958159,4.988039475958159,4.984412239666586,4.993069889799424,0.039794921875,0.0,,,
A06_copy,A06_copy,atomic,copy,copy,0.28003725194000795,1.0,0.15322825527571723,0,1,6,6,4.988039475958159,4.988039475958159,4.984412239666586,4.993069889799424,0.039794921875,1.0,,,
A07_reverse,A07_reverse,atomic,reverse,reverse,0.06532099872983305,2.0,0.19853233445063728,0,1,6,6,4.988039475958159,4.988039475958159,4.984412239666586,4.993069889799424,0.039794921875,0.029622395833333332,,,
C00_reverse_then_substitute_04_03,C00_reverse_then_substitute_04_03,composite,reverse_then_substitute,reverse_then_substitute,0.016304969290607294,3.0,0.0,2,2,6,6,4.988039475958159,4.988039475958159,4.984412239666586,4.993069889799424,0.039794921875,0.029622395833333332,,,"A04_reverse,A03_copy"
C01_substitute_then_reverse_04_06,C01_substitute_then_reverse_04_06,composite,substitute_then_reverse,substitute_then_reverse,0.03629634256664032,3.0,0.0,2,2,6,6,4.988039475958159,4.988039475958159,4.984412239666586,4.993069889799424,0.039794921875,0.029622395833333332,,,"A04_reverse,A06_copy"
C02_copy_then_substitute_06_04,C02_copy_then_substitute_06_04,composite,copy_then_substitute,copy_then_substitute,0.022581536436180792,3.0,0.0,2,2,6,6,4.988039475958159,4.988039475958159,4.984412239666586,4.993069889799424,0.039794921875,0.029622395833333332,,,"A06_copy,A04_reverse"
C03_reverse_then_substitute_07_02,C03_reverse_then_substitute_07_02,composite,reverse_then_substitute,reverse_then_substitute,0.02060988169446675,3.0,0.0,2,2,6,6,4.988039475958159,4.988039475958159,4.984412239666586,4.993069889799424,0.039794921875,0.033447265625,,,"A07_reverse,A02_substitute"
C04_substitute_then_reverse_03_06,C04_substitute_then_reverse_03_06,composite,substitute_then_reverse,substitute_then_reverse,0.05167700106729227,3.0,0.0,2,2,6,6,4.988039475958159,4.988039475958159,4.984412239666586,4.993069889799424,0.039794921875,1.0,,,"A03_copy,A06_copy"
C05_copy_then_substitute_06_07,C05_copy_then_substitute_06_07,composite,copy_then_substitute,copy_then_substitute,0.04267337520560385,3.0,0.0,2,2,6,6,4.988039475958159,4.988039475958159,4.984412239666586,4.993069889799424,0.039794921875,0.029622395833333332,,,"A06_copy,A07_reverse"
C06_reverse_then_substitute_05_07,C06_reverse_then_substitute_05_07,composite,reverse_then_substitute,reverse_then_substitute,0.13524907755056667,3.0,0.0,2,2,6,6,4.988039475958159,4.988039475958159,4.984412239666586,4.993069889799424,0.039794921875,0.033447265625,,,"A05_substitute,A07_reverse"
C07_substitute_then_reverse_01_04,C07_substitute_then_reverse_01_04,composite,substitute_then_reverse,substitute_then_reverse,0.02495834635039281,3.0,0.0,2,2,6,6,4.988039475958159,4.988039475958159,4.984412239666586,4.993069889799424,0.039794921875,1.0,,,"A01_reverse,A04_reverse"
K00_shortcut_for_A02_substitute,K00_shortcut_for_A02_substitute,shortcut,shortcut_identity,shortcut_identity,0.017529977946109578,1.0,0.0,1,2,6,6,4.988039475958159,4.988039475958159,4.984412239666586,4.993069889799424,0.039794921875,1.0,shortcut_no_reuse,A02_substitute,A02_substitute
K01_shortcut_for_A05_substitute,K01_shortcut_for_A05_substitute,shortcut,shortcut_identity,shortcut_identity,0.01523666171376703,1.0,0.0,1,2,6,6,4.988039475958159,4.988039475958159,4.984412239666586,4.993069889799424,0.039794921875,1.0,shortcut_no_reuse,A05_substitute,A05_substitute
K02_shortcut_for_A03_copy,K02_shortcut_for_A03_copy,shortcut,shortcut_identity,shortcut_identity,0.027877971660689883,1.0,0.0,1,2,6,6,4.988039475958159,4.988039475958159,4.984412239666586,4.993069889799424,0.039794921875,1.0,shortcut_no_reuse,A03_copy,A03_copy
S00_surface_rotate,S00_surface_rotate,surface_control,surface_rotate,surface_rotate,0.088356497064568,2.0,0.0,0,1,6,6,4.988039475958158,4.988039475958158,4.984412239666586,4.993069889799424,0.039794921875,0.030354817708333332,surface_overlap_no_dependency,,
S01_surface_rotate,S01_surface_rotate,surface_control,surface_rotate,surface_rotate,0.013464172801898834,2.0,0.0,0,1,6,6,4.988039475958158,4.988039475958158,4.984412239666586,4.993069889799424,0.039794921875,0.028727213541666668,surface_overlap_no_dependency,,
S02_surface_rotate,S02_surface_rotate,surface_control,surface_rotate,surface_rotate,0.014296984282697383,2.0,0.0,0,1,6,6,4.988039475958158,4.988039475958158,4.984412239666586,4.993069889799424,0.039794921875,0.028727213541666668,surface_overlap_no_dependency,,
U00_unrelated_substitute,U00_unrelated_substitute,unrelated,substitute,substitute,0.009953916731764295,1.5,0.0,0,1,6,6,4.988039475958159,4.988039475958159,4.984412239666586,4.993069889799424,0.039794921875,0.0,unrelated_matched,,
U01_unrelated_substitute,U01_unrelated_substitute,unrelated,substitute,substitute,0.012054086724866622,1.5,0.0,0,1,6,6,4.988039475958159,4.988039475958159,4.984412239666586,4.993069889799424,0.039794921875,0.0,unrelated_matched,,
U02_unrelated_substitute,U02_unrelated_substitute,unrelated,substitute,substitute,0.010906163203323554,1.5,0.0,0,1,6,6,4.988039475958159,4.988039475958159,4.984412239666586,4.993069889799424,0.039794921875,0.0,unrelated_matched,,
