model_name,metric,target_summary,slice_id,component_ids,observed,predicted,residual,n_atomic_fit,residual_z,residual_direction,metric_direction,family,prompt_family,operation_type,composition_depth,frequency_proxy,reference_learnability,formal_utility,answer_entropy_proxy,component_ids_meta,control_type,kind
EleutherAI/pythia-1.4b,mean_correct_margin,final_metric,comp_reverse_then_same,word_reverse2;word_same,-0.2715348079800606,0.276322229079739,-0.5478570370597996,16,0.3135814840172277,under,higher_is_better,string,string,reverse_then_same,2,0.25,0.75,0.0,1.0,word_reverse2;word_same,,composite
EleutherAI/pythia-1.4b,mean_correct_margin,final_metric,comp_sub_then_compare,arith_sub_small;arith_compare,-0.3433248624205589,0.2039078184984183,-0.5472326809189771,16,0.317636272975533,under,higher_is_better,arithmetic,arithmetic,sub_then_compare,2,0.35,0.65,0.0,1.0,arith_sub_small;arith_compare,,composite
EleutherAI/pythia-1.4b,mean_correct_mrr,final_metric,comp_add_then_compare,arith_add_small;arith_compare,0.421875,0.8835476353700514,-0.4616726353700514,16,-1.5170034365779463,under,higher_is_better,arithmetic,arithmetic,add_then_compare,2,0.4,0.55,0.0,1.0,arith_add_small;arith_compare,,composite
EleutherAI/pythia-1.4b,mean_correct_mrr,final_metric,comp_add_then_even,arith_add_small;arith_even,0.4739583333333332,0.8875560069759867,-0.4135976736426535,16,-0.8273835776476129,under,higher_is_better,arithmetic,arithmetic,add_then_parity,2,0.35,0.6,0.0,1.0,arith_add_small;arith_even,,composite
EleutherAI/pythia-1.4b,mean_correct_mrr,final_metric,comp_first_then_same,word_first;word_same,0.578125,0.9201873429841964,-0.3420623429841963,16,0.19876772574709412,under,higher_is_better,string,string,first_then_same,2,0.35,0.55,0.0,1.0,word_first;word_same,,composite
EleutherAI/pythia-1.4b,mean_correct_mrr,final_metric,comp_max_then_compare,arith_max2;arith_compare,0.5208333333333333,0.8589330425737123,-0.338099709240379,16,0.255610431912921,under,higher_is_better,arithmetic,arithmetic,max_then_compare,2,0.3,0.7,0.0,1.0,arith_max2;arith_compare,,composite
EleutherAI/pythia-1.4b,mean_correct_mrr,final_metric,comp_retrieve_then_color,retrieval_object;semantic_color_lookup,0.4375,0.854924670967777,-0.417424670967777,16,-0.8822806230252777,under,higher_is_better,retrieval,retrieval,retrieve_then_color,2,0.35,0.65,0.0,1.0,retrieval_object;semantic_color_lookup,,composite
EleutherAI/pythia-1.4b,mean_correct_mrr,final_metric,comp_retrieve_then_compare,retrieval_number;arith_compare,0.53125,0.7936703705572928,-0.2624203705572928,16,1.341206197178561,under,higher_is_better,retrieval,retrieval,retrieve_then_compare,2,0.3,0.8,0.0,1.0,retrieval_number;arith_compare,,composite
EleutherAI/pythia-1.4b,mean_correct_mrr,final_metric,comp_reverse_then_first,word_reverse2;word_first,0.59375,0.8915643785819218,-0.2978143785819218,16,0.8334905392997652,under,higher_is_better,string,string,reverse_then_first,2,0.3,0.65,0.0,1.0,word_reverse2;word_first,,composite
EleutherAI/pythia-1.4b,mean_correct_mrr,final_metric,comp_reverse_then_last,word_reverse2;word_last,0.4583333333333332,0.8915643785819218,-0.4332310452485886,16,-1.1090179767343122,under,higher_is_better,string,string,reverse_then_last,2,0.3,0.65,0.0,1.0,word_reverse2;word_last,,composite
EleutherAI/pythia-1.4b,mean_correct_mrr,final_metric,comp_reverse_then_same,word_reverse2;word_same,0.6145833333333333,0.8629414141796474,-0.2483580808463141,16,1.5429252188537443,under,higher_is_better,string,string,reverse_then_same,2,0.25,0.75,0.0,1.0,word_reverse2;word_same,,composite
EleutherAI/pythia-1.4b,mean_correct_mrr,final_metric,comp_sub_then_compare,arith_sub_small;arith_compare,0.5104166666666666,0.8549246709677771,-0.3445080043011105,16,0.1636855009930686,under,higher_is_better,arithmetic,arithmetic,sub_then_compare,2,0.35,0.65,0.0,1.0,arith_sub_small;arith_compare,,composite
EleutherAI/pythia-1.4b,mean_logprob_correct,final_metric,comp_add_then_compare,arith_add_small;arith_compare,-2.138464316725731,-1.546188845353172,-0.5922754713725589,16,-0.44877135810846974,under,higher_is_better,arithmetic,arithmetic,add_then_compare,2,0.4,0.55,0.0,1.0,arith_add_small;arith_compare,,composite
