component,composite,unrelated_control,same_operation_control,different_operation_control,fake_component_control,surface_control,source_mean_residual_log_time,source_positive_rate
A02_substitute,C06_reverse_then_substitute_02_00,U00_unrelated_substitute,U00_unrelated_substitute,A07_reverse,K01_shortcut_for_A07_reverse,S00_surface_rotate,1.8579469085236917,1.0
A00_copy,C06_reverse_then_substitute_02_00,A06_copy,A06_copy,U02_unrelated_substitute,K00_shortcut_for_A00_copy,S02_surface_rotate,1.8579469085236917,1.0
