scope,x,y,spearman,n
all,reference_learnability,frequency,0.3193318933952376,25
all,reference_learnability,formal_utility,-0.2938408263733718,25
all,reference_learnability,composition_depth,0.4569580569797358,25
all,reference_learnability,output_entropy,0.2032195458530819,25
all,reference_learnability,positionwise_entropy_mean,0.2032195458530819,25
all,reference_learnability,random_baseline_token_accuracy,,25
all,reference_learnability,copy_fraction,-0.2917526021258467,25
all,reference_learnability,n_components,0.6354375173355656,25
all,reference_learnability,mean_final_metric,0.3006179295678359,25
all,reference_learnability,mean_censored_acquired_at,-0.3180596033006684,25
all,reference_learnability,acquisition_rate,0.31680778430858253,25
true_tasks_atomic_composite,reference_learnability,frequency,0.2548310648850016,16
true_tasks_atomic_composite,reference_learnability,formal_utility,-0.7290599100191815,16
true_tasks_atomic_composite,reference_learnability,composition_depth,0.9339334486684465,16
true_tasks_atomic_composite,reference_learnability,output_entropy,0.24114057954393017,16
true_tasks_atomic_composite,reference_learnability,positionwise_entropy_mean,0.24114057954393017,16
true_tasks_atomic_composite,reference_learnability,random_baseline_token_accuracy,,16
true_tasks_atomic_composite,reference_learnability,copy_fraction,-0.2343905101161064,16
true_tasks_atomic_composite,reference_learnability,n_components,0.9339334486684465,16
true_tasks_atomic_composite,reference_learnability,mean_final_metric,0.29440110601621305,16
true_tasks_atomic_composite,reference_learnability,mean_censored_acquired_at,-0.43179390270833645,16
true_tasks_atomic_composite,reference_learnability,acquisition_rate,0.3974469524479944,16
kind=atomic,reference_learnability,frequency,0.314970394174356,8
kind=atomic,reference_learnability,formal_utility,0.1259881576697424,8
kind=atomic,reference_learnability,composition_depth,,8
kind=atomic,reference_learnability,output_entropy,,8
kind=atomic,reference_learnability,positionwise_entropy_mean,,8
kind=atomic,reference_learnability,random_baseline_token_accuracy,,8
kind=atomic,reference_learnability,copy_fraction,-0.5999999999999999,8
kind=atomic,reference_learnability,n_components,,8
kind=atomic,reference_learnability,mean_final_metric,0.5669467095138407,8
kind=atomic,reference_learnability,mean_censored_acquired_at,-0.57035182547203,8
kind=atomic,reference_learnability,acquisition_rate,0.5999999999999999,8
kind=composite,reference_learnability,frequency,,8
kind=composite,reference_learnability,formal_utility,,8
kind=composite,reference_learnability,composition_depth,,8
kind=composite,reference_learnability,output_entropy,,8
kind=composite,reference_learnability,positionwise_entropy_mean,,8
kind=composite,reference_learnability,random_baseline_token_accuracy,,8
kind=composite,reference_learnability,copy_fraction,,8
kind=composite,reference_learnability,n_components,,8
kind=composite,reference_learnability,mean_final_metric,,8
kind=composite,reference_learnability,mean_censored_acquired_at,,8
kind=composite,reference_learnability,acquisition_rate,,8
kind=shortcut,reference_learnability,frequency,,3
kind=shortcut,reference_learnability,formal_utility,,3
kind=shortcut,reference_learnability,composition_depth,,3
kind=shortcut,reference_learnability,output_entropy,,3
kind=shortcut,reference_learnability,positionwise_entropy_mean,,3
kind=shortcut,reference_learnability,random_baseline_token_accuracy,,3
kind=shortcut,reference_learnability,copy_fraction,,3
kind=shortcut,reference_learnability,n_components,,3
kind=shortcut,reference_learnability,mean_final_metric,,3
kind=shortcut,reference_learnability,mean_censored_acquired_at,,3
kind=shortcut,reference_learnability,acquisition_rate,,3
kind=surface_control,reference_learnability,frequency,,3
kind=surface_control,reference_learnability,formal_utility,,3
kind=surface_control,reference_learnability,composition_depth,,3
kind=surface_control,reference_learnability,output_entropy,,3
kind=surface_control,reference_learnability,positionwise_entropy_mean,,3
kind=surface_control,reference_learnability,random_baseline_token_accuracy,,3
