component,composite,unrelated_control,same_operation_control,different_operation_control,fake_component_control,surface_control,source_h3_ready,source_h3_readiness_score,source_mean_final_metric,source_max_residual_log_time,source_residual_log_time,source_positive_rate,source_acq_rate_t0p5
A01_reverse,C06_reverse_then_substitute_01_05,A07_reverse,A07_reverse,U00_unrelated_substitute,K01_shortcut_for_A03_copy,S00_surface_rotate,True,7.295147231460764,0.4008626416946451,4.959513520275044,4.959513520275044,,0.3333333333333333
A05_substitute,C06_reverse_then_substitute_01_05,U01_unrelated_substitute,U01_unrelated_substitute,A03_copy,K02_shortcut_for_A00_copy,S01_surface_rotate,True,7.295147231460764,0.4008626416946451,4.959513520275044,4.959513520275044,,0.3333333333333333
