source_run_dir,source_model_name,model_name,composite_slice_id,component_ids,n_metrics,n_component_lag_metrics,n_composite_ahead_metrics,component_lag_rate,composite_ahead_rate,mean_composite_minus_component_final,mean_composite_minus_component_delta,verdict,lag_metrics,ahead_metrics
results/pythia_model_sweep_v30/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,comp_reverse_then_last,word_reverse2;word_last,5,5,0,1.0,0.0,-0.1423460828761259,-0.1643071211874485,component_lag_observational,accuracy;mean_logprob_correct;mean_correct_margin;mean_correct_mrr;mean_logprob_margin,
results/pythia_model_sweep_v30/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,comp_reverse_then_first,word_reverse2;word_first,5,4,1,0.8,0.2,-0.1551085613667964,-0.1768604122102263,component_lag_observational,mean_logprob_correct;mean_correct_margin;mean_correct_mrr;mean_logprob_margin,accuracy
results/pythia_model_sweep_v30/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,comp_sub_then_compare,arith_sub_small;arith_compare,5,3,2,0.6,0.4,-0.0033458343396585,-0.0319573835780224,component_lag_observational,accuracy;mean_correct_mrr;mean_logprob_margin,mean_logprob_correct;mean_correct_margin
results/pythia_model_sweep_v30/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,comp_add_then_compare,arith_add_small;arith_compare,5,3,2,0.6,0.4,0.0145159094283978,-0.0148018301775057,component_lag_observational,accuracy;mean_correct_mrr;mean_logprob_margin,mean_logprob_correct;mean_correct_margin
results/pythia_model_sweep_v30/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,comp_first_then_same,word_first;word_same,5,1,4,0.2,0.8,0.0026240317771832,-0.0234498849759498,composite_ahead_observational,mean_logprob_margin,accuracy;mean_logprob_correct;mean_correct_margin;mean_correct_mrr
results/pythia_model_sweep_v30/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,comp_retrieve_then_color,retrieval_object;semantic_color_lookup,5,1,4,0.2,0.8,0.0868861697614193,0.1197648473083972,composite_ahead_observational,mean_logprob_margin,accuracy;mean_logprob_correct;mean_correct_margin;mean_correct_mrr
results/pythia_model_sweep_v30/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,comp_add_then_even,arith_add_small;arith_even,5,1,4,0.2,0.8,0.1168962861100832,0.2410768051942189,composite_ahead_observational,mean_logprob_margin,accuracy;mean_logprob_correct;mean_correct_margin;mean_correct_mrr
results/pythia_model_sweep_v30/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,comp_reverse_then_same,word_reverse2;word_same,5,1,3,0.2,0.6,0.1229957817743222,0.1444625763843453,composite_ahead_observational,mean_logprob_margin,mean_logprob_correct;mean_correct_margin;mean_correct_mrr
results/pythia_model_sweep_v30/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,comp_retrieve_then_compare,retrieval_number;arith_compare,5,0,5,0.0,1.0,0.1660312859962383,0.1763588839521011,composite_ahead_observational,,accuracy;mean_logprob_correct;mean_correct_margin;mean_correct_mrr;mean_logprob_margin
results/pythia_model_sweep_v30/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,comp_max_then_compare,arith_max2;arith_compare,5,0,5,0.0,1.0,0.2011548922707637,0.2750453225026524,composite_ahead_observational,,accuracy;mean_logprob_correct;mean_correct_margin;mean_correct_mrr;mean_logprob_margin
