row_id,condition,task_name,role,acquisition_rate,mean_censored_acquired_at,mean_final_metric,mean_censored_expected_direction_rate,mean_final_expected_direction_rate,component,composite,unrelated_control,fake_component_control,surface_control,same_operation_control,different_operation_control
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,corrupt_component,K01_shortcut_for_A07_reverse,fake_component_control,1.0,14233.6,0.9575195491313936,0.5444444444444445,0.7555555555555555,A02_substitute,C06_reverse_then_substitute_02_00,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,corrupt_component,S00_surface_rotate,surface_control,0.0,250112.0,0.4013671994209289,0.5444444444444445,0.7555555555555555,A02_substitute,C06_reverse_then_substitute_02_00,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,corrupt_different_operation_matched,A02_substitute,component,0.6,217164.8,0.7244791805744171,0.5444444444444445,0.7555555555555555,A02_substitute,C06_reverse_then_substitute_02_00,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,corrupt_different_operation_matched,C06_reverse_then_substitute_02_00,composite,0.6,219904.0,0.7209635674953461,0.5444444444444445,0.7555555555555555,A02_substitute,C06_reverse_then_substitute_02_00,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,corrupt_different_operation_matched,U00_unrelated_substitute,unrelated_control,0.0,250112.0,0.1823242247104644,0.5444444444444445,0.7555555555555555,A02_substitute,C06_reverse_then_substitute_02_00,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,corrupt_different_operation_matched,A07_reverse,different_operation_control,1.0,63436.8,0.8407877862453461,0.5444444444444445,0.7555555555555555,A02_substitute,C06_reverse_then_substitute_02_00,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,corrupt_different_operation_matched,K01_shortcut_for_A07_reverse,fake_component_control,1.0,14208.0,0.9575846672058106,0.5444444444444445,0.7555555555555555,A02_substitute,C06_reverse_then_substitute_02_00,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,corrupt_different_operation_matched,S00_surface_rotate,surface_control,0.0,250112.0,0.3810872495174408,0.5444444444444445,0.7555555555555555,A02_substitute,C06_reverse_then_substitute_02_00,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,corrupt_same_operation_unrelated,A02_substitute,component,0.7,209177.6,0.7337565362453461,0.5444444444444445,0.7555555555555555,A02_substitute,C06_reverse_then_substitute_02_00,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,corrupt_same_operation_unrelated,C06_reverse_then_substitute_02_00,composite,0.7,209177.6,0.7357096552848816,0.5444444444444445,0.7555555555555555,A02_substitute,C06_reverse_then_substitute_02_00,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
