structure_id,backend,kind,frequency,reference_learnability,formal_utility,components,control_for,control_type,operation,meta_bits,meta_degree
P00_parity_d2_15_29,B2_sparse_parity,atomic,0.0061281490574148076,2.0,0.0,,,,parity_bits,"15,29",2
P01_parity_d2_32_38,B2_sparse_parity,atomic,0.032612677242542513,2.0,0.0,,,,parity_bits,"32,38",2
P02_parity_d1_15,B2_sparse_parity,atomic,0.0059241897795299535,1.0,0.0,,,,parity_bits,15,1
P03_parity_d3_26_37_39,B2_sparse_parity,atomic,0.008812389347000064,3.0,0.0,,,,parity_bits,"26,37,39",3
P04_parity_d1_28,B2_sparse_parity,atomic,0.04722014231553153,1.0,0.0,,,,parity_bits,28,1
P05_parity_d1_35,B2_sparse_parity,atomic,0.010276880372927278,1.0,0.0,,,,parity_bits,35,1
P06_parity_d3_5_22_28,B2_sparse_parity,atomic,0.008040078460065006,3.0,0.0,,,,parity_bits,"5,22,28",3
P07_parity_d3_12_14_16,B2_sparse_parity,atomic,0.007097746136022518,3.0,0.0,,,,parity_bits,"12,14,16",3
P08_parity_d3_2_33_37,B2_sparse_parity,atomic,0.006828990345499601,3.0,0.0,,,,parity_bits,"2,33,37",3
P09_parity_d2_22_26,B2_sparse_parity,atomic,0.009739868024504088,2.0,0.0,,,,parity_bits,"22,26",2
P10_parity_d1_12,B2_sparse_parity,atomic,0.007387443218976086,1.0,0.0,,,,parity_bits,12,1
P11_parity_d1_23,B2_sparse_parity,atomic,0.007700583131757223,1.0,0.0,,,,parity_bits,23,1
P12_parity_d2_13_19,B2_sparse_parity,atomic,0.028157578965716083,2.0,0.0,,,,parity_bits,"13,19",2
P13_parity_d2_13_15,B2_sparse_parity,atomic,0.008409340360989207,2.0,0.0,,,,parity_bits,"13,15",2
P14_parity_d1_10,B2_sparse_parity,atomic,0.019836376500924565,1.0,0.0,,,,parity_bits,10,1
P15_parity_d1_9,B2_sparse_parity,atomic,0.005383460682491434,1.0,0.0,,,,parity_bits,9,1
P16_parity_d3_1_24_27,B2_sparse_parity,atomic,0.005732809198666229,3.0,0.0,,,,parity_bits,"1,24,27",3
P17_parity_d2_16_32,B2_sparse_parity,atomic,0.0386391817571139,2.0,0.0,,,,parity_bits,"16,32",2
P18_parity_d3_9_12_31,B2_sparse_parity,atomic,0.060357091809449245,3.0,0.0,,,,parity_bits,"9,12,31",3
P19_parity_d2_2_26,B2_sparse_parity,atomic,0.012288545529828833,2.0,0.0,,,,parity_bits,"2,26",2
P20_parity_d3_5_21_34,B2_sparse_parity,atomic,0.01313597506840798,3.0,0.0,,,,parity_bits,"5,21,34",3
P21_parity_d1_31,B2_sparse_parity,atomic,0.022028975322727084,1.0,0.0,,,,parity_bits,31,1
P22_parity_d3_8_26_30,B2_sparse_parity,atomic,0.018025815672687205,3.0,0.0,,,,parity_bits,"8,26,30",3
P23_parity_d2_15_39,B2_sparse_parity,atomic,0.016506561293344022,2.0,0.0,,,,parity_bits,"15,39",2
P24_parity_d2_3_36,B2_sparse_parity,atomic,0.02473588972067651,2.0,0.0,,,,parity_bits,"3,36",2
P25_parity_d3_11_22_35,B2_sparse_parity,atomic,0.009253996853954038,3.0,0.0,,,,parity_bits,"11,22,35",3
P26_parity_d3_7_30_33,B2_sparse_parity,atomic,0.2773283682956775,3.0,0.0,,,,parity_bits,"7,30,33",3
P27_parity_d2_14_25,B2_sparse_parity,atomic,0.0152143519048169,2.0,0.0,,,,parity_bits,"14,25",2
P28_parity_d3_19_24_30,B2_sparse_parity,atomic,0.01410242866082841,3.0,0.0,,,,parity_bits,"19,24,30",3
P29_parity_d1_17,B2_sparse_parity,atomic,0.010873399265131487,1.0,0.0,,,,parity_bits,17,1
P30_parity_d1_18,B2_sparse_parity,atomic,0.011539700592203682,1.0,0.0,,,,parity_bits,18,1
P31_parity_d2_7_37,B2_sparse_parity,atomic,0.006345946891298126,2.0,0.0,,,,parity_bits,"7,37",2
P32_parity_d3_1_16_37,B2_sparse_parity,atomic,0.005552894823372299,3.0,0.0,,,,parity_bits,"1,16,37",3
P33_parity_d1_39,B2_sparse_parity,atomic,0.08282489924278227,1.0,0.0,,,,parity_bits,39,1
P34_parity_d1_24,B2_sparse_parity,atomic,0.12937825855446872,1.0,0.0,,,,parity_bits,24,1
P35_parity_d2_0_37,B2_sparse_parity,atomic,0.006579015600673572,2.0,0.0,,,,parity_bits,"0,37",2
