composite,left_condition,right_condition,expected_direction,contrast_type,n_paired_seeds,n_strict_paired_acquired,left_acquisition_rate,right_acquisition_rate,strict_delta_acquired_at_mean,strict_expected_direction_rate,censored_delta_acquired_at_mean,censored_expected_direction_rate,final_metric_delta_mean,final_metric_expected_direction_rate,left_final_metric_mean,right_final_metric_mean
C03_reverse_then_substitute_07_02,upweight_component,upweight_same_operation_unrelated,earlier,exact_vs_same_operation,10,10,1.0,1.0,6272.0,0.2,6272.0,0.2,-0.0046549558639526365,0.2,0.7841145992279053,0.7887695550918579
C03_reverse_then_substitute_07_02,upweight_component,upweight_different_operation_matched,earlier,exact_vs_different_operation,10,10,1.0,1.0,-10214.4,0.5,-10214.4,0.5,0.007877600193023682,0.7,0.7841145992279053,0.7762369990348816
C03_reverse_then_substitute_07_02,upweight_component,upweight_fake_component,earlier,exact_vs_fake_component,10,10,1.0,1.0,307.2,0.2,307.2,0.2,0.002278637886047363,0.6,0.7841145992279053,0.781835961341858
C03_reverse_then_substitute_07_02,upweight_component,upweight_surface_control,earlier,exact_vs_surface,10,10,1.0,1.0,17382.4,0.1,17382.4,0.1,-0.002604174613952637,0.6,0.7841145992279053,0.786718773841858
C03_reverse_then_substitute_07_02,upweight_same_operation_unrelated,upweight_different_operation_matched,earlier,operation_family_vs_different_operation,10,10,1.0,1.0,-16486.4,0.6,-16486.4,0.6,0.012532556056976318,0.9,0.7887695550918579,0.7762369990348816
C03_reverse_then_substitute_07_02,corrupt_component,corrupt_same_operation_unrelated,later,exact_corrupt_vs_same_operation,10,10,1.0,1.0,4070.4,0.3,4070.4,0.3,-0.002962243556976318,0.5,0.7888997614383697,0.7918620049953461
C03_reverse_then_substitute_07_02,corrupt_component,corrupt_different_operation_matched,later,exact_corrupt_vs_different_operation,10,9,1.0,0.9,3840.0,0.3333333333333333,204.8,0.3,0.01015625,0.3,0.7888997614383697,0.7787435114383697
C03_reverse_then_substitute_07_02,delay_component,delay_same_operation_unrelated,later,exact_delay_vs_same_operation,10,10,1.0,1.0,256.0,0.4,256.0,0.4,-0.0037109375,0.7,0.7846679925918579,0.7883789300918579
C03_reverse_then_substitute_07_02,delay_component,delay_different_operation_matched,later,exact_delay_vs_different_operation,10,10,1.0,1.0,-5196.8,0.3,-5196.8,0.3,-0.00166015625,0.6,0.7846679925918579,0.7863281488418579
C03_reverse_then_substitute_07_02,pretrain_component,pretrain_same_operation_unrelated,earlier,exact_pretrain_vs_same_operation,10,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7869791984558105,0.7869791984558105
C03_reverse_then_substitute_07_02,pretrain_component,pretrain_different_operation_matched,earlier,exact_pretrain_vs_different_operation,10,5,1.0,0.5,-32870.4,0.8,-44492.8,0.9,0.11295574307441711,1.0,0.7869791984558105,0.6740234553813934
C03_reverse_then_substitute_07_02,pretrain_same_operation_unrelated,pretrain_different_operation_matched,earlier,operation_family_pretrain_vs_different_operation,10,5,1.0,0.5,-32870.4,0.8,-44492.8,0.9,0.11295574307441711,1.0,0.7869791984558105,0.6740234553813934
C03_reverse_then_substitute_07_02,corrupt_component_strong,corrupt_same_operation_unrelated_strong,later,exact_strong_corrupt_vs_same_operation,10,9,0.9,0.9,56.888888888888886,0.3333333333333333,51.2,0.3,0.0014322996139526367,0.4,0.7821289300918579,0.7806966304779053
C03_reverse_then_substitute_07_02,corrupt_component_strong,corrupt_different_operation_matched_strong,later,exact_strong_corrupt_vs_different_operation,10,9,0.9,1.0,-7651.555555555556,0.3333333333333333,-3635.2,0.4,-0.00166015625,0.2,0.7821289300918579,0.783789086341858
C03_reverse_then_substitute_07_02,delay_component_strong,delay_same_operation_unrelated_strong,later,exact_strong_delay_vs_same_operation,10,10,1.0,1.0,-460.8,0.3,-460.8,0.3,0.0005208432674407959,0.5,0.7881185114383698,0.7875976681709289
C03_reverse_then_substitute_07_02,delay_component_strong,delay_different_operation_matched_strong,later,exact_strong_delay_vs_different_operation,10,10,1.0,1.0,-5760.0,0.2,-5760.0,0.2,0.0012369871139526368,0.6,0.7881185114383698,0.7868815243244172
