composite,left_condition,right_condition,expected_direction,contrast_type,n_paired_seeds,n_strict_paired_acquired,left_acquisition_rate,right_acquisition_rate,strict_delta_acquired_at_mean,strict_expected_direction_rate,censored_delta_acquired_at_mean,censored_expected_direction_rate,final_metric_delta_mean,final_metric_expected_direction_rate,left_final_metric_mean,right_final_metric_mean
C06_reverse_then_substitute_05_07,upweight_component,upweight_same_operation_unrelated,earlier,exact_vs_same_operation,10,10,1.0,1.0,5350.4,0.3,5350.4,0.3,-0.004524731636047363,0.3,0.7842122614383698,0.7887369930744171
C06_reverse_then_substitute_05_07,upweight_component,upweight_different_operation_matched,earlier,exact_vs_different_operation,10,10,1.0,1.0,-9190.4,0.5,-9190.4,0.5,0.005859375,0.6,0.7842122614383698,0.7783528864383698
C06_reverse_then_substitute_05_07,upweight_component,upweight_fake_component,earlier,exact_vs_fake_component,10,10,1.0,1.0,1331.2,0.3,1331.2,0.3,0.0005208432674407959,0.5,0.7842122614383698,0.7836914181709289
C06_reverse_then_substitute_05_07,upweight_component,upweight_surface_control,earlier,exact_vs_surface,10,10,1.0,1.0,17561.6,0.1,17561.6,0.1,-0.003385412693023682,0.5,0.7842122614383698,0.7875976741313935
C06_reverse_then_substitute_05_07,upweight_same_operation_unrelated,upweight_different_operation_matched,earlier,operation_family_vs_different_operation,10,10,1.0,1.0,-14540.8,0.6,-14540.8,0.6,0.010384106636047363,0.8,0.7887369930744171,0.7783528864383698
C06_reverse_then_substitute_05_07,corrupt_component,corrupt_same_operation_unrelated,later,exact_corrupt_vs_same_operation,10,10,1.0,1.0,5068.8,0.3,5068.8,0.3,0.0008138120174407959,0.3,0.7894856989383697,0.7886718869209289
C06_reverse_then_substitute_05_07,corrupt_component,corrupt_different_operation_matched,later,exact_corrupt_vs_different_operation,10,9,1.0,0.9,6314.666666666667,0.3333333333333333,2432.0,0.3,0.010514330863952637,0.3,0.7894856989383697,0.7789713680744171
C06_reverse_then_substitute_05_07,delay_component,delay_same_operation_unrelated,later,exact_delay_vs_same_operation,10,10,1.0,1.0,3481.6,0.4,3481.6,0.4,-0.0033203184604644774,0.7,0.7852539241313934,0.7885742425918579
C06_reverse_then_substitute_05_07,delay_component,delay_different_operation_matched,later,exact_delay_vs_different_operation,10,10,1.0,1.0,-3916.8,0.3,-3916.8,0.3,-0.0026692748069763184,0.6,0.7852539241313934,0.7879231989383697
C06_reverse_then_substitute_05_07,pretrain_component,pretrain_same_operation_unrelated,earlier,exact_pretrain_vs_same_operation,10,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7869791865348816,0.7869791865348816
C06_reverse_then_substitute_05_07,pretrain_component,pretrain_different_operation_matched,earlier,exact_pretrain_vs_different_operation,10,5,1.0,0.5,-32870.4,0.8,-44492.8,0.9,0.11702474355697631,1.0,0.7869791865348816,0.6699544429779053
C06_reverse_then_substitute_05_07,pretrain_same_operation_unrelated,pretrain_different_operation_matched,earlier,operation_family_pretrain_vs_different_operation,10,5,1.0,0.5,-32870.4,0.8,-44492.8,0.9,0.11702474355697631,1.0,0.7869791865348816,0.6699544429779053
C06_reverse_then_substitute_05_07,corrupt_component_strong,corrupt_same_operation_unrelated_strong,later,exact_strong_corrupt_vs_same_operation,10,9,0.9,0.9,-2816.0,0.1111111111111111,-2534.4,0.1,0.00068359375,0.6,0.781542980670929,0.7808593869209289
C06_reverse_then_substitute_05_07,corrupt_component_strong,corrupt_different_operation_matched_strong,later,exact_strong_corrupt_vs_different_operation,10,9,0.9,1.0,-8049.777777777777,0.2222222222222222,-3993.6,0.3,-0.004882824420928955,0.3,0.781542980670929,0.7864258050918579
C06_reverse_then_substitute_05_07,delay_component_strong,delay_same_operation_unrelated_strong,later,exact_strong_delay_vs_same_operation,10,10,1.0,1.0,25.6,0.3,25.6,0.3,0.0020182311534881594,0.5,0.7900065302848815,0.7879882991313935
C06_reverse_then_substitute_05_07,delay_component_strong,delay_different_operation_matched_strong,later,exact_strong_delay_vs_different_operation,10,10,1.0,1.0,-7219.2,0.2,-7219.2,0.2,0.0008463501930236816,0.6,0.7900065302848815,0.789160180091858
