task_name,structure_id,kind,op,operation_type,frequency,reference_learnability,formal_utility,n_components,composition_depth,target_length,input_length,output_entropy,positionwise_entropy_mean,positionwise_entropy_min,positionwise_entropy_max,random_baseline_token_accuracy,copy_fraction,control_type,control_for,components
A00_copy,A00_copy,atomic,copy,copy,0.014296984282697385,1.0,0.0,0,1,6,6,4.989410338963406,4.989410338963406,4.985119774630219,4.991164529999635,0.039794921875,1.0,,,
A01_reverse,A01_reverse,atomic,reverse,reverse,0.280037251940008,2.0,0.275282575682427,0,1,6,6,4.989410338963407,4.989410338963407,4.985119774630219,4.991164529999635,0.039794921875,0.02880859375,,,
A02_substitute,A02_substitute,atomic,substitute,substitute,0.010906163203323556,1.5,0.015236661713767032,0,1,6,6,4.989410338963407,4.989410338963407,4.985119774630219,4.991164529999634,0.039794921875,0.0,,,
A03_copy,A03_copy,atomic,copy,copy,0.013464172801898835,1.0,0.1857085856474374,0,1,6,6,4.989410338963406,4.989410338963406,4.985119774630219,4.991164529999635,0.039794921875,1.0,,,
A04_reverse,A04_reverse,atomic,reverse,reverse,0.018948519685711044,2.0,0.016304969290607298,0,1,6,6,4.989410338963407,4.989410338963407,4.985119774630219,4.991164529999635,0.039794921875,0.02880859375,,,
A05_substitute,A05_substitute,atomic,substitute,substitute,0.012721095886983997,1.5,0.06691366278105931,0,1,6,6,4.989410338963407,4.989410338963407,4.985119774630219,4.991164529999635,0.039794921875,0.0,,,
A06_copy,A06_copy,atomic,copy,copy,0.06532099872983306,1.0,0.0978927727593496,0,1,6,6,4.989410338963406,4.989410338963406,4.985119774630219,4.991164529999635,0.039794921875,1.0,,,
A07_reverse,A07_reverse,atomic,reverse,reverse,0.03629634256664033,2.0,0.07630075308225956,0,1,6,6,4.989410338963407,4.989410338963407,4.985119774630219,4.991164529999635,0.039794921875,0.02880859375,,,
C00_reverse_then_substitute_02_05,C00_reverse_then_substitute_02_05,composite,reverse_then_substitute,reverse_then_substitute,0.015236661713767032,3.0,0.0,2,2,6,6,4.989410338963406,4.989410338963406,4.985119774630219,4.991164529999634,0.039794921875,0.0,,,"A02_substitute,A05_substitute"
C01_substitute_then_reverse_01_03,C01_substitute_then_reverse_01_03,composite,substitute_then_reverse,substitute_then_reverse,0.1352490775505667,3.0,0.0,2,2,6,6,4.989410338963407,4.989410338963407,4.985119774630219,4.991164529999635,0.039794921875,0.02880859375,,,"A01_reverse,A03_copy"
C02_copy_then_substitute_04_07,C02_copy_then_substitute_04_07,composite,copy_then_substitute,copy_then_substitute,0.016304969290607298,3.0,0.0,2,2,6,6,4.989410338963406,4.989410338963406,4.985119774630219,4.991164529999635,0.039794921875,1.0,,,"A04_reverse,A07_reverse"
C03_reverse_then_substitute_06_01,C03_reverse_then_substitute_06_01,composite,reverse_then_substitute,reverse_then_substitute,0.08835649706456801,3.0,0.0,2,2,6,6,4.989410338963407,4.989410338963407,4.985119774630219,4.991164529999635,0.039794921875,0.02880859375,,,"A06_copy,A01_reverse"
C04_substitute_then_reverse_03_07,C04_substitute_then_reverse_03_07,composite,substitute_then_reverse,substitute_then_reverse,0.022581536436180796,3.0,0.0,2,2,6,6,4.989410338963407,4.989410338963407,4.985119774630219,4.991164529999635,0.039794921875,0.02880859375,,,"A03_copy,A07_reverse"
C05_copy_then_substitute_07_06,C05_copy_then_substitute_07_06,composite,copy_then_substitute,copy_then_substitute,0.00953627569478159,3.0,0.0,2,2,6,6,4.989410338963407,4.989410338963407,4.985119774630219,4.991164529999635,0.039794921875,0.02880859375,,,"A07_reverse,A06_copy"
C06_reverse_then_substitute_01_05,C06_reverse_then_substitute_01_05,composite,reverse_then_substitute,reverse_then_substitute,0.051677001067292276,3.0,0.0,2,2,6,6,4.989410338963407,4.989410338963407,4.985119774630219,4.991164529999635,0.039794921875,0.031575520833333336,,,"A01_reverse,A05_substitute"
C07_substitute_then_reverse_07_03,C07_substitute_then_reverse_07_03,composite,substitute_then_reverse,substitute_then_reverse,0.027877971660689886,3.0,0.0,2,2,6,6,4.989410338963407,4.989410338963407,4.985119774630219,4.991164529999635,0.039794921875,0.02880859375,,,"A07_reverse,A03_copy"
K00_shortcut_for_A07_reverse,K00_shortcut_for_A07_reverse,shortcut,shortcut_identity,shortcut_identity,0.009953916731764297,1.0,0.0,1,2,6,6,4.989410338963406,4.989410338963406,4.985119774630219,4.991164529999635,0.039794921875,1.0,shortcut_no_reuse,A07_reverse,A07_reverse
K01_shortcut_for_A03_copy,K01_shortcut_for_A03_copy,shortcut,shortcut_identity,shortcut_identity,0.020609881694466755,1.0,0.0,1,2,6,6,4.989410338963406,4.989410338963406,4.985119774630219,4.991164529999635,0.039794921875,1.0,shortcut_no_reuse,A03_copy,A03_copy
K02_shortcut_for_A00_copy,K02_shortcut_for_A00_copy,shortcut,shortcut_identity,shortcut_identity,0.010408821942085908,1.0,0.0,1,2,6,6,4.989410338963406,4.989410338963406,4.985119774630219,4.991164529999635,0.039794921875,1.0,shortcut_no_reuse,A00_copy,A00_copy
S00_surface_rotate,S00_surface_rotate,surface_control,surface_rotate,surface_rotate,0.024958346350392815,2.0,0.0,0,1,6,6,4.989410338963407,4.989410338963407,4.985119774630219,4.991164529999635,0.039794921875,0.02880859375,surface_overlap_no_dependency,,
S01_surface_rotate,S01_surface_rotate,surface_control,surface_rotate,surface_rotate,0.011452110971760809,2.0,0.0,0,1,6,6,4.989410338963407,4.989410338963407,4.985119774630219,4.991164529999635,0.039794921875,0.02880859375,surface_overlap_no_dependency,,
S02_surface_rotate,S02_surface_rotate,surface_control,surface_rotate,surface_rotate,0.01752997794610958,2.0,0.0,0,1,6,6,4.989410338963407,4.989410338963407,4.985119774630219,4.991164529999635,0.039794921875,0.02880859375,surface_overlap_no_dependency,,
U00_unrelated_substitute,U00_unrelated_substitute,unrelated,substitute,substitute,0.04267337520560386,1.5,0.0,0,1,6,6,4.989410338963407,4.989410338963407,4.985119774630219,4.991164529999635,0.039794921875,0.0,unrelated_matched,,
U01_unrelated_substitute,U01_unrelated_substitute,unrelated,substitute,substitute,0.012054086724866624,1.5,0.0,0,1,6,6,4.989410338963407,4.989410338963407,4.985119774630219,4.991164529999635,0.039794921875,0.0,unrelated_matched,,
U02_unrelated_substitute,U02_unrelated_substitute,unrelated,substitute,substitute,0.031547962857399726,1.5,0.0,0,1,6,6,4.989410338963407,4.989410338963407,4.985119774630219,4.991164529999635,0.039794921875,0.0,unrelated_matched,,
