candidate_seed,passed,family_design_passed,token_acquisition_rate,composite_token_acquisition_rate,atomic_token_acquisition_rate,mean_final_token_accuracy,mean_final_exact_match,time_spearman_frequency_all,time_spearman_learnability_all,time_spearman_utility_all,time_spearman_frequency_true_tasks,time_spearman_learnability_true_tasks,time_spearman_frequency_atomic,time_spearman_learnability_atomic,expected_frequency_sign_true_tasks,expected_learnability_sign_true_tasks,n_tasks,n_composites,design_condition_number
20,True,True,0.5066666666666667,0.5,0.625,0.5788020978619655,0.10263020833333333,-0.1312610694132006,-0.5437553548604281,-0.09420369481507669,-0.1466820317351595,-0.2991490255543874,-0.21681680555270072,-0.5684925335338721,True,False,25,8,1.6187989663732993
21,True,True,0.6,0.75,0.75,0.6097135530908903,0.31296875,-0.43865223041861107,-0.6690716407433099,-0.054933538270996035,-0.34441076110589575,-0.5065477802951645,-0.4052763532789302,-0.8970149171498788,True,False,25,8,2.6451722364738557
22,True,True,0.52,0.625,0.5,0.6749783149858316,0.29466145833333335,-0.07492978622271095,0.5294722260903779,-0.09151879056073547,0.0,0.4359286452893223,-0.20952908873087348,0.8115026712006892,False,True,25,8,1.4426317174272336
23,True,True,0.5466666666666666,0.5833333333333334,0.75,0.6292621703942617,0.22786458333333334,-0.2593443264463958,-0.7925734578849463,0.06933920919395346,-0.060840752095004044,-0.6696981512988911,-0.2777460299317654,-0.9486832980505138,True,False,25,8,1.4375322364201937
24,True,True,0.4266666666666667,0.25,0.5,0.5657205024113258,0.07494791666666667,-0.3404842564507699,-0.4699176413770343,-0.12045414721163197,-0.5189749274959804,-0.46713082417728735,-0.19889806323953876,-0.7703288865196433,True,False,25,8,1.4662286333719488
25,True,True,0.56,0.625,0.75,0.6655295290549597,0.225390625,-0.2893041653948497,-0.5168464547637911,-0.19579139929028083,-0.5727233609630143,-0.334398398854759,-0.7944613465542746,-0.9045340337332909,True,False,25,8,1.3269437452655248
26,True,True,0.44,0.375,0.5,0.5445095625023048,0.19309895833333332,0.16035674514745463,-0.3250152621569034,0.0679841800678349,0.12126781251816648,-0.39295262399668784,0.13483997249264842,-0.5222329678670935,False,False,25,8,1.446474795965498
27,True,True,0.32,0.25,0.375,0.6227170279870431,0.30494791666666665,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,25,8,1.6247798024419342
28,True,True,0.5866666666666667,0.6666666666666666,0.7916666666666666,0.619661474848787,0.23104166666666667,0.3862888959121307,0.672780287050156,0.03811517442862124,0.15715425825595564,0.4637508415856014,-0.30392086666851403,0.8620436566990363,False,True,25,8,1.7944333121115073
29,True,True,0.6133333333333333,0.7083333333333334,0.6666666666666666,0.7225651236623526,0.33721354166666667,0.12281122803191395,0.29188373013639163,0.17937221818674848,0.010540058075099244,0.09105030225631504,-0.20084814902840858,0.9927535277132001,False,True,25,8,1.308059861663621
