condition,task_name,kind,frequency,reference_learnability,formal_utility,n_seeds,n_acquired,acquisition_rate,mean_acquired_at,median_acquired_at,mean_final_balanced_accuracy
baseline,A00_not_bit_26,atomic,0.0326879501818593,1.0,0.0481476313795176,2,2,1.0,96256.0,96256.0,0.986086517572403
baseline,A01_xor2_40_1,atomic,0.0480834959090951,2.5,0.0070618342262392,2,0,0.0,,,0.540692962706089
baseline,A02_bit_1,atomic,0.0094339020540874,1.0,0.0053814163162106,2,0,0.0,,,0.7333840876817703
baseline,A03_and_bits_23_25,atomic,0.0043054660778987,2.0,0.0,2,0,0.0,,,0.5829495089128613
baseline,A04_not_bit_0,atomic,0.0275605357966522,1.0,0.107321965982057,2,2,1.0,99328.0,99328.0,0.9719068109989166
baseline,A05_and_bits_5_25,atomic,0.0234934759891261,2.0,0.1656543235304503,2,2,1.0,107264.0,107264.0,0.9060759544372559
baseline,A06_and_bits_18_35,atomic,0.0675595736351704,2.0,0.0,2,2,1.0,90112.0,90112.0,0.9779202044010162
baseline,A07_and_bits_46_18,atomic,0.0260000936634175,2.0,0.029036551249233,2,0,0.0,,,0.8045089393854141
baseline,A08_not_bit_40,atomic,0.0122088185010279,1.0,0.0158849887224792,2,0,0.0,,,0.7234426289796829
baseline,A09_xor2_42_32,atomic,0.0319253556112929,2.5,0.23146271144287,2,0,0.0,,,0.8155601173639297
baseline,A10_xor2_25_39,atomic,0.0161557466940269,2.5,0.0659759230408166,2,0,0.0,,,0.5638701766729355
baseline,A11_xor2_14_34,atomic,0.0590133693762893,2.5,0.0,2,0,0.0,,,0.5452615544199944
baseline,C00_or_04_01,composite,0.0070618342262392,3.5,0.0,2,0,0.0,,,0.6098131611943245
baseline,C01_or_09_02,composite,0.0053814163162106,3.5,0.0,2,0,0.0,,,0.6485637053847313
baseline,C02_and_05_09,composite,0.0626242398988662,3.5,0.0,2,0,0.0,,,0.789106622338295
baseline,C03_and_04_05,composite,0.0704025760265946,3.0,0.0,2,2,1.0,106240.0,106240.0,0.9270591884851456
baseline,C04_or_09_04,composite,0.0167059932024692,3.5,0.0,2,0,0.0,,,0.7100765109062195
baseline,C05_or_04_07,composite,0.0131515625267538,3.0,0.0,2,0,0.0,,,0.8102862238883972
baseline,C06_and_05_09,composite,0.0326275076049895,3.5,0.0,2,0,0.0,,,0.7699575871229172
baseline,C07_and_09_00,composite,0.0481476313795176,3.5,0.0,2,1,0.5,116224.0,116224.0,0.8543500751256943
baseline,C08_and_10_09,composite,0.0659759230408166,3.5,0.0,2,0,0.0,,,0.5428631231188774
baseline,C09_and_08_07,composite,0.0158849887224792,3.0,0.0,2,0,0.0,,,0.6340272687375546
baseline,K00_shortcut_for_01_bit42,shortcut,0.0572470727470677,1.0,0.0,2,2,1.0,65280.0,65280.0,1.0
baseline,K01_shortcut_for_01_bit38,shortcut,0.0188356586464853,1.0,0.0,2,0,0.0,,,0.7645585387945175
baseline,K02_shortcut_for_04_bit7,shortcut,0.004459880777531,1.0,0.0,2,0,0.0,,,0.5878547355532646
baseline,K03_shortcut_for_05_bit44,shortcut,0.0234248658297593,1.0,0.0,2,0,0.0,,,0.8551501482725143
baseline,S00_surface_xor_23_1,surface_control,0.0041547533404926,2.0,0.0,2,0,0.0,,,0.5024126544594765
baseline,S01_surface_xor_33_4,surface_control,0.0174631745268267,2.0,0.0,2,0,0.0,,,0.5072176530957222
baseline,S02_surface_xor_44_42,surface_control,0.0451391853071046,2.0,0.0,2,0,0.0,,,0.6041390895843506
baseline,S03_surface_xor_29_3,surface_control,0.0107318382141939,2.0,0.0,2,0,0.0,,,0.5077452510595322
baseline,U00_xor2_20_41,unrelated,0.020147698365577,2.5,0.0,2,0,0.0,,,0.5145077705383301
baseline,U01_or_bits_13_12,unrelated,0.0516775334188301,2.0,0.0,2,0,0.0,,,0.8784487545490265
baseline,U02_xor2_6_10,unrelated,0.0091286160064832,2.5,0.0,2,0,0.0,,,0.5099108964204788
baseline,U03_or_bits_27_41,unrelated,0.0411982663847668,2.0,0.0,2,0,0.0,,,0.7398309111595154
