condition,seed,checkpoint_index,data_seen,checkpoint_fraction
baseline,0,0,0,0.0
baseline,0,1,249,0.000996
baseline,0,2,268,0.001072
baseline,0,3,287,0.001148
baseline,0,4,308,0.001232
baseline,0,5,330,0.00132
baseline,0,6,354,0.001416
baseline,0,7,379,0.001516
baseline,0,8,407,0.001628
baseline,0,9,436,0.001744
baseline,0,10,468,0.001872
baseline,0,11,502,0.002008
baseline,0,12,538,0.002152
baseline,0,13,577,0.002308
baseline,0,14,619,0.002476
baseline,0,15,664,0.002656
baseline,0,16,712,0.002848
baseline,0,17,763,0.003052
baseline,0,18,818,0.003272
baseline,0,19,877,0.003508
baseline,0,20,941,0.003764
baseline,0,21,1009,0.004036
baseline,0,22,1082,0.004328
baseline,0,23,1160,0.00464
baseline,0,24,1244,0.004976
baseline,0,25,1334,0.005336
baseline,0,26,1430,0.00572
baseline,0,27,1533,0.006132
baseline,0,28,1644,0.006576
baseline,0,29,1763,0.007052
baseline,0,30,1891,0.007564
baseline,0,31,2027,0.008108
baseline,0,32,2174,0.008696
baseline,0,33,2331,0.009324
baseline,0,34,2499,0.009996
baseline,0,35,2680,0.01072
baseline,0,36,2874,0.011496
baseline,0,37,3082,0.012328
baseline,0,38,3304,0.013216
baseline,0,39,3543,0.014172
baseline,0,40,3799,0.015196
baseline,0,41,4074,0.016296
baseline,0,42,4368,0.017472
baseline,0,43,4684,0.018736
baseline,0,44,5023,0.020092
baseline,0,45,5386,0.021544
baseline,0,46,5775,0.0231
baseline,0,47,6192,0.024768
baseline,0,48,6640,0.02656
baseline,0,49,7120,0.02848
baseline,0,50,7634,0.030536
baseline,0,51,8186,0.032744
baseline,0,52,8777,0.035108
baseline,0,53,9412,0.037648
baseline,0,54,10092,0.040368
baseline,0,55,10821,0.043284
baseline,0,56,11603,0.046412
baseline,0,57,12442,0.049768
baseline,0,58,13341,0.053364
baseline,0,59,14305,0.05722
baseline,0,60,15339,0.061356
baseline,0,61,16448,0.065792
baseline,0,62,17637,0.070548
baseline,0,63,18911,0.075644
baseline,0,64,20278,0.081112
baseline,0,65,21743,0.086972
baseline,0,66,23315,0.09326
baseline,0,67,24999,0.099996
baseline,0,68,26806,0.107224
baseline,0,69,28743,0.114972
baseline,0,70,30821,0.123284
baseline,0,71,33048,0.132192
baseline,0,72,35436,0.141744
baseline,0,73,37997,0.151988
baseline,0,74,40743,0.162972
baseline,0,75,43688,0.174752
baseline,0,76,46845,0.18738
baseline,0,77,50230,0.20092
baseline,0,78,53860,0.21544
baseline,0,79,57753,0.231012
baseline,0,80,61926,0.247704
baseline,0,81,66402,0.265608
baseline,0,82,71200,0.2848
baseline,0,83,76346,0.305384
baseline,0,84,81863,0.327452
baseline,0,85,87779,0.351116
baseline,0,86,94123,0.376492
baseline,0,87,100925,0.4037
baseline,0,88,108219,0.432876
baseline,0,89,116039,0.464156
baseline,0,90,124425,0.4977
baseline,0,91,133417,0.533668
baseline,0,92,143059,0.572236
baseline,0,93,153397,0.613588
baseline,0,94,164483,0.657932
baseline,0,95,176370,0.70548
baseline,0,96,189115,0.75646
baseline,0,97,202782,0.811128
baseline,0,98,217437,0.869748
baseline,0,99,233150,0.9326
baseline,0,100,249999,0.999996
baseline,1,0,0,0.0
baseline,1,1,249,0.000996
baseline,1,2,268,0.001072
baseline,1,3,287,0.001148
baseline,1,4,308,0.001232
baseline,1,5,330,0.00132
baseline,1,6,354,0.001416
baseline,1,7,379,0.001516
baseline,1,8,407,0.001628
baseline,1,9,436,0.001744
baseline,1,10,468,0.001872
baseline,1,11,502,0.002008
baseline,1,12,538,0.002152
baseline,1,13,577,0.002308
baseline,1,14,619,0.002476
baseline,1,15,664,0.002656
baseline,1,16,712,0.002848
baseline,1,17,763,0.003052
baseline,1,18,818,0.003272
baseline,1,19,877,0.003508
baseline,1,20,941,0.003764
baseline,1,21,1009,0.004036
baseline,1,22,1082,0.004328
baseline,1,23,1160,0.00464
baseline,1,24,1244,0.004976
baseline,1,25,1334,0.005336
baseline,1,26,1430,0.00572
baseline,1,27,1533,0.006132
baseline,1,28,1644,0.006576
baseline,1,29,1763,0.007052
baseline,1,30,1891,0.007564
baseline,1,31,2027,0.008108
baseline,1,32,2174,0.008696
baseline,1,33,2331,0.009324
baseline,1,34,2499,0.009996
baseline,1,35,2680,0.01072
baseline,1,36,2874,0.011496
baseline,1,37,3082,0.012328
baseline,1,38,3304,0.013216
baseline,1,39,3543,0.014172
baseline,1,40,3799,0.015196
baseline,1,41,4074,0.016296
baseline,1,42,4368,0.017472
baseline,1,43,4684,0.018736
baseline,1,44,5023,0.020092
baseline,1,45,5386,0.021544
baseline,1,46,5775,0.0231
baseline,1,47,6192,0.024768
baseline,1,48,6640,0.02656
baseline,1,49,7120,0.02848
baseline,1,50,7634,0.030536
baseline,1,51,8186,0.032744
baseline,1,52,8777,0.035108
baseline,1,53,9412,0.037648
baseline,1,54,10092,0.040368
baseline,1,55,10821,0.043284
baseline,1,56,11603,0.046412
baseline,1,57,12442,0.049768
baseline,1,58,13341,0.053364
baseline,1,59,14305,0.05722
baseline,1,60,15339,0.061356
baseline,1,61,16448,0.065792
baseline,1,62,17637,0.070548
baseline,1,63,18911,0.075644
baseline,1,64,20278,0.081112
baseline,1,65,21743,0.086972
baseline,1,66,23315,0.09326
baseline,1,67,24999,0.099996
baseline,1,68,26806,0.107224
baseline,1,69,28743,0.114972
baseline,1,70,30821,0.123284
baseline,1,71,33048,0.132192
baseline,1,72,35436,0.141744
baseline,1,73,37997,0.151988
baseline,1,74,40743,0.162972
baseline,1,75,43688,0.174752
baseline,1,76,46845,0.18738
baseline,1,77,50230,0.20092
baseline,1,78,53860,0.21544
baseline,1,79,57753,0.231012
baseline,1,80,61926,0.247704
baseline,1,81,66402,0.265608
baseline,1,82,71200,0.2848
baseline,1,83,76346,0.305384
baseline,1,84,81863,0.327452
baseline,1,85,87779,0.351116
baseline,1,86,94123,0.376492
baseline,1,87,100925,0.4037
baseline,1,88,108219,0.432876
baseline,1,89,116039,0.464156
baseline,1,90,124425,0.4977
baseline,1,91,133417,0.533668
baseline,1,92,143059,0.572236
baseline,1,93,153397,0.613588
baseline,1,94,164483,0.657932
baseline,1,95,176370,0.70548
baseline,1,96,189115,0.75646
baseline,1,97,202782,0.811128
baseline,1,98,217437,0.869748
baseline,1,99,233150,0.9326
baseline,1,100,249999,0.999996
baseline,2,0,0,0.0
baseline,2,1,249,0.000996
baseline,2,2,268,0.001072
baseline,2,3,287,0.001148
baseline,2,4,308,0.001232
baseline,2,5,330,0.00132
baseline,2,6,354,0.001416
baseline,2,7,379,0.001516
baseline,2,8,407,0.001628
baseline,2,9,436,0.001744
baseline,2,10,468,0.001872
baseline,2,11,502,0.002008
baseline,2,12,538,0.002152
baseline,2,13,577,0.002308
baseline,2,14,619,0.002476
baseline,2,15,664,0.002656
baseline,2,16,712,0.002848
baseline,2,17,763,0.003052
baseline,2,18,818,0.003272
baseline,2,19,877,0.003508
baseline,2,20,941,0.003764
baseline,2,21,1009,0.004036
baseline,2,22,1082,0.004328
baseline,2,23,1160,0.00464
baseline,2,24,1244,0.004976
baseline,2,25,1334,0.005336
baseline,2,26,1430,0.00572
