condition,seed,data_seen,task_name,kind,loss,token_accuracy,exact_match,balanced_accuracy,accuracy,checkpoint_fraction
baseline,4,250112,C06_reverse_then_substitute_02_00,composite,1.2602883577346802,0.5751953125,0.001953125,0.001953125,0.001953125,1.000448
baseline,4,250112,C07_substitute_then_reverse_04_03,composite,0.3848810195922851,0.837890625,0.173828125,0.173828125,0.173828125,1.000448
baseline,4,250112,K00_shortcut_for_A00_copy,shortcut,0.1862034797668457,0.9440104365348816,0.69140625,0.69140625,0.69140625,1.000448
baseline,4,250112,K01_shortcut_for_A07_reverse,shortcut,0.1845589429140091,0.9462890625,0.69921875,0.69921875,0.69921875,1.000448
baseline,4,250112,S01_surface_rotate,surface_control,1.8426958322525024,0.564453125,0.0,0.0,0.0,1.000448
baseline,4,250112,S00_surface_rotate,surface_control,2.523913145065308,0.2838541865348816,0.0,0.0,0.0,1.000448
baseline,4,250112,S02_surface_rotate,surface_control,3.622292518615722,0.2998046875,0.0,0.0,0.0,1.000448
baseline,4,250112,U00_unrelated_substitute,unrelated,3.0468146800994877,0.0592447929084301,0.0,0.0,0.0,1.000448
baseline,4,250112,C05_copy_then_substitute_06_07,composite,0.3982380628585815,0.83984375,0.181640625,0.181640625,0.181640625,1.000448
baseline,4,250112,K02_shortcut_for_A04_reverse,shortcut,0.178464189171791,0.953125,0.736328125,0.736328125,0.736328125,1.000448
baseline,4,250112,C04_substitute_then_reverse_07_01,composite,0.1839115023612976,0.9453125,0.693359375,0.693359375,0.693359375,1.000448
baseline,4,250112,A03_copy,atomic,0.1865880936384201,0.9488932490348816,0.708984375,0.708984375,0.708984375,1.000448
baseline,4,250112,C02_copy_then_substitute_00_07,composite,0.3810689747333526,0.8414713740348816,0.1796875,0.1796875,0.1796875,1.000448
baseline,4,250112,C01_substitute_then_reverse_03_04,composite,0.363294392824173,0.8479818105697632,0.193359375,0.193359375,0.193359375,1.000448
baseline,4,250112,C00_reverse_then_substitute_06_04,composite,0.3833186626434326,0.8444010615348816,0.185546875,0.185546875,0.185546875,1.000448
baseline,4,250112,A07_reverse,atomic,0.3880470693111419,0.8453776240348816,0.19140625,0.19140625,0.19140625,1.000448
baseline,4,250112,A06_copy,atomic,0.1785778403282165,0.95703125,0.74609375,0.74609375,0.74609375,1.000448
baseline,4,250112,A05_substitute,atomic,1.256384015083313,0.5852864980697632,0.00390625,0.00390625,0.00390625,1.000448
