metric_family,threshold,stratum,n,n_tasks,acquisition_rate,time_spearman_frequency,time_spearman_reference_learnability,time_spearman_formal_utility,final_spearman_frequency,final_spearman_reference_learnability,final_spearman_formal_utility
token_accuracy,0.5,all,125,25,0.832,-0.07594442241434772,0.41056553908520504,-0.19809101452764458,0.079786765495591,-0.2607581973124074,0.33458777694091224
token_accuracy,0.5,true_tasks_atomic_composite,80,16,1.0,-0.15905547145088206,0.2394310628454082,-0.3447868406110001,0.14550133007960614,-0.2614487609442124,0.3694555648667031
token_accuracy,0.5,kind=atomic,40,8,1.0,-0.3770697133954154,0.577036902134192,-0.5777212061276802,0.33225570651457825,-0.562702257473452,0.5704589441864808
token_accuracy,0.5,kind=composite,40,8,1.0,0.3306270762356095,,,-0.30444221703456564,,
token_accuracy,0.5,kind=shortcut,15,3,1.0,0.0,,,0.10403315833041095,,
token_accuracy,0.5,kind=surface_control,15,3,0.26666666666666666,,,,0.7181324987175317,,
token_accuracy,0.5,kind=unrelated,15,3,0.3333333333333333,,,,0.7181324987175317,,
token_accuracy,0.5,op=copy,15,3,1.0,0.0,,0.0,-0.09449111825230679,,-0.018898223650461357
token_accuracy,0.5,op=copy_then_substitute,10,2,1.0,0.0,,,0.17407765595569785,,
token_accuracy,0.5,op=reverse,15,3,1.0,0.14638501094227996,,-0.14638501094227996,-0.29318435529479453,,0.2175238765090411
token_accuracy,0.5,op=reverse_then_substitute,15,3,1.0,-0.7702950281416509,,,0.7282321083128768,,
token_accuracy,0.5,op=shortcut_identity,15,3,1.0,0.0,,,0.10403315833041095,,
token_accuracy,0.5,op=substitute,25,5,0.6,-0.08808303292720551,,-0.05085476277156077,-0.00392232270276368,,0.305085107923876
token_accuracy,0.5,op=substitute_then_reverse,15,3,1.0,0.7150228013783001,,,-0.7181324987175317,,
token_accuracy,0.5,op=surface_rotate,15,3,0.26666666666666666,,,,0.7181324987175317,,
token_accuracy,0.5,target_length=6,125,25,0.832,-0.07594442241434772,0.41056553908520504,-0.19809101452764458,0.079786765495591,-0.2607581973124074,0.33458777694091224
token_accuracy,0.7,all,125,25,0.64,-0.06447320824670846,0.7014877424181684,-0.12846877696281708,0.079786765495591,-0.2607581973124074,0.33458777694091224
token_accuracy,0.7,true_tasks_atomic_composite,80,16,0.8125,-0.01186813804181865,0.5222883544003322,-0.3622491998063197,0.14550133007960614,-0.2614487609442124,0.3694555648667031
token_accuracy,0.7,kind=atomic,40,8,0.75,-0.26903162490664906,0.9313357482785616,-0.08967720830221634,0.33225570651457825,-0.562702257473452,0.5704589441864808
token_accuracy,0.7,kind=composite,40,8,0.875,0.4314320861831129,,,-0.30444221703456564,,
token_accuracy,0.7,kind=shortcut,15,3,1.0,,,,0.10403315833041095,,
token_accuracy,0.7,kind=surface_control,15,3,0.0,,,,0.7181324987175317,,
token_accuracy,0.7,kind=unrelated,15,3,0.0,,,,0.7181324987175317,,
token_accuracy,0.7,op=copy,15,3,1.0,,,,-0.09449111825230679,,-0.018898223650461357
token_accuracy,0.7,op=copy_then_substitute,10,2,1.0,0.11219363880101485,,,0.17407765595569785,,
token_accuracy,0.7,op=reverse,15,3,1.0,0.029531221160930914,,0.0,-0.29318435529479453,,0.2175238765090411
token_accuracy,0.7,op=reverse_then_substitute,15,3,0.6666666666666666,0.0,,,0.7282321083128768,,
token_accuracy,0.7,op=shortcut_identity,15,3,1.0,,,,0.10403315833041095,,
token_accuracy,0.7,op=substitute,25,5,0.0,,,,-0.00392232270276368,,0.305085107923876
token_accuracy,0.7,op=substitute_then_reverse,15,3,1.0,0.7477600746393539,,,-0.7181324987175317,,
token_accuracy,0.7,op=surface_rotate,15,3,0.0,,,,0.7181324987175317,,
token_accuracy,0.7,target_length=6,125,25,0.64,-0.06447320824670846,0.7014877424181684,-0.12846877696281708,0.079786765495591,-0.2607581973124074,0.33458777694091224
token_accuracy,0.85,all,125,25,0.392,0.05872282879127904,0.6545423436810431,-0.048848008723448084,0.079786765495591,-0.2607581973124074,0.33458777694091224
token_accuracy,0.85,true_tasks_atomic_composite,80,16,0.425,0.0432313310346144,0.5670511426249055,-0.39885655090221234,0.14550133007960614,-0.2614487609442124,0.3694555648667031
token_accuracy,0.85,kind=atomic,40,8,0.5,-0.10142788783331258,0.8107515907975257,-0.15962421691800013,0.33225570651457825,-0.562702257473452,0.5704589441864808
token_accuracy,0.85,kind=composite,40,8,0.35,0.760467172710116,,,-0.30444221703456564,,
token_accuracy,0.85,kind=shortcut,15,3,1.0,0.0,,,0.10403315833041095,,
token_accuracy,0.85,kind=surface_control,15,3,0.0,,,,0.7181324987175317,,
token_accuracy,0.85,kind=unrelated,15,3,0.0,,,,0.7181324987175317,,
token_accuracy,0.85,op=copy,15,3,1.0,0.1732050807568877,,0.1732050807568877,-0.09449111825230679,,-0.018898223650461357
token_accuracy,0.85,op=copy_then_substitute,10,2,0.1,,,,0.17407765595569785,,
token_accuracy,0.85,op=reverse,15,3,0.3333333333333333,0.17677669529663687,,-0.4124789556921527,-0.29318435529479453,,0.2175238765090411
token_accuracy,0.85,op=reverse_then_substitute,15,3,0.26666666666666666,0.23570226039551584,,,0.7282321083128768,,
token_accuracy,0.85,op=shortcut_identity,15,3,1.0,0.0,,,0.10403315833041095,,
token_accuracy,0.85,op=substitute,25,5,0.0,,,,-0.00392232270276368,,0.305085107923876
token_accuracy,0.85,op=substitute_then_reverse,15,3,0.6,0.832563195869456,,,-0.7181324987175317,,
token_accuracy,0.85,op=surface_rotate,15,3,0.0,,,,0.7181324987175317,,
token_accuracy,0.85,target_length=6,125,25,0.392,0.05872282879127904,0.6545423436810431,-0.048848008723448084,0.079786765495591,-0.2607581973124074,0.33458777694091224
exact_match,0.2,all,125,25,0.488,-0.03717723879846092,0.7234793064824347,-0.16872528678883036,0.06568709475781973,-0.27203986094171173,0.328395862367401
exact_match,0.2,true_tasks_atomic_composite,80,16,0.575,-0.05307097625303199,0.6224471952342375,-0.4314978779882866,0.1440029245777362,-0.27223036321472266,0.36605323398939477
exact_match,0.2,kind=atomic,40,8,0.55,-0.24813261528334155,0.885502147345311,0.15468827161429688,0.3553252968034639,-0.563310341468017,0.5152453371757286
exact_match,0.2,kind=composite,40,8,0.6,0.344492291885648,,,-0.31819637424712827,,
exact_match,0.2,kind=shortcut,15,3,1.0,0.0,,,0.09457559848219178,,
exact_match,0.2,kind=surface_control,15,3,0.0,,,,0.408248290463863,,
exact_match,0.2,kind=unrelated,15,3,0.0,,,,0.47915742374995485,,
exact_match,0.2,op=copy,15,3,1.0,0.0,,0.0,-0.06620291893753426,,-0.04728779924109589
exact_match,0.2,op=copy_then_substitute,10,2,0.5,-0.18136906252750293,,,0.20952908873087345,,
exact_match,0.2,op=reverse,15,3,0.4666666666666667,-0.16666666666666666,,0.41666666666666663,-0.056847144568583516,,-0.17054143370575056
exact_match,0.2,op=reverse_then_substitute,15,3,0.4,-0.533001790889026,,,0.740343236686949,,
exact_match,0.2,op=shortcut_identity,15,3,1.0,0.0,,,0.09457559848219178,,
exact_match,0.2,op=substitute,25,5,0.0,,,,-0.04749803332527309,,0.26868945165860175
exact_match,0.2,op=substitute_then_reverse,15,3,0.8666666666666667,0.7504787743864563,,,-0.7559289460184543,,
exact_match,0.2,op=surface_rotate,15,3,0.0,,,,0.408248290463863,,
exact_match,0.2,target_length=6,125,25,0.488,-0.03717723879846092,0.7234793064824347,-0.16872528678883036,0.06568709475781973,-0.27203986094171173,0.328395862367401
exact_match,0.5,all,125,25,0.28,-0.0993150044478032,0.0290031220201183,-0.13757446854773647,0.06568709475781973,-0.27203986094171173,0.328395862367401
exact_match,0.5,true_tasks_atomic_composite,80,16,0.25,-0.10000000000000003,0.092951600308978,-0.16400000000000003,0.1440029245777362,-0.27223036321472266,0.36605323398939477
exact_match,0.5,kind=atomic,40,8,0.375,-0.05849831819752737,,-0.17549495459258213,0.3553252968034639,-0.563310341468017,0.5152453371757286
exact_match,0.5,kind=composite,40,8,0.125,,,,-0.31819637424712827,,
exact_match,0.5,kind=shortcut,15,3,1.0,-0.03849001794597505,,,0.09457559848219178,,
exact_match,0.5,kind=surface_control,15,3,0.0,,,,0.408248290463863,,
exact_match,0.5,kind=unrelated,15,3,0.0,,,,0.47915742374995485,,
exact_match,0.5,op=copy,15,3,1.0,-0.05849831819752737,,-0.17549495459258213,-0.06620291893753426,,-0.04728779924109589
exact_match,0.5,op=copy_then_substitute,10,2,0.0,,,,0.20952908873087345,,
exact_match,0.5,op=reverse,15,3,0.0,,,,-0.056847144568583516,,-0.17054143370575056
exact_match,0.5,op=reverse_then_substitute,15,3,0.0,,,,0.740343236686949,,
exact_match,0.5,op=shortcut_identity,15,3,1.0,-0.03849001794597505,,,0.09457559848219178,,
exact_match,0.5,op=substitute,25,5,0.0,,,,-0.04749803332527309,,0.26868945165860175
exact_match,0.5,op=substitute_then_reverse,15,3,0.3333333333333333,,,,-0.7559289460184543,,
exact_match,0.5,op=surface_rotate,15,3,0.0,,,,0.408248290463863,,
exact_match,0.5,target_length=6,125,25,0.28,-0.0993150044478032,0.0290031220201183,-0.13757446854773647,0.06568709475781973,-0.27203986094171173,0.328395862367401
exact_match,0.8,all,125,25,0.04,0.35355339059327373,0.25,-0.3952847075210474,0.06568709475781973,-0.27203986094171173,0.328395862367401
exact_match,0.8,true_tasks_atomic_composite,80,16,0.0375,0.0,0.5000000000000001,0.0,0.1440029245777362,-0.27223036321472266,0.36605323398939477
exact_match,0.8,kind=atomic,40,8,0.05,,,,0.3553252968034639,-0.563310341468017,0.5152453371757286
exact_match,0.8,kind=composite,40,8,0.025,,,,-0.31819637424712827,,
exact_match,0.8,kind=shortcut,15,3,0.13333333333333333,,,,0.09457559848219178,,
exact_match,0.8,kind=surface_control,15,3,0.0,,,,0.408248290463863,,
exact_match,0.8,kind=unrelated,15,3,0.0,,,,0.47915742374995485,,
exact_match,0.8,op=copy,15,3,0.13333333333333333,,,,-0.06620291893753426,,-0.04728779924109589
exact_match,0.8,op=copy_then_substitute,10,2,0.0,,,,0.20952908873087345,,
exact_match,0.8,op=reverse,15,3,0.0,,,,-0.056847144568583516,,-0.17054143370575056
exact_match,0.8,op=reverse_then_substitute,15,3,0.0,,,,0.740343236686949,,
exact_match,0.8,op=shortcut_identity,15,3,0.13333333333333333,,,,0.09457559848219178,,
exact_match,0.8,op=substitute,25,5,0.0,,,,-0.04749803332527309,,0.26868945165860175
exact_match,0.8,op=substitute_then_reverse,15,3,0.06666666666666667,,,,-0.7559289460184543,,
exact_match,0.8,op=surface_rotate,15,3,0.0,,,,0.408248290463863,,
exact_match,0.8,target_length=6,125,25,0.04,0.35355339059327373,0.25,-0.3952847075210474,0.06568709475781973,-0.27203986094171173,0.328395862367401
