kind,n,mean_final_exact_match,mean_final_token_accuracy,mean_final_loss
atomic,40,0.35,0.8277913600206375,0.502671841159463
composite,40,0.219775390625,0.8257080271840096,0.4459491200745106
shortcut,15,0.7588541666666667,0.957812515894572,0.16662235856056207
surface_control,15,0.000390625,0.35525174538294474,2.7016250133514403
unrelated,15,0.00078125,0.2545356007913748,2.277380275726318
