condition,seed,task_name,kind,acquired_at,threshold,patience,metric,final_metric,final_accuracy,final_balanced_accuracy
baseline,2,A05_substitute,atomic,,0.9,2,exact_match,0.0,0.0,0.0
baseline,2,A06_copy,atomic,,0.9,2,exact_match,0.80859375,0.80859375,0.80859375
baseline,2,A07_reverse,atomic,,0.9,2,exact_match,0.091796875,0.091796875,0.091796875
baseline,2,C00_reverse_then_substitute_06_04,composite,,0.9,2,exact_match,0.1171875,0.1171875,0.1171875
baseline,2,C01_substitute_then_reverse_03_04,composite,,0.9,2,exact_match,0.076171875,0.076171875,0.076171875
baseline,2,C02_copy_then_substitute_00_07,composite,,0.9,2,exact_match,0.07421875,0.07421875,0.07421875
baseline,2,C03_reverse_then_substitute_06_01,composite,,0.9,2,exact_match,0.08203125,0.08203125,0.08203125
baseline,2,C04_substitute_then_reverse_07_01,composite,,0.9,2,exact_match,0.818359375,0.818359375,0.818359375
baseline,2,C05_copy_then_substitute_06_07,composite,,0.9,2,exact_match,0.08984375,0.08984375,0.08984375
baseline,2,C06_reverse_then_substitute_02_00,composite,,0.9,2,exact_match,0.001953125,0.001953125,0.001953125
baseline,2,C07_substitute_then_reverse_04_03,composite,,0.9,2,exact_match,0.0703125,0.0703125,0.0703125
baseline,2,K00_shortcut_for_A00_copy,shortcut,,0.9,2,exact_match,0.8203125,0.8203125,0.8203125
baseline,2,K01_shortcut_for_A07_reverse,shortcut,,0.9,2,exact_match,0.849609375,0.849609375,0.849609375
baseline,2,K02_shortcut_for_A04_reverse,shortcut,,0.9,2,exact_match,0.845703125,0.845703125,0.845703125
baseline,2,S00_surface_rotate,surface_control,,0.9,2,exact_match,0.0,0.0,0.0
baseline,2,S01_surface_rotate,surface_control,,0.9,2,exact_match,0.001953125,0.001953125,0.001953125
baseline,2,S02_surface_rotate,surface_control,,0.9,2,exact_match,0.0,0.0,0.0
baseline,2,U00_unrelated_substitute,unrelated,,0.9,2,exact_match,0.0,0.0,0.0
baseline,2,U01_unrelated_substitute,unrelated,,0.9,2,exact_match,0.0,0.0,0.0
baseline,2,U02_unrelated_substitute,unrelated,,0.9,2,exact_match,0.0,0.0,0.0
baseline,3,A00_copy,atomic,,0.9,2,exact_match,0.76171875,0.76171875,0.76171875
baseline,3,A01_reverse,atomic,,0.9,2,exact_match,0.208984375,0.208984375,0.208984375
baseline,3,A02_substitute,atomic,,0.9,2,exact_match,0.001953125,0.001953125,0.001953125
baseline,3,A03_copy,atomic,,0.9,2,exact_match,0.75390625,0.75390625,0.75390625
baseline,3,A04_reverse,atomic,,0.9,2,exact_match,0.19140625,0.19140625,0.19140625
baseline,3,A05_substitute,atomic,,0.9,2,exact_match,0.001953125,0.001953125,0.001953125
baseline,3,A06_copy,atomic,,0.9,2,exact_match,0.724609375,0.724609375,0.724609375
baseline,3,A07_reverse,atomic,,0.9,2,exact_match,0.208984375,0.208984375,0.208984375
baseline,3,C00_reverse_then_substitute_06_04,composite,,0.9,2,exact_match,0.19140625,0.19140625,0.19140625
baseline,3,C01_substitute_then_reverse_03_04,composite,,0.9,2,exact_match,0.197265625,0.197265625,0.197265625
baseline,3,C02_copy_then_substitute_00_07,composite,,0.9,2,exact_match,0.203125,0.203125,0.203125
baseline,3,C03_reverse_then_substitute_06_01,composite,,0.9,2,exact_match,0.18359375,0.18359375,0.18359375
baseline,3,C04_substitute_then_reverse_07_01,composite,,0.9,2,exact_match,0.705078125,0.705078125,0.705078125
baseline,3,C05_copy_then_substitute_06_07,composite,,0.9,2,exact_match,0.2109375,0.2109375,0.2109375
baseline,3,C06_reverse_then_substitute_02_00,composite,,0.9,2,exact_match,0.001953125,0.001953125,0.001953125
baseline,3,C07_substitute_then_reverse_04_03,composite,,0.9,2,exact_match,0.212890625,0.212890625,0.212890625
baseline,3,K00_shortcut_for_A00_copy,shortcut,,0.9,2,exact_match,0.703125,0.703125,0.703125
baseline,3,K01_shortcut_for_A07_reverse,shortcut,,0.9,2,exact_match,0.75,0.75,0.75
baseline,3,K02_shortcut_for_A04_reverse,shortcut,,0.9,2,exact_match,0.72265625,0.72265625,0.72265625
baseline,3,S00_surface_rotate,surface_control,,0.9,2,exact_match,0.0,0.0,0.0
baseline,3,S01_surface_rotate,surface_control,,0.9,2,exact_match,0.0,0.0,0.0
baseline,3,S02_surface_rotate,surface_control,,0.9,2,exact_match,0.0,0.0,0.0
baseline,3,U00_unrelated_substitute,unrelated,,0.9,2,exact_match,0.0,0.0,0.0
baseline,3,U01_unrelated_substitute,unrelated,,0.9,2,exact_match,0.00390625,0.00390625,0.00390625
