candidate_seed,passed,family_design_passed,token_acquisition_rate,composite_token_acquisition_rate,atomic_token_acquisition_rate,mean_final_token_accuracy,mean_final_exact_match,time_spearman_frequency_all,time_spearman_learnability_all,time_spearman_utility_all,time_spearman_frequency_true_tasks,time_spearman_learnability_true_tasks,time_spearman_frequency_atomic,time_spearman_learnability_atomic,expected_frequency_sign_true_tasks,expected_learnability_sign_true_tasks,n_tasks,n_composites,design_condition_number
0,True,True,0.3466666666666667,0.2916666666666667,0.4166666666666667,0.661545153806607,0.2989583333333333,-0.1580318808161932,-0.04588314677411235,0.12961693018021098,-0.07036256687845455,-0.13386199644002433,0.12524485821702988,0.5773502691896257,True,False,25,8,1.438135652815094
1,True,True,0.56,0.625,0.75,0.599162339841326,0.23294270833333333,-0.3530090432487313,-0.7027312209025358,-0.17631625008105156,-0.46742139298569735,-0.5628877973573359,-0.8332380897952963,-0.9486832980505138,True,False,25,8,1.238246106484303
2,True,True,0.56,0.375,0.75,0.5124652891854445,0.093125,-0.037950459168703925,-0.7096933050158417,-0.04452316383493929,-0.0396510216343534,-0.5443654172013672,0.036311343620046344,-0.9132886235138468,True,False,25,8,1.488729209998883
3,True,True,0.48,0.375,0.75,0.5491145990043879,0.21416666666666667,-0.09653515114501282,0.8330487766734794,0.15722811233339642,-0.17458526027749277,0.7059473988995965,-0.2740794911656946,0.8921051106143711,True,True,25,8,1.603236426893455
4,True,True,0.6533333333333333,0.9166666666666666,0.75,0.6710547040899595,0.26361979166666666,0.23418733615807705,0.5672441118357384,0.08900343869630449,0.14881971557234386,0.3934902786158825,0.29726291898657364,0.9138115486202572,False,True,25,8,1.7187444620378693
5,True,True,0.4533333333333333,0.625,0.375,0.6183767529825369,0.13697916666666668,-0.29973657538381526,-0.29990722886453924,0.03400244826441573,-0.4690449155806726,-0.2513123449750173,0.43301270189221935,,True,False,25,8,1.2037764913894213
6,False,True,0.28,0.5,0.375,0.5924088714520136,0.25809895833333335,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,25,8,1.449402666241485
7,True,True,0.68,0.75,1.0,0.6641406391064326,0.15263020833333332,-0.057726829608016755,0.22926377139633675,-0.07821853600872035,-0.16194372792019893,0.21198043170958267,-0.0013601477309475797,0.5829752480681661,True,True,25,8,1.8233063495484836
8,True,True,0.6933333333333334,0.9166666666666666,0.8333333333333334,0.7497613031665484,0.272890625,-0.09076163136633054,0.5980612080303389,-0.1348535921773977,-0.08910366039810809,0.3990155473489692,-0.33691120922797974,0.7883421693396081,True,True,25,8,1.8087044806299826
9,False,True,0.16,0.125,0.125,0.4859505316677193,0.046588541666666664,0.05524946201098299,0.0,-0.5135525910130955,0.0,0.0,,,False,False,25,8,1.4498768418783412
