task_name,structure_id,kind,op,operation_type,frequency,reference_learnability,formal_utility,n_components,composition_depth,target_length,input_length,output_entropy,positionwise_entropy_mean,positionwise_entropy_min,positionwise_entropy_max,random_baseline_token_accuracy,copy_fraction,control_type,control_for,components
A00_copy,A00_copy,atomic,copy,copy,0.010906163203323558,1.0,0.05308219714768977,0,1,6,6,4.989622727815845,4.989622727815845,4.9874589308769055,4.992577192648015,0.039632161458333336,1.0,,,
A01_reverse,A01_reverse,atomic,reverse,reverse,0.012054086724866624,2.0,0.07527491546159737,0,1,6,6,4.989622727815845,4.989622727815845,4.9874589308769055,4.992577192648015,0.039632161458333336,0.03076171875,,,
A02_substitute,A02_substitute,atomic,substitute,substitute,0.018948519685711044,1.5,0.04267337520560386,0,1,6,6,4.989622727815845,4.989622727815845,4.9874589308769055,4.992577192648016,0.039632161458333336,0.0,,,
A03_copy,A03_copy,atomic,copy,copy,0.280037251940008,1.0,0.1162344687252579,0,1,6,6,4.989622727815845,4.989622727815845,4.9874589308769055,4.992577192648015,0.039632161458333336,1.0,,,
A04_reverse,A04_reverse,atomic,reverse,reverse,0.013464172801898835,2.0,0.16791146979255017,0,1,6,6,4.989622727815845,4.989622727815845,4.9874589308769055,4.992577192648015,0.039632161458333336,0.03076171875,,,
A05_substitute,A05_substitute,atomic,substitute,substitute,0.009536275694781592,1.5,0.0,0,1,6,6,4.989622727815845,4.989622727815845,4.9874589308769055,4.992577192648016,0.039632161458333336,0.0,,,
A06_copy,A06_copy,atomic,copy,copy,0.1352490775505667,1.0,0.12845011076888616,0,1,6,6,4.989622727815845,4.989622727815845,4.9874589308769055,4.992577192648015,0.039632161458333336,1.0,,,
A07_reverse,A07_reverse,atomic,reverse,reverse,0.014296984282697388,2.0,0.031814849645611015,0,1,6,6,4.989622727815845,4.989622727815845,4.9874589308769055,4.992577192648015,0.039632161458333336,0.03076171875,,,
C00_reverse_then_substitute_06_04,C00_reverse_then_substitute_06_04,composite,reverse_then_substitute,reverse_then_substitute,0.05167700106729227,3.0,0.0,2,2,6,6,4.989622727815845,4.989622727815845,4.9874589308769055,4.992577192648015,0.039632161458333336,0.03076171875,,,"A06_copy,A04_reverse"
C01_substitute_then_reverse_03_04,C01_substitute_then_reverse_03_04,composite,substitute_then_reverse,substitute_then_reverse,0.02787797166068989,3.0,0.0,2,2,6,6,4.989622727815845,4.989622727815845,4.9874589308769055,4.992577192648015,0.039632161458333336,0.03076171875,,,"A03_copy,A04_reverse"
C02_copy_then_substitute_00_07,C02_copy_then_substitute_00_07,composite,copy_then_substitute,copy_then_substitute,0.010408821942085908,3.0,0.0,2,2,6,6,4.989622727815845,4.989622727815845,4.9874589308769055,4.992577192648015,0.039632161458333336,0.03076171875,,,"A00_copy,A07_reverse"
C03_reverse_then_substitute_06_01,C03_reverse_then_substitute_06_01,composite,reverse_then_substitute,reverse_then_substitute,0.06532099872983307,3.0,0.0,2,2,6,6,4.989622727815845,4.989622727815845,4.9874589308769055,4.992577192648015,0.039632161458333336,0.03076171875,,,"A06_copy,A01_reverse"
C04_substitute_then_reverse_07_01,C04_substitute_then_reverse_07_01,composite,substitute_then_reverse,substitute_then_reverse,0.009953916731764297,3.0,0.0,2,2,6,6,4.989622727815845,4.989622727815845,4.9874589308769055,4.992577192648015,0.039632161458333336,1.0,,,"A07_reverse,A01_reverse"
C05_copy_then_substitute_06_07,C05_copy_then_substitute_06_07,composite,copy_then_substitute,copy_then_substitute,0.011452110971760809,3.0,0.0,2,2,6,6,4.989622727815845,4.989622727815845,4.9874589308769055,4.992577192648015,0.039632161458333336,0.03076171875,,,"A06_copy,A07_reverse"
C06_reverse_then_substitute_02_00,C06_reverse_then_substitute_02_00,composite,reverse_then_substitute,reverse_then_substitute,0.04267337520560386,3.0,0.0,2,2,6,6,4.989622727815845,4.989622727815845,4.9874589308769055,4.992577192648016,0.039632161458333336,0.0,,,"A02_substitute,A00_copy"
C07_substitute_then_reverse_04_03,C07_substitute_then_reverse_04_03,composite,substitute_then_reverse,substitute_then_reverse,0.08835649706456801,3.0,0.0,2,2,6,6,4.989622727815845,4.989622727815845,4.9874589308769055,4.992577192648015,0.039632161458333336,0.03076171875,,,"A04_reverse,A03_copy"
K00_shortcut_for_A00_copy,K00_shortcut_for_A00_copy,shortcut,shortcut_identity,shortcut_identity,0.016304969290607298,1.0,0.0,1,2,6,6,4.989622727815845,4.989622727815845,4.9874589308769055,4.992577192648015,0.039632161458333336,1.0,shortcut_no_reuse,A00_copy,A00_copy
K01_shortcut_for_A07_reverse,K01_shortcut_for_A07_reverse,shortcut,shortcut_identity,shortcut_identity,0.01752997794610958,1.0,0.0,1,2,6,6,4.989622727815845,4.989622727815845,4.9874589308769055,4.992577192648015,0.039632161458333336,1.0,shortcut_no_reuse,A07_reverse,A07_reverse
K02_shortcut_for_A04_reverse,K02_shortcut_for_A04_reverse,shortcut,shortcut_identity,shortcut_identity,0.03629634256664033,1.0,0.0,1,2,6,6,4.989622727815845,4.989622727815845,4.9874589308769055,4.992577192648015,0.039632161458333336,1.0,shortcut_no_reuse,A04_reverse,A04_reverse
S00_surface_rotate,S00_surface_rotate,surface_control,surface_rotate,surface_rotate,0.02060988169446676,2.0,0.0,0,1,6,6,4.989622727815845,4.989622727815845,4.9874589308769055,4.992577192648015,0.039632161458333336,0.032796223958333336,surface_overlap_no_dependency,,
S01_surface_rotate,S01_surface_rotate,surface_control,surface_rotate,surface_rotate,0.031547962857399726,2.0,0.0,0,1,6,6,4.989622727815846,4.989622727815846,4.9874589308769055,4.992577192648015,0.039632161458333336,0.032796223958333336,surface_overlap_no_dependency,,
S02_surface_rotate,S02_surface_rotate,surface_control,surface_rotate,surface_rotate,0.015236661713767032,2.0,0.0,0,1,6,6,4.989622727815846,4.989622727815846,4.9874589308769055,4.992577192648015,0.039632161458333336,0.031331380208333336,surface_overlap_no_dependency,,
U00_unrelated_substitute,U00_unrelated_substitute,unrelated,substitute,substitute,0.022581536436180796,1.5,0.0,0,1,6,6,4.989622727815845,4.989622727815845,4.987458930876906,4.992577192648016,0.039632161458333336,0.0,unrelated_matched,,
U01_unrelated_substitute,U01_unrelated_substitute,unrelated,substitute,substitute,0.024958346350392815,1.5,0.0,0,1,6,6,4.989622727815845,4.989622727815845,4.9874589308769055,4.992577192648016,0.039632161458333336,0.0,unrelated_matched,,
U02_unrelated_substitute,U02_unrelated_substitute,unrelated,substitute,substitute,0.012721095886983995,1.5,0.0,0,1,6,6,4.989622727815845,4.989622727815845,4.987458930876906,4.992577192648016,0.039632161458333336,0.0,unrelated_matched,,
