condition,seed,data_seen,task_i,task_j,linear_cka
baseline,0,512,A02_bit_1,A08_not_bit_40,0.9825549721717834
baseline,0,512,A02_bit_1,A09_xor2_42_32,0.9731388092041016
baseline,0,512,A02_bit_1,A10_xor2_25_39,0.984876275062561
baseline,0,512,A02_bit_1,A11_xor2_14_34,0.9843562245368958
baseline,0,512,A02_bit_1,C00_or_04_01,0.9776604175567627
baseline,0,512,A02_bit_1,C01_or_09_02,0.9867851138114929
baseline,0,512,A02_bit_1,C02_and_05_09,0.98296719789505
baseline,0,512,A02_bit_1,C03_and_04_05,0.9854846596717834
baseline,0,512,A02_bit_1,C04_or_09_04,0.9806429147720337
baseline,0,512,A02_bit_1,C05_or_04_07,0.9831973910331726
baseline,0,512,A02_bit_1,C06_and_05_09,0.9832769632339478
baseline,0,512,A02_bit_1,C07_and_09_00,0.986241340637207
baseline,0,512,A02_bit_1,K00_shortcut_for_10_bit39,0.9907247424125671
baseline,0,512,A02_bit_1,K01_shortcut_for_09_bit45,0.9839957356452942
baseline,0,512,A02_bit_1,K02_shortcut_for_07_bit11,0.9929226636886597
baseline,0,512,A02_bit_1,K03_shortcut_for_07_bit23,0.9918959140777588
baseline,0,512,A02_bit_1,S00_surface_xor_12_45,0.9855204224586487
baseline,0,512,A02_bit_1,S01_surface_xor_25_7,0.9843482375144958
baseline,0,512,A02_bit_1,S02_surface_xor_35_38,0.9932499527931213
baseline,0,512,A02_bit_1,S03_surface_xor_28_44,0.9808583855628967
baseline,0,512,A02_bit_1,U00_xor2_35_7,0.9810275435447693
baseline,0,512,A02_bit_1,U01_eq2_3_23,0.987514078617096
baseline,0,512,A02_bit_1,U02_and_bits_10_16,0.9932579398155212
baseline,0,512,A02_bit_1,U03_xor2_36_26,0.9821796417236328
baseline,0,512,A03_and_bits_23_25,A00_not_bit_26,0.9848714470863342
baseline,0,512,A03_and_bits_23_25,A01_xor2_40_1,0.9861734509468079
baseline,0,512,A03_and_bits_23_25,A02_bit_1,0.9871681332588196
baseline,0,512,A03_and_bits_23_25,A03_and_bits_23_25,1.0
baseline,0,512,A03_and_bits_23_25,A04_not_bit_0,0.9799690842628479
baseline,0,512,A03_and_bits_23_25,A05_and_bits_5_25,0.9810031652450562
baseline,0,512,A03_and_bits_23_25,A06_and_bits_18_35,0.9845364689826965
baseline,0,512,A03_and_bits_23_25,A07_and_bits_46_18,0.9874588847160339
baseline,0,512,A03_and_bits_23_25,A08_not_bit_40,0.9859785437583923
baseline,0,512,A03_and_bits_23_25,A09_xor2_42_32,0.9836017489433289
baseline,0,512,A03_and_bits_23_25,A10_xor2_25_39,0.9856823682785034
baseline,0,512,A03_and_bits_23_25,A11_xor2_14_34,0.991161584854126
baseline,0,512,A03_and_bits_23_25,C00_or_04_01,0.9871324896812439
baseline,0,512,A03_and_bits_23_25,C01_or_09_02,0.980505645275116
baseline,0,512,A03_and_bits_23_25,C02_and_05_09,0.9899767637252808
baseline,0,512,A03_and_bits_23_25,C03_and_04_05,0.9906409382820129
baseline,0,512,A03_and_bits_23_25,C04_or_09_04,0.9869992136955261
baseline,0,512,A03_and_bits_23_25,C05_or_04_07,0.9905714392662048
baseline,0,512,A03_and_bits_23_25,C06_and_05_09,0.9879125952720642
baseline,0,512,A03_and_bits_23_25,C07_and_09_00,0.9885678291320801
baseline,0,512,A03_and_bits_23_25,K00_shortcut_for_10_bit39,0.987883985042572
baseline,0,512,A03_and_bits_23_25,K01_shortcut_for_09_bit45,0.9891636967658997
baseline,0,512,A03_and_bits_23_25,K02_shortcut_for_07_bit11,0.9857531785964966
baseline,0,512,A03_and_bits_23_25,K03_shortcut_for_07_bit23,0.9845941662788391
