run_id,code_version,experiment,backend,output_path,status,thesis_use,created_at_utc
tmp_arith_test,v3.4,Pythia_focused_arithmetic_slice_suite_generation,Pythia_observational,/mnt/data/work_v34/tmp_arith_test,created,test,2026-06-01T10:41:23+00:00
tmp_plan_test,v3.4,High_value_experiment_plan,meta,/mnt/data/work_v34/tmp_plan_test,created,test,2026-06-01T10:41:25+00:00
