component,composite,unrelated_control,same_operation_control,different_operation_control,fake_component_control,surface_control,source_mean_residual_log_time,source_positive_rate
A02_substitute,C00_reverse_then_substitute_02_05,U01_unrelated_substitute,U01_unrelated_substitute,A03_copy,K02_shortcut_for_A00_copy,S01_surface_rotate,5.001246020816369,1.0
A05_substitute,C00_reverse_then_substitute_02_05,U01_unrelated_substitute,U01_unrelated_substitute,A03_copy,K02_shortcut_for_A00_copy,S01_surface_rotate,5.001246020816369,1.0
