pair_id,pair_index,pair_type,source_task,target_task,filler_task,source_multiplier,condition,seed,data_seen,checkpoint_fraction,probe_stage,param_subset,gradient_cosine,gradient_inner_product,first_order_transfer_score,source_gradient_norm,target_gradient_norm,source_gradient_snr,target_gradient_snr,source_within_gradient_alignment,target_within_gradient_alignment,linear_cka
P000_A05_substitute__to__C05_copy_then_substitute_05_07,0,component_to_composite,A05_substitute,C05_copy_then_substitute_05_07,K00_shortcut_for_A00_copy,0.0,source_x0,0,0,0.0,init,last_block_ln_head,0.4277310437655269,0.1681511998176574,0.1681511998176574,0.6214091777801514,0.6326325535774231,0.6162101005863165,0.7087484541483866,0.1749620735645294,0.2210767716169357,0.8490279316902161
P000_A05_substitute__to__C05_copy_then_substitute_05_07,0,component_to_composite,A05_substitute,C05_copy_then_substitute_05_07,K00_shortcut_for_A00_copy,0.0,source_x0,0,6144,0.0512,early,last_block_ln_head,-0.020682261275391,-0.0049651013687253,-0.0049651013687253,0.4825568795204162,0.4974868297576904,0.5176519404166992,0.4181283363781373,0.1194835603237152,0.0616411529481411,0.8481231331825256
P000_A05_substitute__to__C05_copy_then_substitute_05_07,0,component_to_composite,A05_substitute,C05_copy_then_substitute_05_07,K00_shortcut_for_A00_copy,0.0,source_x0,1,0,0.0,init,last_block_ln_head,0.5587429967399725,0.2436688244342804,0.2436688244342804,0.6368332505226135,0.684797465801239,0.6451215397302844,0.7117624852514233,0.1892222166061401,0.2207018435001373,0.82831871509552
P000_A05_substitute__to__C05_copy_then_substitute_05_07,0,component_to_composite,A05_substitute,C05_copy_then_substitute_05_07,K00_shortcut_for_A00_copy,0.0,source_x0,1,6144,0.0512,early,last_block_ln_head,0.3084922516062343,0.0781133919954299,0.0781133919954299,0.5324817895889282,0.4755284190177917,0.5356274791185732,0.3906479199530778,0.1340307295322418,0.0437037944793701,0.8503527641296387
P000_A05_substitute__to__C05_copy_then_substitute_05_07,0,component_to_composite,A05_substitute,C05_copy_then_substitute_05_07,K00_shortcut_for_A00_copy,0.0,source_x0,2,0,0.0,init,last_block_ln_head,0.640853628679226,0.3234348893165588,0.3234348893165588,0.7010535597801208,0.7199077010154724,0.92441121542502,0.7874969121245707,0.307513564825058,0.2551978528499603,0.8149545192718506
P000_A05_substitute__to__C05_copy_then_substitute_05_07,0,component_to_composite,A05_substitute,C05_copy_then_substitute_05_07,K00_shortcut_for_A00_copy,0.0,source_x0,2,6144,0.0512,early,last_block_ln_head,-0.0244089472125181,-0.0054481797851622,-0.0054481797851622,0.4654399156570434,0.4795553684234619,0.4106139167836156,0.333293689457394,0.0548469685018062,-0.0060177966952323,0.8103672862052917
P000_A05_substitute__to__C05_copy_then_substitute_05_07,0,component_to_composite,A05_substitute,C05_copy_then_substitute_05_07,K00_shortcut_for_A00_copy,0.5,source_x0.5,0,0,0.0,init,last_block_ln_head,0.4277310437655269,0.1681511998176574,0.1681511998176574,0.6214091777801514,0.6326325535774231,0.6162101005863165,0.7087484541483866,0.1749620735645294,0.2210767716169357,0.8490279316902161
P000_A05_substitute__to__C05_copy_then_substitute_05_07,0,component_to_composite,A05_substitute,C05_copy_then_substitute_05_07,K00_shortcut_for_A00_copy,0.5,source_x0.5,0,6144,0.0512,early,last_block_ln_head,-0.0198996720273346,-0.0047812876291573,-0.0047812876291573,0.4843120872974396,0.4961050450801849,0.5208178726231995,0.4165407229509292,0.1211390346288681,0.0603122040629386,0.8474480509757996
P000_A05_substitute__to__C05_copy_then_substitute_05_07,0,component_to_composite,A05_substitute,C05_copy_then_substitute_05_07,K00_shortcut_for_A00_copy,0.5,source_x0.5,1,0,0.0,init,last_block_ln_head,0.5587429967399725,0.2436688244342804,0.2436688244342804,0.6368332505226135,0.684797465801239,0.6451215397302844,0.7117624852514233,0.1892222166061401,0.2207018435001373,0.82831871509552
P000_A05_substitute__to__C05_copy_then_substitute_05_07,0,component_to_composite,A05_substitute,C05_copy_then_substitute_05_07,K00_shortcut_for_A00_copy,0.5,source_x0.5,1,6144,0.0512,early,last_block_ln_head,0.3146635410053123,0.0801707655191421,0.0801707655191421,0.5356636643409729,0.4756389558315277,0.5423784634111046,0.3910226097344665,0.1380225867033004,0.0443225279450416,0.8500248789787292
P000_A05_substitute__to__C05_copy_then_substitute_05_07,0,component_to_composite,A05_substitute,C05_copy_then_substitute_05_07,K00_shortcut_for_A00_copy,0.5,source_x0.5,2,0,0.0,init,last_block_ln_head,0.640853628679226,0.3234348893165588,0.3234348893165588,0.7010535597801208,0.7199077010154724,0.92441121542502,0.7874969121245707,0.307513564825058,0.2551978528499603,0.8149545192718506
P000_A05_substitute__to__C05_copy_then_substitute_05_07,0,component_to_composite,A05_substitute,C05_copy_then_substitute_05_07,K00_shortcut_for_A00_copy,0.5,source_x0.5,2,6144,0.0512,early,last_block_ln_head,-0.0206941480040778,-0.004635757766664,-0.004635757766664,0.463656485080719,0.4831442832946777,0.4076680129837562,0.3381387002880734,0.0531210228800773,-0.0040611131116747,0.8095241785049438
P000_A05_substitute__to__C05_copy_then_substitute_05_07,0,component_to_composite,A05_substitute,C05_copy_then_substitute_05_07,K00_shortcut_for_A00_copy,1.0,source_x1,0,0,0.0,init,last_block_ln_head,0.4277310437655269,0.1681511998176574,0.1681511998176574,0.6214091777801514,0.6326325535774231,0.6162101005863165,0.7087484541483866,0.1749620735645294,0.2210767716169357,0.8490279316902161
P000_A05_substitute__to__C05_copy_then_substitute_05_07,0,component_to_composite,A05_substitute,C05_copy_then_substitute_05_07,K00_shortcut_for_A00_copy,1.0,source_x1,0,6144,0.0512,early,last_block_ln_head,-0.0086290803256963,-0.0020939102396368,-0.0020939102396368,0.4794690608978271,0.5060960650444031,0.5113086497786765,0.4336079037462883,0.114967368543148,0.0715959668159484,0.8488461971282959
P000_A05_substitute__to__C05_copy_then_substitute_05_07,0,component_to_composite,A05_substitute,C05_copy_then_substitute_05_07,K00_shortcut_for_A00_copy,1.0,source_x1,1,0,0.0,init,last_block_ln_head,0.5587429967399725,0.2436688244342804,0.2436688244342804,0.6368332505226135,0.684797465801239,0.6451215397302844,0.7117624852514233,0.1892222166061401,0.2207018435001373,0.82831871509552
P000_A05_substitute__to__C05_copy_then_substitute_05_07,0,component_to_composite,A05_substitute,C05_copy_then_substitute_05_07,K00_shortcut_for_A00_copy,1.0,source_x1,1,6144,0.0512,early,last_block_ln_head,0.2958855172174161,0.0733052715659141,0.0733052715659141,0.5312938690185547,0.4663121104240417,0.5334962323714398,0.3760599569106422,0.1326551139354705,0.0339664742350578,0.848265528678894
P000_A05_substitute__to__C05_copy_then_substitute_05_07,0,component_to_composite,A05_substitute,C05_copy_then_substitute_05_07,K00_shortcut_for_A00_copy,1.0,source_x1,2,0,0.0,init,last_block_ln_head,0.640853628679226,0.3234348893165588,0.3234348893165588,0.7010535597801208,0.7199077010154724,0.92441121542502,0.7874969121245707,0.307513564825058,0.2551978528499603,0.8149545192718506
P000_A05_substitute__to__C05_copy_then_substitute_05_07,0,component_to_composite,A05_substitute,C05_copy_then_substitute_05_07,K00_shortcut_for_A00_copy,1.0,source_x1,2,6144,0.0512,early,last_block_ln_head,0.0049269592203544,0.0011306277010589,0.0011306277010589,0.4630663990974426,0.4955613017082214,0.4066757835830926,0.3559613666346858,0.0521910488605499,0.0106595959514379,0.8091468811035156
P000_A05_substitute__to__C05_copy_then_substitute_05_07,0,component_to_composite,A05_substitute,C05_copy_then_substitute_05_07,K00_shortcut_for_A00_copy,2.0,source_x2,0,0,0.0,init,last_block_ln_head,0.4277310437655269,0.1681511998176574,0.1681511998176574,0.6214091777801514,0.6326325535774231,0.6162101005863165,0.7087484541483866,0.1749620735645294,0.2210767716169357,0.8490279316902161
P000_A05_substitute__to__C05_copy_then_substitute_05_07,0,component_to_composite,A05_substitute,C05_copy_then_substitute_05_07,K00_shortcut_for_A00_copy,2.0,source_x2,0,6144,0.0512,early,last_block_ln_head,-0.0118825164506287,-0.0028834259137511,-0.0028834259137511,0.4884712398052215,0.4967768788337707,0.5309776475126877,0.4176499682335465,0.1269328743219375,0.0608802735805511,0.8488650918006897
P000_A05_substitute__to__C05_copy_then_substitute_05_07,0,component_to_composite,A05_substitute,C05_copy_then_substitute_05_07,K00_shortcut_for_A00_copy,2.0,source_x2,1,0,0.0,init,last_block_ln_head,0.5587429967399725,0.2436688244342804,0.2436688244342804,0.6368332505226135,0.684797465801239,0.6451215397302844,0.7117624852514233,0.1892222166061401,0.2207018435001373,0.82831871509552
P000_A05_substitute__to__C05_copy_then_substitute_05_07,0,component_to_composite,A05_substitute,C05_copy_then_substitute_05_07,K00_shortcut_for_A00_copy,2.0,source_x2,1,6144,0.0512,early,last_block_ln_head,0.2969966369675303,0.0739504098892211,0.0739504098892211,0.5301789045333862,0.4696416556835174,0.5321110305793432,0.3820197898787818,0.1320719867944717,0.037101861089468,0.8477382659912109
P000_A05_substitute__to__C05_copy_then_substitute_05_07,0,component_to_composite,A05_substitute,C05_copy_then_substitute_05_07,K00_shortcut_for_A00_copy,2.0,source_x2,2,0,0.0,init,last_block_ln_head,0.640853628679226,0.3234348893165588,0.3234348893165588,0.7010535597801208,0.7199077010154724,0.92441121542502,0.7874969121245707,0.307513564825058,0.2551978528499603,0.8149545192718506
P000_A05_substitute__to__C05_copy_then_substitute_05_07,0,component_to_composite,A05_substitute,C05_copy_then_substitute_05_07,K00_shortcut_for_A00_copy,2.0,source_x2,2,6144,0.0512,early,last_block_ln_head,0.0289159925359643,0.0067786714062094,0.0067786714062094,0.4647851288318634,0.5043758153915405,0.4097714646070012,0.3688553074876787,0.0545574277639389,0.0215339139103889,0.8094906210899353
P001_C03_reverse_then_substitute_01_06__to__A06_copy,1,composite_to_component_reverse,C03_reverse_then_substitute_01_06,A06_copy,S00_surface_rotate,0.0,source_x0,0,0,0.0,init,last_block_ln_head,0.5339474806973493,0.2019859701395034,0.2019859701395034,0.6088303923606873,0.6213357448577881,0.6498205247363429,0.6470877476193552,0.1928457915782928,0.1905206441879272,0.8437147736549377
P001_C03_reverse_then_substitute_01_06__to__A06_copy,1,composite_to_component_reverse,C03_reverse_then_substitute_01_06,A06_copy,S00_surface_rotate,0.0,source_x0,0,6144,0.0512,early,last_block_ln_head,0.1316895297256627,0.0306923054158687,0.0306923054158687,0.4565377831459045,0.510506808757782,0.3507577109498778,0.4327219039016484,0.0149239674210548,0.0721684396266937,0.8396971225738525
P001_C03_reverse_then_substitute_01_06__to__A06_copy,1,composite_to_component_reverse,C03_reverse_then_substitute_01_06,A06_copy,S00_surface_rotate,0.0,source_x0,1,0,0.0,init,last_block_ln_head,0.5383426163071025,0.2328067421913147,0.2328067421913147,0.6504384279251099,0.6648606061935425,0.7004986694083843,0.7285097959504334,0.2174390405416488,0.2276799380779266,0.8267163634300232
P001_C03_reverse_then_substitute_01_06__to__A06_copy,1,composite_to_component_reverse,C03_reverse_then_substitute_01_06,A06_copy,S00_surface_rotate,0.0,source_x0,1,6144,0.0512,early,last_block_ln_head,0.1941822058760655,0.0486975610256195,0.0486975610256195,0.5084468722343445,0.4932330846786499,0.4456791900730719,0.3723552797475128,0.0769128128886222,0.0311991274356842,0.8385216593742371
P001_C03_reverse_then_substitute_01_06__to__A06_copy,1,composite_to_component_reverse,C03_reverse_then_substitute_01_06,A06_copy,S00_surface_rotate,0.0,source_x0,2,0,0.0,init,last_block_ln_head,0.5652833636074427,0.2723985910415649,0.2723985910415649,0.694174587726593,0.6941765546798706,0.7969012255175189,0.8184334501696986,0.2586774230003357,0.2672072649002075,0.8100245594978333
P001_C03_reverse_then_substitute_01_06__to__A06_copy,1,composite_to_component_reverse,C03_reverse_then_substitute_01_06,A06_copy,S00_surface_rotate,0.0,source_x0,2,6144,0.0512,early,last_block_ln_head,0.0985776915442874,0.0214822515845298,0.0214822515845298,0.4509263038635254,0.4832763969898224,0.3629878345664357,0.4733382646826947,0.0168972387909889,0.0999970287084579,0.8122832179069519
P001_C03_reverse_then_substitute_01_06__to__A06_copy,1,composite_to_component_reverse,C03_reverse_then_substitute_01_06,A06_copy,S00_surface_rotate,0.5,source_x0.5,0,0,0.0,init,last_block_ln_head,0.5339474806973493,0.2019859701395034,0.2019859701395034,0.6088303923606873,0.6213357448577881,0.6498205247363429,0.6470877476193552,0.1928457915782928,0.1905206441879272,0.8437147736549377
P001_C03_reverse_then_substitute_01_06__to__A06_copy,1,composite_to_component_reverse,C03_reverse_then_substitute_01_06,A06_copy,S00_surface_rotate,0.5,source_x0.5,0,6144,0.0512,early,last_block_ln_head,0.1251497144646516,0.0289126113057136,0.0289126113057136,0.4532822072505951,0.5096696615219116,0.3459545031855471,0.4311438482975672,0.011168073862791,0.0708751901984214,0.8399306535720825
P001_C03_reverse_then_substitute_01_06__to__A06_copy,1,composite_to_component_reverse,C03_reverse_then_substitute_01_06,A06_copy,S00_surface_rotate,0.5,source_x0.5,1,0,0.0,init,last_block_ln_head,0.5383426163071025,0.2328067421913147,0.2328067421913147,0.6504384279251099,0.6648606061935425,0.7004986694083843,0.7285097959504334,0.2174390405416488,0.2276799380779266,0.8267163634300232
P001_C03_reverse_then_substitute_01_06__to__A06_copy,1,composite_to_component_reverse,C03_reverse_then_substitute_01_06,A06_copy,S00_surface_rotate,0.5,source_x0.5,1,6144,0.0512,early,last_block_ln_head,0.2015987397648166,0.0510863363742828,0.0510863363742828,0.5089288949966431,0.4979203045368194,0.4468249634524486,0.3794579297417067,0.0777008160948753,0.0359412282705307,0.8381815552711487
